domain,calibration_blocks,holdout_blocks,holdout_lineages,holdout_states,holdout_transitions,states_bA,states_aB,states_Ab,states_Ba,parent_log_loss,radial_child_log_loss,angular_child_log_loss,delta_radial,delta_angular,block_mean_delta_radial,block_mean_delta_angular,p_radial,p_angular,broken_median_log_loss,broken_q05_log_loss,broken_q95_log_loss,delta_broken_median,p_broken,eligible,domain_pass
pendulum,485,517,9,100000,99483,39110,40847,10289,9754,1.393716910493134,1.2822000727777016,1.268806955920355,-0.1115168377154323,-0.12490995457277898,-0.07658781813631543,-0.09470667003792489,1.0,1.0,1.2581043412213784,1.2505147557484297,1.2650972764603499,-0.13561256927175558,1.0,True,False
hydraulic,2232,17801,2205,99650,81849,23148,26502,23303,26697,2.6940743588731744,3.0344191267206004,2.664688665605666,0.34034476784742607,-0.029385693267508284,0.48220051396035624,-0.13842495356761841,9.999000099990002e-05,1.0,2.6966078250747896,2.516656496731646,3.121605747587008,0.0025334662016152087,0.4995004995004995,True,False
bubbles,5068,1769,1764,4704,2935,1161,1410,607,1526,1.4079873837366441,1.4889750210095953,1.4850848810255506,0.08098763727295122,0.07709749728890647,0.08036920609116881,0.08760602117270777,9.999000099990002e-05,9.999000099990002e-05,1.341046803367084,0.752409340548619,1.467836041854581,-0.06694058036956019,0.7332667332667333,True,False
cold_room,12292,7392,9,93323,85931,18221,37014,13347,24741,0.8432978817482844,1.169490726452745,1.128782259327671,0.32619284470446064,0.2854843775793867,0.2555063728713496,0.22548719734345696,9.999000099990002e-05,9.999000099990002e-05,0.9189973919865206,0.8010990399469876,1.0434954618804217,0.07569951023823629,0.12287712287712288,True,False
acoustics,687,11001,9,99999,88998,25416,24248,25713,24622,1.6686906571463698,1.4790188570664493,1.59703398994115,-0.18967180007992046,-0.07165666720521968,-0.19901002067942325,-0.07029367010329188,1.0,1.0,1.535172040613897,1.4772358521080666,1.5973210764964318,-0.13351861653247288,1.0,True,False
qutrit,6853,6862,3,100000,93138,25094,24919,24999,24988,1.2453770074550523,1.2970920499107095,1.3355476782295268,0.05171504245565717,0.09017067077447449,0.04896842575366786,0.08671498010487591,9.999000099990002e-05,9.999000099990002e-05,1.3056449801673753,1.2820166080954918,1.3356165701785983,0.06026797271232298,0.005994005994005994,True,True
river,43,78,41,414,336,92,83,127,112,1.2273548595219257,1.3946378659344087,1.2695348461780276,0.16728300641248306,0.0421799866561019,0.1722917109217184,0.04651967859634708,9.999000099990002e-05,0.022797720227977204,1.38531210662282,0.8661297977831207,1.7918081260655605,0.15795724710089432,0.06793206793206794,False,False
