domain,split,from_sector,to_sector,count
bubbles,calibration,expanding_reverse,contracting_reverse,678
bubbles,calibration,expanding_reverse,expanding_reverse,205
bubbles,calibration,expanding_reverse,expanding_forward,77
bubbles,calibration,expanding_reverse,contracting_forward,1243
bubbles,calibration,expanding_forward,contracting_reverse,188
bubbles,calibration,expanding_forward,expanding_reverse,312
bubbles,calibration,expanding_forward,expanding_forward,25
bubbles,calibration,expanding_forward,contracting_forward,43
bubbles,calibration,contracting_forward,contracting_reverse,3562
bubbles,calibration,contracting_forward,expanding_reverse,1264
bubbles,calibration,contracting_forward,expanding_forward,197
bubbles,calibration,contracting_forward,contracting_forward,2189
bubbles,evaluation,contracting_reverse,contracting_reverse,205
bubbles,evaluation,contracting_reverse,expanding_reverse,79
bubbles,evaluation,contracting_reverse,expanding_forward,89
bubbles,evaluation,contracting_reverse,contracting_forward,303
bubbles,evaluation,expanding_reverse,contracting_reverse,269
bubbles,evaluation,expanding_reverse,expanding_reverse,203
bubbles,evaluation,expanding_reverse,expanding_forward,91
bubbles,evaluation,expanding_reverse,contracting_forward,477
bubbles,evaluation,expanding_forward,contracting_reverse,87
bubbles,evaluation,expanding_forward,expanding_reverse,203
bubbles,evaluation,expanding_forward,expanding_forward,40
bubbles,evaluation,expanding_forward,contracting_forward,27
bubbles,evaluation,contracting_forward,contracting_reverse,313
bubbles,evaluation,contracting_forward,expanding_reverse,378
bubbles,evaluation,contracting_forward,expanding_forward,99
bubbles,evaluation,contracting_forward,contracting_forward,245
bubbles,holdout,contracting_reverse,contracting_reverse,177
bubbles,holdout,contracting_reverse,expanding_reverse,78
bubbles,holdout,contracting_reverse,expanding_forward,94
bubbles,holdout,contracting_reverse,contracting_forward,296
bubbles,holdout,expanding_reverse,contracting_reverse,246
bubbles,holdout,expanding_reverse,expanding_reverse,165
bubbles,holdout,expanding_reverse,expanding_forward,97
bubbles,holdout,expanding_reverse,contracting_forward,395
bubbles,holdout,expanding_forward,contracting_reverse,90
bubbles,holdout,expanding_forward,expanding_reverse,239
bubbles,holdout,expanding_forward,expanding_forward,50
bubbles,holdout,expanding_forward,contracting_forward,26
bubbles,holdout,contracting_forward,contracting_reverse,293
bubbles,holdout,contracting_forward,expanding_reverse,341
bubbles,holdout,contracting_forward,expanding_forward,102
bubbles,holdout,contracting_forward,contracting_forward,246
cold_room,calibration,contracting_reverse,contracting_reverse,20429
cold_room,calibration,contracting_reverse,expanding_reverse,2405
cold_room,calibration,contracting_reverse,expanding_forward,1645
cold_room,calibration,contracting_reverse,contracting_forward,2305
cold_room,calibration,expanding_reverse,contracting_reverse,2339
cold_room,calibration,expanding_reverse,expanding_reverse,16280
cold_room,calibration,expanding_reverse,expanding_forward,2349
cold_room,calibration,expanding_reverse,contracting_forward,2521
cold_room,calibration,expanding_forward,contracting_reverse,1767
cold_room,calibration,expanding_forward,expanding_reverse,2312
cold_room,calibration,expanding_forward,expanding_forward,13138
cold_room,calibration,expanding_forward,contracting_forward,1009
cold_room,calibration,contracting_forward,contracting_reverse,2193
cold_room,calibration,contracting_forward,expanding_reverse,2511
cold_room,calibration,contracting_forward,expanding_forward,1154
cold_room,calibration,contracting_forward,contracting_forward,10917
cold_room,evaluation,contracting_reverse,contracting_reverse,15871
cold_room,evaluation,contracting_reverse,expanding_reverse,2961
cold_room,evaluation,contracting_reverse,expanding_forward,1379
cold_room,evaluation,contracting_reverse,contracting_forward,1561
cold_room,evaluation,expanding_reverse,contracting_reverse,2750
cold_room,evaluation,expanding_reverse,expanding_reverse,22474
cold_room,evaluation,expanding_reverse,expanding_forward,1676
cold_room,evaluation,expanding_reverse,contracting_forward,1294
cold_room,evaluation,expanding_forward,contracting_reverse,1465
cold_room,evaluation,expanding_forward,expanding_reverse,1712
cold_room,evaluation,expanding_forward,expanding_forward,10665
cold_room,evaluation,expanding_forward,contracting_forward,1482
cold_room,evaluation,contracting_forward,contracting_reverse,1506
cold_room,evaluation,contracting_forward,expanding_reverse,1038
cold_room,evaluation,contracting_forward,expanding_forward,1814
cold_room,evaluation,contracting_forward,contracting_forward,14845
cold_room,holdout,contracting_reverse,contracting_reverse,10722
cold_room,holdout,contracting_reverse,expanding_reverse,2975
cold_room,holdout,contracting_reverse,expanding_forward,1694
cold_room,holdout,contracting_reverse,contracting_forward,1291
cold_room,holdout,expanding_reverse,contracting_reverse,2713
cold_room,holdout,expanding_reverse,expanding_reverse,29183
cold_room,holdout,expanding_reverse,expanding_forward,1422
cold_room,holdout,expanding_reverse,contracting_forward,961
cold_room,holdout,expanding_forward,contracting_reverse,1731
cold_room,holdout,expanding_forward,expanding_reverse,1474
cold_room,holdout,expanding_forward,expanding_forward,7015
cold_room,holdout,expanding_forward,contracting_forward,1769
cold_room,holdout,contracting_forward,contracting_reverse,1290
cold_room,holdout,contracting_forward,expanding_reverse,751
cold_room,holdout,contracting_forward,expanding_forward,2037
cold_room,holdout,contracting_forward,contracting_forward,18903
acoustics,calibration,contracting_reverse,contracting_reverse,9970
acoustics,calibration,contracting_reverse,expanding_reverse,6647
acoustics,calibration,contracting_reverse,expanding_forward,3327
acoustics,calibration,contracting_reverse,contracting_forward,4550
acoustics,calibration,expanding_reverse,contracting_reverse,5736
acoustics,calibration,expanding_reverse,expanding_reverse,9814
acoustics,calibration,expanding_reverse,expanding_forward,4695
acoustics,calibration,expanding_reverse,contracting_forward,4012
acoustics,calibration,expanding_forward,contracting_reverse,4163
acoustics,calibration,expanding_forward,expanding_reverse,4466
acoustics,calibration,expanding_forward,expanding_forward,10514
acoustics,calibration,expanding_forward,contracting_forward,6199
acoustics,calibration,contracting_forward,contracting_reverse,4634
acoustics,calibration,contracting_forward,expanding_reverse,3340
acoustics,calibration,contracting_forward,expanding_forward,6828
acoustics,calibration,contracting_forward,contracting_forward,10418
acoustics,evaluation,contracting_reverse,contracting_reverse,2018
acoustics,evaluation,contracting_reverse,expanding_reverse,3671
acoustics,evaluation,contracting_reverse,expanding_forward,11299
acoustics,evaluation,contracting_reverse,contracting_forward,4488
acoustics,evaluation,expanding_reverse,contracting_reverse,4502
acoustics,evaluation,expanding_reverse,expanding_reverse,1827
acoustics,evaluation,expanding_reverse,expanding_forward,4554
acoustics,evaluation,expanding_reverse,contracting_forward,9095
acoustics,evaluation,expanding_forward,contracting_reverse,9881
acoustics,evaluation,expanding_forward,expanding_reverse,4457
acoustics,evaluation,expanding_forward,expanding_forward,2087
acoustics,evaluation,expanding_forward,contracting_forward,4649
acoustics,evaluation,contracting_forward,contracting_reverse,4542
acoustics,evaluation,contracting_forward,expanding_reverse,10651
acoustics,evaluation,contracting_forward,expanding_forward,3701
acoustics,evaluation,contracting_forward,contracting_forward,1907
acoustics,holdout,contracting_reverse,contracting_reverse,2002
acoustics,holdout,contracting_reverse,expanding_reverse,3790
acoustics,holdout,contracting_reverse,expanding_forward,12329
acoustics,holdout,contracting_reverse,contracting_forward,4897
acoustics,holdout,expanding_reverse,contracting_reverse,4646
acoustics,holdout,expanding_reverse,expanding_reverse,1844
acoustics,holdout,expanding_reverse,expanding_forward,4827
acoustics,holdout,expanding_reverse,contracting_forward,9846
acoustics,holdout,expanding_forward,contracting_reverse,10863
acoustics,holdout,expanding_forward,expanding_reverse,4771
acoustics,holdout,expanding_forward,expanding_forward,2123
acoustics,holdout,expanding_forward,contracting_forward,4807
acoustics,holdout,contracting_forward,contracting_reverse,4877
acoustics,holdout,contracting_forward,expanding_reverse,11462
acoustics,holdout,contracting_forward,expanding_forward,4021
acoustics,holdout,contracting_forward,contracting_forward,1893
qutrit,calibration,contracting_reverse,contracting_reverse,4427
qutrit,calibration,contracting_reverse,expanding_reverse,11818
qutrit,calibration,contracting_reverse,expanding_forward,4907
qutrit,calibration,contracting_reverse,contracting_forward,2496
qutrit,calibration,expanding_reverse,contracting_reverse,9932
qutrit,calibration,expanding_reverse,expanding_reverse,4503
qutrit,calibration,expanding_reverse,expanding_forward,2434
qutrit,calibration,expanding_reverse,contracting_forward,6208
qutrit,calibration,expanding_forward,contracting_reverse,6137
qutrit,calibration,expanding_forward,expanding_reverse,2513
qutrit,calibration,expanding_forward,expanding_forward,4364
qutrit,calibration,expanding_forward,contracting_forward,9859
qutrit,calibration,contracting_forward,contracting_reverse,2502
qutrit,calibration,contracting_forward,expanding_reverse,4948
qutrit,calibration,contracting_forward,expanding_forward,11843
qutrit,calibration,contracting_forward,contracting_forward,4256
qutrit,evaluation,contracting_reverse,contracting_reverse,4313
qutrit,evaluation,contracting_reverse,expanding_reverse,11812
qutrit,evaluation,contracting_reverse,expanding_forward,4826
qutrit,evaluation,contracting_reverse,contracting_forward,2566
qutrit,evaluation,expanding_reverse,contracting_reverse,9873
qutrit,evaluation,expanding_reverse,expanding_reverse,4398
qutrit,evaluation,expanding_reverse,expanding_forward,2486
qutrit,evaluation,expanding_reverse,contracting_forward,6095
qutrit,evaluation,expanding_forward,contracting_reverse,6105
qutrit,evaluation,expanding_forward,expanding_reverse,2506
qutrit,evaluation,expanding_forward,expanding_forward,4329
qutrit,evaluation,expanding_forward,contracting_forward,10001
qutrit,evaluation,contracting_forward,contracting_reverse,2493
qutrit,evaluation,contracting_forward,expanding_reverse,4911
qutrit,evaluation,contracting_forward,expanding_forward,12001
qutrit,evaluation,contracting_forward,contracting_forward,4402
qutrit,holdout,contracting_reverse,contracting_reverse,4338
qutrit,holdout,contracting_reverse,expanding_reverse,11911
qutrit,holdout,contracting_reverse,expanding_forward,4999
qutrit,holdout,contracting_reverse,contracting_forward,2446
qutrit,holdout,expanding_reverse,contracting_reverse,9900
qutrit,holdout,expanding_reverse,expanding_reverse,4307
qutrit,holdout,expanding_reverse,expanding_forward,2440
qutrit,holdout,expanding_reverse,contracting_forward,6197
qutrit,holdout,expanding_forward,contracting_reverse,6285
qutrit,holdout,expanding_forward,expanding_reverse,2404
qutrit,holdout,expanding_forward,expanding_forward,4385
qutrit,holdout,expanding_forward,contracting_forward,9886
qutrit,holdout,contracting_forward,contracting_reverse,2525
qutrit,holdout,contracting_forward,expanding_reverse,4932
qutrit,holdout,contracting_forward,expanding_forward,11835
qutrit,holdout,contracting_forward,contracting_forward,4348
river,calibration,contracting_reverse,contracting_reverse,1
river,calibration,contracting_reverse,expanding_reverse,24
river,calibration,contracting_reverse,expanding_forward,20
river,calibration,contracting_reverse,contracting_forward,28
river,calibration,expanding_reverse,contracting_reverse,0
river,calibration,expanding_reverse,expanding_reverse,7
river,calibration,expanding_reverse,expanding_forward,18
river,calibration,expanding_reverse,contracting_forward,66
river,calibration,expanding_forward,contracting_reverse,47
river,calibration,expanding_forward,expanding_reverse,25
river,calibration,expanding_forward,expanding_forward,11
river,calibration,expanding_forward,contracting_forward,4
river,calibration,contracting_forward,contracting_reverse,23
river,calibration,contracting_forward,expanding_reverse,32
river,calibration,contracting_forward,expanding_forward,48
river,calibration,contracting_forward,contracting_forward,11
river,evaluation,contracting_reverse,contracting_reverse,5
river,evaluation,contracting_reverse,expanding_reverse,38
river,evaluation,contracting_reverse,expanding_forward,9
river,evaluation,contracting_reverse,contracting_forward,23
river,evaluation,expanding_reverse,contracting_reverse,0
river,evaluation,expanding_reverse,expanding_reverse,5
river,evaluation,expanding_reverse,expanding_forward,24
river,evaluation,expanding_reverse,contracting_forward,63
river,evaluation,expanding_forward,contracting_reverse,39
river,evaluation,expanding_forward,expanding_reverse,21
river,evaluation,expanding_forward,expanding_forward,11
river,evaluation,expanding_forward,contracting_forward,5
river,evaluation,contracting_forward,contracting_reverse,27
river,evaluation,contracting_forward,expanding_reverse,33
river,evaluation,contracting_forward,expanding_forward,46
river,evaluation,contracting_forward,contracting_forward,20
river,holdout,contracting_reverse,contracting_reverse,5
river,holdout,contracting_reverse,expanding_reverse,14
river,holdout,contracting_reverse,expanding_forward,22
river,holdout,contracting_reverse,contracting_forward,24
river,holdout,expanding_reverse,contracting_reverse,0
river,holdout,expanding_reverse,expanding_reverse,2
river,holdout,expanding_reverse,expanding_forward,20
river,holdout,expanding_reverse,contracting_forward,48
river,holdout,expanding_forward,contracting_reverse,53
river,holdout,expanding_forward,expanding_reverse,30
river,holdout,expanding_forward,expanding_forward,22
river,holdout,expanding_forward,contracting_forward,9
river,holdout,contracting_forward,contracting_reverse,23
river,holdout,contracting_forward,expanding_reverse,20
river,holdout,contracting_forward,expanding_forward,24
river,holdout,contracting_forward,contracting_forward,20
