domain,controls,eligible_causal_controls,median_original_future_share,q95_original_future_share,median_original_direct_target_share,controls_with_direct_target_share_over_05,median_causal_delta,q05_causal_delta,q95_causal_delta,p_causal_broken_not_worse,causal_pairing_pass
pendulum,1000,1000,0.4789004935615846,0.8676475909972758,0.0,0,-0.13235324402477155,-0.14099469682732854,-0.1255620939759367,1.0,False
hydraulic,1000,1000,0.5331682059524907,0.9617811359534129,0.0,327,-0.13870752661535835,-0.6856421127425955,0.6203806109601918,0.5344655344655345,False
bubbles,1000,365,0.5488069414316703,0.9994577006507592,0.0,471,0.05193250884603473,0.04037224692218566,0.07810703101278449,0.00273224043715847,True
cold_room,1000,1000,0.5029492398438149,0.9101811082495637,0.0,242,0.12996220436089356,0.0041743205414180974,0.20830575336115598,0.04495504495504495,True
acoustics,1000,1000,0.5069705994831443,0.9209407701846077,0.0,471,-0.13364989364868984,-0.20881619384070205,-0.07097690967997296,1.0,False
qutrit,1000,1000,0.5060070595092886,0.9153269070929717,0.0,186,0.06435103560343403,0.04848965201713357,0.09128347835346896,0.000999000999000999,True
river,1000,0,0.6101190476190477,0.9886904761904757,0.0,327,,,,,False
