domain,split,model,current_state,target_state,count
pendulum,calibration,parent,bA,bA,11832
pendulum,calibration,parent,bA,aB,7004
pendulum,calibration,parent,bA,Ab,9667
pendulum,calibration,parent,bA,Ba,2205
pendulum,calibration,parent,aB,bA,7002
pendulum,calibration,parent,aB,aB,12519
pendulum,calibration,parent,aB,Ab,2173
pendulum,calibration,parent,aB,Ba,9417
pendulum,calibration,parent,Ab,bA,9720
pendulum,calibration,parent,Ab,aB,2228
pendulum,calibration,parent,Ab,Ab,7081
pendulum,calibration,parent,Ab,Ba,35
pendulum,calibration,parent,Ba,bA,2138
pendulum,calibration,parent,Ba,aB,9368
pendulum,calibration,parent,Ba,Ab,125
pendulum,calibration,parent,Ba,Ba,7001
pendulum,calibration,radial,A-,bA,13970
pendulum,calibration,radial,A-,aB,16372
pendulum,calibration,radial,A-,Ab,9792
pendulum,calibration,radial,A-,Ba,9206
pendulum,calibration,radial,A+,bA,16722
pendulum,calibration,radial,A+,aB,14747
pendulum,calibration,radial,A+,Ab,9254
pendulum,calibration,radial,A+,Ba,9452
pendulum,calibration,angular,B-,bA,18834
pendulum,calibration,angular,B-,aB,19523
pendulum,calibration,angular,B-,Ab,11840
pendulum,calibration,angular,B-,Ba,11622
pendulum,calibration,angular,B+,bA,11858
pendulum,calibration,angular,B+,aB,11596
pendulum,calibration,angular,B+,Ab,7206
pendulum,calibration,angular,B+,Ba,7036
pendulum,holdout,parent,bA,bA,17761
pendulum,holdout,parent,bA,aB,13688
pendulum,holdout,parent,bA,Ab,2462
pendulum,holdout,parent,bA,Ba,5017
pendulum,holdout,parent,aB,bA,14198
pendulum,holdout,parent,aB,aB,19098
pendulum,holdout,parent,aB,Ab,5076
pendulum,holdout,parent,aB,Ba,2229
pendulum,holdout,parent,Ab,bA,2367
pendulum,holdout,parent,Ab,aB,5256
pendulum,holdout,parent,Ab,Ab,2541
pendulum,holdout,parent,Ab,Ba,81
pendulum,holdout,parent,Ba,bA,4571
pendulum,holdout,parent,Ba,aB,2602
pendulum,holdout,parent,Ba,Ab,154
pendulum,holdout,parent,Ba,Ba,2382
pendulum,holdout,radial,A-,bA,22332
pendulum,holdout,radial,A-,aB,16290
pendulum,holdout,radial,A-,Ab,2616
pendulum,holdout,radial,A-,Ba,7399
pendulum,holdout,radial,A+,bA,16565
pendulum,holdout,radial,A+,aB,24354
pendulum,holdout,radial,A+,Ab,7617
pendulum,holdout,radial,A+,Ba,2310
pendulum,holdout,angular,B-,bA,31959
pendulum,holdout,angular,B-,aB,32786
pendulum,holdout,angular,B-,Ab,7538
pendulum,holdout,angular,B-,Ba,7246
pendulum,holdout,angular,B+,bA,6938
pendulum,holdout,angular,B+,aB,7858
pendulum,holdout,angular,B+,Ab,2695
pendulum,holdout,angular,B+,Ba,2463
hydraulic,calibration,parent,bA,bA,265
hydraulic,calibration,parent,bA,aB,139
hydraulic,calibration,parent,bA,Ab,965
hydraulic,calibration,parent,bA,Ba,141
hydraulic,calibration,parent,aB,bA,162
hydraulic,calibration,parent,aB,aB,96
hydraulic,calibration,parent,aB,Ab,945
hydraulic,calibration,parent,aB,Ba,87
hydraulic,calibration,parent,Ab,bA,251
hydraulic,calibration,parent,Ab,aB,608
hydraulic,calibration,parent,Ab,Ab,82057
hydraulic,calibration,parent,Ab,Ba,2489
hydraulic,calibration,parent,Ba,bA,85
hydraulic,calibration,parent,Ba,aB,49
hydraulic,calibration,parent,Ba,Ab,2678
hydraulic,calibration,parent,Ba,Ba,6750
hydraulic,calibration,radial,A-,bA,350
