domain,split,sector,count,share
pendulum,calibration,contracting_reverse,30833,0.30833
pendulum,calibration,expanding_reverse,31282,0.31282
pendulum,calibration,expanding_forward,19157,0.19157
pendulum,calibration,contracting_forward,18728,0.18728
pendulum,evaluation,contracting_reverse,35809,0.35809
pendulum,evaluation,expanding_reverse,35331,0.35331
pendulum,evaluation,expanding_forward,14848,0.14848
pendulum,evaluation,contracting_forward,14012,0.14012
pendulum,holdout,contracting_reverse,39110,0.3911
pendulum,holdout,expanding_reverse,40847,0.40847
pendulum,holdout,expanding_forward,10289,0.10289
pendulum,holdout,contracting_forward,9754,0.09754
hydraulic,calibration,contracting_reverse,1517,0.015170151701517014
hydraulic,calibration,expanding_reverse,1294,0.012940129401294014
hydraulic,calibration,expanding_forward,87395,0.8739587395873959
hydraulic,calibration,contracting_forward,9793,0.0979309793097931
hydraulic,evaluation,contracting_reverse,23245,0.23328516087593584
hydraulic,evaluation,expanding_reverse,26635,0.26730695891290823
hydraulic,evaluation,expanding_forward,23339,0.23422853816663655
hydraulic,evaluation,contracting_forward,26423,0.2651793420445194
hydraulic,holdout,contracting_reverse,23148,0.23229302558956347
hydraulic,holdout,expanding_reverse,26502,0.26595082789764174
hydraulic,holdout,expanding_forward,23303,0.23384846964375314
hydraulic,holdout,contracting_forward,26697,0.26790767686904166
bubbles,calibration,contracting_reverse,8115,0.3865390111460417
bubbles,calibration,expanding_reverse,2818,0.1342288272839859
bubbles,calibration,expanding_forward,688,0.032771267981328
bubbles,calibration,contracting_forward,9373,0.4464608935886444
bubbles,evaluation,contracting_reverse,1221,0.24954015941140403
bubbles,evaluation,expanding_reverse,1523,0.3112609850807276
bubbles,evaluation,expanding_forward,529,0.10811363171878194
bubbles,evaluation,contracting_forward,1620,0.33108522378908645
bubbles,holdout,contracting_reverse,1161,0.24681122448979592
bubbles,holdout,expanding_reverse,1410,0.2997448979591837
bubbles,holdout,expanding_forward,607,0.1290391156462585
bubbles,holdout,contracting_forward,1526,0.3244047619047619
cold_room,calibration,contracting_reverse,30223,0.30976979685546197
cold_room,calibration,expanding_reverse,27452,0.2813685095217596
cold_room,calibration,expanding_forward,21399,0.21932845458458888
cold_room,calibration,contracting_forward,18492,0.18953323903818953
cold_room,evaluation,contracting_reverse,23627,0.25546016780555314
cold_room,evaluation,expanding_reverse,30893,0.3340217109246605
cold_room,evaluation,expanding_forward,17153,0.18546189775970937
cold_room,evaluation,contracting_forward,20815,0.22505622351007698
cold_room,holdout,contracting_reverse,18221,0.19524661658969386
cold_room,holdout,expanding_reverse,37014,0.3966224832034975
cold_room,holdout,expanding_forward,13347,0.143019405719919
cold_room,holdout,contracting_forward,24741,0.26511149448688964
acoustics,calibration,contracting_reverse,24670,0.2467
acoustics,calibration,expanding_reverse,24426,0.24426
acoustics,calibration,expanding_forward,25536,0.25536
acoustics,calibration,contracting_forward,25368,0.25368
acoustics,evaluation,contracting_reverse,23775,0.2543052732912611
acoustics,evaluation,expanding_reverse,22751,0.24335223018504654
acoustics,evaluation,expanding_forward,23949,0.2561664349128249
acoustics,evaluation,contracting_forward,23015,0.24617606161086747
acoustics,holdout,contracting_reverse,25416,0.25416254162541624
acoustics,holdout,expanding_reverse,24248,0.24248242482424825
acoustics,holdout,expanding_forward,25713,0.25713257132571327
acoustics,holdout,contracting_forward,24622,0.24622246222462224
qutrit,calibration,contracting_reverse,25032,0.25032
qutrit,calibration,expanding_reverse,25164,0.25164
qutrit,calibration,expanding_forward,24938,0.24938
qutrit,calibration,contracting_forward,24866,0.24866
qutrit,evaluation,contracting_reverse,24856,0.24856
qutrit,evaluation,expanding_reverse,24969,0.24969
qutrit,evaluation,expanding_forward,25004,0.25004
qutrit,evaluation,contracting_forward,25171,0.25171
qutrit,holdout,contracting_reverse,25094,0.25094
qutrit,holdout,expanding_reverse,24919,0.24919
qutrit,holdout,expanding_forward,24999,0.24999
qutrit,holdout,contracting_forward,24988,0.24988
river,calibration,contracting_reverse,81,0.19852941176470587
river,calibration,expanding_reverse,103,0.25245098039215685
river,calibration,expanding_forward,103,0.25245098039215685
river,calibration,contracting_forward,121,0.2965686274509804
river,evaluation,contracting_reverse,84,0.2048780487804878
river,evaluation,expanding_reverse,97,0.23658536585365852
river,evaluation,expanding_forward,94,0.22926829268292684
river,evaluation,contracting_forward,135,0.32926829268292684
river,holdout,contracting_reverse,92,0.2222222222222222
river,holdout,expanding_reverse,83,0.20048309178743962
river,holdout,expanding_forward,127,0.30676328502415456
river,holdout,contracting_forward,112,0.27053140096618356
