domain,split,from_state,to_state,count
pendulum,calibration,bA,bA,11832
pendulum,calibration,bA,aB,7004
pendulum,calibration,bA,Ab,9667
pendulum,calibration,bA,Ba,2205
pendulum,calibration,aB,bA,7002
pendulum,calibration,aB,aB,12519
pendulum,calibration,aB,Ab,2173
pendulum,calibration,aB,Ba,9417
pendulum,calibration,Ab,bA,9720
pendulum,calibration,Ab,aB,2228
pendulum,calibration,Ab,Ab,7081
pendulum,calibration,Ab,Ba,35
pendulum,calibration,Ba,bA,2138
pendulum,calibration,Ba,aB,9368
pendulum,calibration,Ba,Ab,125
pendulum,calibration,Ba,Ba,7001
pendulum,holdout,bA,bA,17761
pendulum,holdout,bA,aB,13688
pendulum,holdout,bA,Ab,2462
pendulum,holdout,bA,Ba,5017
pendulum,holdout,aB,bA,14198
pendulum,holdout,aB,aB,19098
pendulum,holdout,aB,Ab,5076
pendulum,holdout,aB,Ba,2229
pendulum,holdout,Ab,bA,2367
pendulum,holdout,Ab,aB,5256
pendulum,holdout,Ab,Ab,2541
pendulum,holdout,Ab,Ba,81
pendulum,holdout,Ba,bA,4571
pendulum,holdout,Ba,aB,2602
pendulum,holdout,Ba,Ab,154
pendulum,holdout,Ba,Ba,2382
hydraulic,calibration,bA,bA,265
hydraulic,calibration,bA,aB,139
hydraulic,calibration,bA,Ab,965
hydraulic,calibration,bA,Ba,141
hydraulic,calibration,aB,bA,162
hydraulic,calibration,aB,aB,96
hydraulic,calibration,aB,Ab,945
hydraulic,calibration,aB,Ba,87
hydraulic,calibration,Ab,bA,251
hydraulic,calibration,Ab,aB,608
hydraulic,calibration,Ab,Ab,82057
hydraulic,calibration,Ab,Ba,2489
hydraulic,calibration,Ba,bA,85
hydraulic,calibration,Ba,aB,49
hydraulic,calibration,Ba,Ab,2678
hydraulic,calibration,Ba,Ba,6750
hydraulic,holdout,bA,bA,3494
hydraulic,holdout,bA,aB,4062
hydraulic,holdout,bA,Ab,4564
hydraulic,holdout,bA,Ba,4987
hydraulic,holdout,aB,bA,6322
hydraulic,holdout,aB,aB,4781
hydraulic,holdout,aB,Ab,5223
hydraulic,holdout,aB,Ba,8826
hydraulic,holdout,Ab,bA,6860
hydraulic,holdout,Ab,aB,4459
hydraulic,holdout,Ab,Ab,3548
hydraulic,holdout,Ab,Ba,6738
hydraulic,holdout,Ba,bA,4811
hydraulic,holdout,Ba,aB,4754
hydraulic,holdout,Ba,Ab,3618
hydraulic,holdout,Ba,Ba,4802
bubbles,calibration,bA,bA,1946
bubbles,calibration,bA,aB,142
bubbles,calibration,bA,Ab,151
bubbles,calibration,bA,Ba,3704
bubbles,calibration,aB,bA,678
bubbles,calibration,aB,aB,205
bubbles,calibration,aB,Ab,77
bubbles,calibration,aB,Ba,1243
bubbles,calibration,Ab,bA,188
bubbles,calibration,Ab,aB,312
bubbles,calibration,Ab,Ab,25
bubbles,calibration,Ab,Ba,43
bubbles,calibration,Ba,bA,3562
bubbles,calibration,Ba,aB,1264
bubbles,calibration,Ba,Ab,197
bubbles,calibration,Ba,Ba,2189
bubbles,holdout,bA,bA,177
bubbles,holdout,bA,aB,78
bubbles,holdout,bA,Ab,94
bubbles,holdout,bA,Ba,296
bubbles,holdout,aB,bA,246
bubbles,holdout,aB,aB,165
bubbles,holdout,aB,Ab,97
bubbles,holdout,aB,Ba,395
bubbles,holdout,Ab,bA,90
bubbles,holdout,Ab,aB,239
bubbles,holdout,Ab,Ab,50
bubbles,holdout,Ab,Ba,26
bubbles,holdout,Ba,bA,293
