domain,split,cone_degrees,line_n,line_R_median,circle_n,circle_C_median_turns
pendulum,calibration,10.0,18692,0.003995687700808048,5603,0.0004982094396837056
pendulum,calibration,15.0,27895,0.0051931338384747505,8200,0.0004940186627209187
pendulum,calibration,20.0,37321,0.00607749680057168,10793,0.0004960507503710687
pendulum,evaluation,10.0,22405,0.0002474592183716595,5475,0.0002539299603085965
pendulum,evaluation,15.0,33363,0.0003863723250105977,8192,0.000289057643385604
pendulum,evaluation,20.0,42005,0.001115158898755908,10731,0.00030672093271277845
pendulum,holdout,10.0,26030,0.00013709565973840654,6052,0.00020253044203855097
pendulum,holdout,15.0,35667,0.0001871002314146608,8500,0.00021943400497548282
pendulum,holdout,20.0,44750,0.00023368220718111843,10756,0.00022507441462948918
hydraulic,calibration,10.0,4141,0.09699290245771408,1691,0.002488334197551012
hydraulic,calibration,15.0,7293,0.08080530911684036,2549,0.0024525115732103586
hydraulic,calibration,20.0,11605,0.058275289833545685,3826,0.00233466736972332
hydraulic,evaluation,10.0,8270,0.0077668786980211735,16174,0.003906827419996262
hydraulic,evaluation,15.0,11097,0.008607665076851845,23765,0.003924558870494366
hydraulic,evaluation,20.0,14263,0.008764298632740974,31205,0.003908118698745966
hydraulic,holdout,10.0,8310,0.0070816101506352425,16361,0.0039443084970116615
hydraulic,holdout,15.0,11275,0.008078793995082378,23933,0.003960381727665663
hydraulic,holdout,20.0,14637,0.008248561061918736,31205,0.003916663583368063
bubbles,calibration,10.0,7035,0.01679881662130356,804,0.0024148933589458466
bubbles,calibration,15.0,9456,0.016300832852721214,1167,0.0023869413416832685
bubbles,calibration,20.0,11390,0.0159577839076519,1546,0.002604854293167591
bubbles,evaluation,10.0,1027,0.018221847712993622,310,0.0025855128187686205
bubbles,evaluation,15.0,1455,0.0179878119379282,432,0.0029020332731306553
bubbles,evaluation,20.0,1893,0.017953168600797653,568,0.003112322650849819
bubbles,holdout,10.0,1063,0.021253367885947227,260,0.0025455723516643047
bubbles,holdout,15.0,1491,0.020241662859916687,392,0.002694351365789771
bubbles,holdout,20.0,1897,0.019868968054652214,519,0.002817705040797591
cold_room,calibration,10.0,20608,0.02435758337378502,5570,0.003383072791621089
cold_room,calibration,15.0,30656,0.023833412677049637,8438,0.003420972963795066
cold_room,calibration,20.0,38855,0.02351498045027256,11484,0.0033584509510546923
cold_room,evaluation,10.0,15539,0.027679746970534325,12494,0.0018978237640112638
cold_room,evaluation,15.0,21639,0.028271056711673737,18545,0.0019317683763802052
cold_room,evaluation,20.0,27027,0.028195859864354134,24041,0.0019788567442446947
cold_room,holdout,10.0,13717,0.029362183064222336,13916,0.001633582403883338
cold_room,holdout,15.0,19816,0.029629124328494072,20444,0.0016367185162380338
cold_room,holdout,20.0,24793,0.029584934934973717,26594,0.0016329933423548937
acoustics,calibration,10.0,16165,0.3137311637401581,7633,0.06717026233673096
acoustics,calibration,15.0,23818,0.30984222888946533,11596,0.06667200475931168
acoustics,calibration,20.0,31299,0.3056222200393677,15678,0.06623751670122147
acoustics,evaluation,10.0,11723,0.4229789078235626,10915,0.13001416623592377
acoustics,evaluation,15.0,17526,0.4191105365753174,16011,0.12575972080230713
acoustics,evaluation,20.0,23296,0.41578012704849243,20926,0.12278960645198822
acoustics,holdout,10.0,12724,0.43580400943756104,11734,0.13524246215820312
acoustics,holdout,15.0,18869,0.428789347410202,17251,0.13110242784023285
acoustics,holdout,20.0,24716,0.42520904541015625,22567,0.1260165572166443
qutrit,calibration,10.0,5003,0.8957834839820862,17446,0.35056954622268677
qutrit,calibration,15.0,7742,0.8958548307418823,26123,0.3495599031448364
qutrit,calibration,20.0,10572,0.8982130289077759,34641,0.34793511033058167
qutrit,evaluation,10.0,5274,0.8979929089546204,17401,0.35095784068107605
qutrit,evaluation,15.0,7956,0.8937488794326782,26049,0.35012540221214294
qutrit,evaluation,20.0,10836,0.8928954601287842,34639,0.3481963276863098
qutrit,holdout,10.0,5129,0.8911757469177246,17167,0.3524986505508423
qutrit,holdout,15.0,7846,0.896259605884552,25844,0.35218992829322815
qutrit,holdout,20.0,10613,0.8997218608856201,34487,0.3494400680065155
river,calibration,10.0,2,0.09136976301670074,170,0.06939168274402618
river,calibration,15.0,4,0.07485438883304596,201,0.0740828588604927
river,calibration,20.0,7,0.07819165289402008,222,0.07570067048072815
river,evaluation,10.0,2,0.16046513617038727,160,0.06433650851249695
river,evaluation,15.0,3,0.058514658361673355,192,0.07590979337692261
river,evaluation,20.0,3,0.058514658361673355,212,0.07511375844478607
river,holdout,10.0,0,,172,0.06627632677555084
river,holdout,15.0,3,0.17648835480213165,193,0.0747225359082222
river,holdout,20.0,4,0.11891374737024307,215,0.08020956814289093
