domain,kind,sample_order,native_fraction,lineage,block_start,x_ara,y_ara,state
pendulum,intact,0,0.0,run1_arm1,420000,0.9998089602036593,0.9999217590102304,bA
pendulum,broken,0,0.0,run1_arm1,420000,0.9964015569326523,0.9999217590102304,bA
pendulum,intact,1,0.0008340283569641367,run1_arm1,420000,0.999983563790012,0.9999891114203605,bA
pendulum,broken,1,0.0008340283569641367,run1_arm1,420000,0.9998518191725384,0.9999891114203605,bA
pendulum,intact,2,0.0016680567139282735,run1_arm1,420000,0.9998160530979304,0.9998741141793126,bA
pendulum,broken,2,0.0016680567139282735,run1_arm1,420000,0.9998514955525027,0.9998741141793126,bA
pendulum,intact,3,0.0025020850708924102,run1_arm1,420000,0.9998454656609761,0.9998904127886262,bA
pendulum,broken,3,0.0025020850708924102,run1_arm1,420000,1.0008706029167604,0.9998904127886262,aB
pendulum,intact,4,0.003336113427856547,run1_arm1,426529,0.9999320562566162,0.9999902635689512,bA
pendulum,broken,4,0.003336113427856547,run1_arm1,426529,0.9999035790754792,0.9999902635689512,bA
pendulum,intact,5,0.004170141784820684,run1_arm1,426529,1.0003688770935732,0.9989486514222631,aB
pendulum,broken,5,0.004170141784820684,run1_arm1,426529,0.9999320656134978,0.9989486514222631,bA
pendulum,intact,6,0.0050041701417848205,run1_arm1,426529,0.99988267853095,0.9999749978696504,bA
pendulum,broken,6,0.0050041701417848205,run1_arm1,426529,0.999923180519696,0.9999749978696504,bA
pendulum,intact,7,0.005838198498748957,run1_arm1,437154,1.0001244232692388,0.9999513459217356,aB
pendulum,broken,7,0.005838198498748957,run1_arm1,437154,1.000502710479339,0.9999513459217356,aB
pendulum,intact,8,0.006672226855713094,run1_arm1,437154,1.0001402151092311,0.999946195941685,aB
pendulum,broken,8,0.006672226855713094,run1_arm1,437154,1.0001414509742632,0.999946195941685,aB
pendulum,intact,9,0.007506255212677231,run1_arm1,437154,0.9984278469493584,0.9981452341164353,bA
pendulum,broken,9,0.007506255212677231,run1_arm1,437154,1.0001621738760484,0.9981452341164353,aB
pendulum,intact,10,0.008340283569641367,run1_arm1,440436,0.9998333083946795,0.9999317514552567,bA
pendulum,broken,10,0.008340283569641367,run1_arm1,440436,0.9997004045379578,0.9999317514552567,bA
pendulum,intact,11,0.009174311926605505,run1_arm1,440436,0.9998545319114129,0.9999335278575039,bA
pendulum,broken,11,0.009174311926605505,run1_arm1,440436,1.0002286072227629,0.9999335278575039,aB
pendulum,intact,12,0.010008340283569641,run1_arm1,452725,1.0000148300268836,0.9999995578281311,aB
pendulum,broken,12,0.010008340283569641,run1_arm1,452725,1.000014832437954,0.9999995578281311,aB
pendulum,intact,13,0.010842368640533779,run1_arm1,456922,1.0007718135816448,1.0005603107814236,Ab
pendulum,broken,13,0.010842368640533779,run1_arm1,456922,1.0001364338232355,1.0005603107814236,Ab
pendulum,intact,14,0.011676396997497914,run1_arm1,456922,1.000473836808859,1.000323458334259,Ab
pendulum,broken,14,0.011676396997497914,run1_arm1,456922,0.9981725956864235,1.000323458334259,Ba
pendulum,intact,15,0.012510425354462052,run1_arm1,456922,0.9992006664935447,0.9988251138589284,bA
pendulum,broken,15,0.012510425354462052,run1_arm1,456922,1.0001320694420026,0.9988251138589284,aB
pendulum,intact,16,0.013344453711426188,run1_arm1,460793,1.0022107515323653,0.9996635877999156,aB
pendulum,broken,16,0.013344453711426188,run1_arm1,460793,0.9995114584842076,0.9996635877999156,bA
pendulum,intact,17,0.014178482068390326,run1_arm1,460793,0.9971448961459363,0.9998340935303806,bA
pendulum,broken,17,0.014178482068390326,run1_arm1,460793,0.999976937651813,0.9998340935303806,bA
pendulum,intact,18,0.015012510425354461,run1_arm1,460793,1.000017392654625,0.9995956396462028,aB
pendulum,broken,18,0.015012510425354461,run1_arm1,460793,0.9999927366689009,0.9995956396462028,bA
pendulum,intact,19,0.0158465387823186,run1_arm1,465033,1.0000358997931316,0.9999973809377664,aB
pendulum,broken,19,0.0158465387823186,run1_arm1,465033,1.0000010578888805,0.9999973809377664,aB
pendulum,intact,20,0.016680567139282735,run1_arm1,465033,1.0000677161368787,1.0001855825985841,Ab
pendulum,broken,20,0.016680567139282735,run1_arm1,465033,1.0000358494253152,1.0001855825985841,Ab
pendulum,intact,21,0.01751459549624687,run1_arm1,465033,1.0000337551827996,0.9999976849128211,aB
pendulum,broken,21,0.01751459549624687,run1_arm1,465033,1.0000451053165,0.9999976849128211,aB
pendulum,intact,22,0.01834862385321101,run1_arm1,467692,0.9998508897562852,0.999842991674937,bA
pendulum,broken,22,0.01834862385321101,run1_arm1,467692,1.0026970698759519,0.999842991674937,aB
pendulum,intact,23,0.019182652210175146,run1_arm1,467692,0.9999519101548148,0.9999415449550892,bA
pendulum,broken,23,0.019182652210175146,run1_arm1,467692,0.9981984301403393,0.9999415449550892,bA
pendulum,intact,24,0.020016680567139282,run1_arm1,467692,0.9998926319971848,0.9998498399567711,bA
pendulum,broken,24,0.020016680567139282,run1_arm1,467692,0.9998602123532703,0.9998498399567711,bA
pendulum,intact,25,0.020850708924103418,run1_arm1,476042,1.000093112255585,0.9999807471842561,aB
pendulum,broken,25,0.020850708924103418,run1_arm1,476042,1.0000963753551986,0.9999807471842561,aB
pendulum,intact,26,0.021684737281067557,run1_arm1,478678,0.9999558124291357,0.99999721065724,bA
pendulum,broken,26,0.021684737281067557,run1_arm1,478678,0.9999660548237573,0.99999721065724,bA
pendulum,intact,27,0.022518765638031693,run1_arm1,478678,0.9999685961702302,0.9999980018114969,bA
pendulum,broken,27,0.022518765638031693,run1_arm1,478678,0.9999688564603376,0.9999980018114969,bA
pendulum,intact,28,0.02335279399499583,run1_arm1,478678,0.9999664506394892,0.9999977146314174,bA
pendulum,broken,28,0.02335279399499583,run1_arm1,478678,0.9999686360643057,0.9999977146314174,bA
pendulum,intact,29,0.02418682235195997,run1_arm1,483289,1.000307301573561,0.9998133428101845,aB
pendulum,broken,29,0.02418682235195997,run1_arm1,483289,1.00229638411268,0.9998133428101845,aB
pendulum,intact,30,0.025020850708924104,run1_arm1,483289,1.0016197028841392,1.0009764445404006,Ab
pendulum,broken,30,0.025020850708924104,run1_arm1,483289,1.0021268381333301,1.0009764445404006,Ab
pendulum,intact,31,0.02585487906588824,run1_arm1,483289,0.999533297411523,0.9994288758640749,bA
pendulum,broken,31,0.02585487906588824,run1_arm1,483289,1.00034202424407,0.9994288758640749,aB
pendulum,intact,32,0.026688907422852376,run1_arm1,487193,0.9981041256701385,1.000028044365975,Ba
pendulum,broken,32,0.026688907422852376,run1_arm1,487193,1.004889885570295,1.000028044365975,Ab
pendulum,intact,33,0.027522935779816515,run1_arm1,487193,0.9923470876419512,1.0004184382808112,Ba
pendulum,broken,33,0.027522935779816515,run1_arm1,487193,1.0010327352031818,1.0004184382808112,Ab
pendulum,intact,34,0.02835696413678065,run1_arm1,487193,0.9967194270683526,0.9999541449115426,bA
pendulum,broken,34,0.02835696413678065,run1_arm1,487193,1.0010791587877867,0.9999541449115426,aB
pendulum,intact,35,0.029190992493744787,run1_arm1,490523,0.9999217426595131,1.0000423495583437,Ba
pendulum,broken,35,0.029190992493744787,run1_arm1,490523,0.9999234606295107,1.0000423495583437,Ba
pendulum,intact,36,0.030025020850708923,run1_arm1,490523,1.0000904978003093,0.9995573322604739,aB
pendulum,broken,36,0.030025020850708923,run1_arm1,490523,0.9999538174998053,0.9995573322604739,bA
pendulum,intact,37,0.030859049207673062,run1_arm1,490523,0.9999018249512545,0.9999839961862385,bA
pendulum,broken,37,0.030859049207673062,run1_arm1,490523,0.9999281671481511,0.9999839961862385,bA
pendulum,intact,38,0.0316930775646372,run1_arm1,495665,1.0001240524718926,0.9998261253469103,aB
pendulum,broken,38,0.0316930775646372,run1_arm1,495665,0.9988503051399343,0.9998261253469103,bA
pendulum,intact,39,0.03252710592160134,run1_arm1,495665,1.0001409521346192,0.999821141887924,aB
pendulum,broken,39,0.03252710592160134,run1_arm1,495665,1.00116421846693,0.999821141887924,aB
pendulum,intact,40,0.03336113427856547,run1_arm1,495665,1.0001291161745132,0.9998495214221242,aB
pendulum,broken,40,0.03336113427856547,run1_arm1,495665,1.0022162546904954,0.9998495214221242,aB
pendulum,intact,41,0.03419516263552961,run1_arm1,499728,1.0007904467156483,0.9994995710270833,aB
pendulum,broken,41,0.03419516263552961,run1_arm1,499728,0.997103134822966,0.9994995710270833,bA
pendulum,intact,42,0.03502919099249374,run1_arm1,499728,1.0020644234968117,0.9989322846852217,aB
pendulum,broken,42,0.03502919099249374,run1_arm1,499728,0.9998444407405074,0.9989322846852217,bA
pendulum,intact,43,0.03586321934945788,run1_arm1,499728,0.9998534010821046,0.9998400676854793,bA
pendulum,broken,43,0.03586321934945788,run1_arm1,499728,0.9998586679294338,0.9998400676854793,bA
pendulum,intact,44,0.03669724770642202,run1_arm1,503799,0.9999274734292519,0.9999888436561102,bA
pendulum,broken,44,0.03669724770642202,run1_arm1,503799,1.0000340793849187,0.9999888436561102,aB
pendulum,intact,45,0.03753127606338615,run1_arm1,503799,0.9999251764458255,0.9999871037066904,bA
pendulum,broken,45,0.03753127606338615,run1_arm1,503799,0.999927646975392,0.9999871037066904,bA
pendulum,intact,46,0.03836530442035029,run1_arm1,503799,0.9999292827416226,0.9999867819516327,bA
pendulum,broken,46,0.03836530442035029,run1_arm1,503799,0.9999200134481612,0.9999867819516327,bA
pendulum,intact,47,0.03919933277731443,run1_arm1,511045,0.9998548628365103,0.9993885611097615,bA
pendulum,broken,47,0.03919933277731443,run1_arm1,511045,1.0000632868176647,0.9993885611097615,aB
pendulum,intact,48,0.040033361134278564,run1_arm1,514351,1.0019059585378447,1.0000375291742,Ab
pendulum,broken,48,0.040033361134278564,run1_arm1,514351,0.9992831957706434,1.0000375291742,Ba
pendulum,intact,49,0.0408673894912427,run1_arm1,514351,0.9982349431078303,0.9995182992042021,bA
pendulum,broken,49,0.0408673894912427,run1_arm1,514351,1.0010015835430313,0.9995182992042021,aB
pendulum,intact,50,0.041701417848206836,run1_arm1,514351,1.0000980682958964,0.9997988853911606,aB
pendulum,broken,50,0.041701417848206836,run1_arm1,514351,1.0056168460980295,0.9997988853911606,aB
pendulum,intact,51,0.042535446205170975,run1_arm1,517578,0.9998814242140825,0.999964409089301,bA
pendulum,broken,51,0.042535446205170975,run1_arm1,517578,0.9998687272171347,0.999964409089301,bA
pendulum,intact,52,0.043369474562135114,run1_arm1,517578,0.9998730765807973,0.9999595544838048,bA
pendulum,broken,52,0.043369474562135114,run1_arm1,517578,0.9998776614963126,0.9999595544838048,bA
pendulum,intact,53,0.04420350291909925,run1_arm1,517578,0.9991188559749732,1.000839199018632,Ba
pendulum,broken,53,0.04420350291909925,run1_arm1,517578,1.000151988059509,1.000839199018632,Ab
pendulum,intact,54,0.045037531276063386,run1_arm1,524360,1.0000673149041979,0.999990445276667,aB
pendulum,broken,54,0.045037531276063386,run1_arm1,524360,1.0000303418983,0.999990445276667,aB
pendulum,intact,55,0.045871559633027525,run1_arm1,524360,1.0000573019350951,0.999993179085868,aB
pendulum,broken,55,0.045871559633027525,run1_arm1,524360,1.0000442947748236,0.999993179085868,aB
pendulum,intact,56,0.04670558798999166,run1_arm1,524360,1.0000457937457803,0.9999956980513403,aB
pendulum,broken,56,0.04670558798999166,run1_arm1,524360,1.000047052264528,0.9999956980513403,aB
pendulum,intact,57,0.0475396163469558,run1_arm1,528454,0.9988741556981174,0.9991745343603192,bA
