pushpull_score,opposition_rho,opposition_occupancy,best_lag_ms,transfer_gain,signed_loop_area,loop_orientation,active_speed,late_speed,speed_settlement,active_radius,late_radius,radius_settlement,top_left_occupancy,top_left_distance_q10,h_active,h_late,h_change,median_connection,median_movement,n_frames,event,role,offsource_n,pushpull_percentile,speed_settlement_percentile,radius_settlement_percentile,corner_avoidance_percentile,loop_area_percentile,H1_pushpull_score,H1_pushpull_percentile,L1_pushpull_score,L1_pushpull_percentile,detector_replication,dynamic_p95,settlement_joint_p90,corner_avoidance_p90,gps,lag_alignment_ms,lag_alignment_corr
0.0950428231972281,-0.2607369485941656,0.36451612903225805,-40.0,0.7048951048950081,-0.1378508560619523,-1.0,11.476364819786824,13.826274588132474,-0.09287212019510012,0.4066956578020068,0.30272882262907846,0.14655095509194413,0.0,1.2259851934363324,0.0,0.0,0.0,1.1100805467415182,1.085428362216256,320,GW150914,opened_development,53,0.6037735849056604,0.2641509433962264,0.6792452830188679,0.5,0.07547169811320754,0.05596221027354306,0.03773584905660377,0.11364392789604814,0.6226415094339622,False,False,False,False,1126259462.4,8.0,0.10346892530961353
0.06468558811565991,-0.18728017892533919,0.34539473684210525,-64.0,0.7033726127590141,-0.07339291921136164,-1.0,15.582233972587233,10.567503817844182,0.19176980644822467,0.33575119561407524,0.2523040050056718,0.14190366911187446,0.0,1.116063446504333,0.0,0.0,0.0,1.0903913432592953,0.9616792775201366,320,GW151012,opened_development,53,0.2830188679245283,0.9056603773584906,0.5849056603773585,0.5,0.05660377358490566,0.06420206064323335,0.2830188679245283,0.03596218614434251,0.03773584905660377,False,False,False,False,1128678900.4,8.0,0.3163298225873916
0.07286906350319645,-0.19182625264089323,0.37987012987012986,48.0,0.8860759493669621,-0.2748683941312758,-1.0,15.123152744029444,11.228424210091847,0.14779868926699385,0.3768287095504034,0.3071623906866837,0.10185266860850946,0.0,1.1627903469686072,0.0,0.22044585469042371,0.22044585469042371,1.0099259620860792,0.9566756163046131,320,GW151226,opened_development,53,0.5094339622641509,0.9245283018867925,0.6981132075471698,0.5,0.5660377358490566,0.13095309281027007,0.8113207547169812,0.11736606987328663,0.7924528301886793,False,False,False,False,1135136350.6,8.0,0.18592429031511581
0.06482595726834216,-0.17268293789584246,0.37540453074433655,44.0,0.7754031705422391,-0.1770719438531407,-1.0,11.504314715347073,9.867382637702384,0.07659345210646284,0.3435041264337755,0.20024826371690194,0.2634578997931631,0.0,1.0781009468991571,0.36490114718086386,0.3644536652835409,-0.0004474818973229655,0.8948010739565536,0.7478642909445936,320,GW170104,opened_development,53,0.41509433962264153,0.7735849056603774,0.9056603773584906,0.5,0.3018867924528302,0.14687985769079337,0.8301886792452831,0.0983407697497822,0.8301886792452831,False,False,False,False,1167559936.6,-8.0,0.15055783940271364
0.04452482039474073,-0.13014947500001137,0.34210526315789475,-64.0,0.6132906677502078,0.23339380152528064,1.0,14.33548353888727,13.05430189478886,0.04677589195434633,0.4598461668269231,0.26782547092219144,0.2638837161476291,0.0,1.2515727872674773,0.0,0.0,0.0,1.1689447563257669,1.1905052477422506,320,GW170608,opened_development,53,0.07547169811320754,0.6792452830188679,0.8867924528301887,0.5,0.4528301886792453,0.07893143916382712,0.5283018867924528,0.04214191136633091,0.1320754716981132,False,False,False,False,1180922494.5,-4.0,0.2291627637032314
0.0492734492617938,-0.13604704574937757,0.36217948717948717,-32.0,0.5005434782608431,-0.08450766178331809,-1.0,14.429275433933014,12.575365779916421,0.06865151954197193,0.34828587857094656,0.28921356317308733,0.09266253667008707,0.0,1.0999136651986003,0.1410788381742739,0.29802294361728077,0.15694410544300685,0.9916198844683102,0.8681962411520625,320,GW170729,opened_development,53,0.1320754716981132,0.7358490566037735,0.6037735849056604,0.5,0.11320754716981132,0.07954381122847042,0.6226415094339622,0.06502102826220162,0.1509433962264151,False,False,False,False,1185389807.3,0.0,0.4057301496519174
0.11511084155872897,-0.2709532116690082,0.42483660130718953,56.0,0.9822468902534032,-0.49096858467970583,-1.0,15.058823529411768,12.282370182096134,0.10154835873705559,0.4325991456919624,0.21394751478902257,0.33818383771395605,0.0,1.1289676600690246,0.15165568302009624,0.39720120413310545,0.2455455211130092,0.9597673094133918,0.7772760556504759,320,GW170809,opened_development,53,0.8679245283018868,0.6981132075471698,0.9622641509433962,0.5,0.6415094339622641,0.07954044865589044,0.660377358490566,0.0724224541517149,0.3018867924528302,False,False,False,False,1186302519.8,-8.0,0.16679896913918568
0.038823190407696856,-0.10296585282041341,0.3770491803278688,60.0,0.11538461538460733,-0.2242199559550003,-1.0,6.442707819830181,9.924164909191607,-0.21271364096256967,0.2538638659153734,0.16077585177192116,0.22450337044998467,0.0,0.9685488506663736,1.3833699454885688,1.0131803758847937,-0.37018956960377514,0.7588072573427711,0.11008054674151818,320,GW170814,opened_development,53,0.09433962264150944,0.05660377358490566,0.6415094339622641,0.5,0.5660377358490566,0.07954394487463591,0.22641509433962265,0.054293142274887685,0.2830188679245283,False,False,False,False,1186741861.5,0.0,0.8802569302167731
0.13006865600861428,-0.31736752066101886,0.4098360655737705,60.0,1.0863874345549274,0.3936525566142994,1.0,13.995294248011216,12.913427504527121,0.04020505891856425,0.33036090284096,0.29457426092623257,0.057264567573607955,0.0,1.1445531421435335,0.0,0.0011390448295501288,0.0011390448295501288,0.9901960784313726,0.9760800585794484,320,GW170818,opened_development,53,0.8679245283018868,0.660377358490566,0.41509433962264153,0.5,0.6037735849056604,0.0701182280549211,0.4528301886792453,0.06452098070323799,0.41509433962264153,False,False,False,False,1187058327.1,-8.0,0.23980432355530334
0.13377677638614324,-0.31797710694860204,0.42071197411003236,-44.0,0.751394916304977,0.5767429219826177,1.0,18.84552522016974,12.274179771314977,0.2111634879139333,0.41170388810998493,0.2705572462853814,0.2068806717965602,0.0,1.1757236565772957,0.0,0.1802945244487839,0.1802945244487839,0.9281588153933772,0.8303636807420064,320,GW170823,opened_development,53,0.9245283018867925,0.9433962264150944,0.7169811320754716,0.5,0.7735849056603774,0.14307697444579695,1.0,0.08084593281627617,0.4716981132075472,False,False,False,False,1187529256.5,-8.0,0.20937086120676693
