event,role,control_id,pushpull_score,opposition_rho,opposition_occupancy,best_lag_ms,transfer_gain,signed_loop_area,loop_orientation,active_speed,late_speed,speed_settlement,active_radius,late_radius,radius_settlement,top_left_occupancy,top_left_distance_q10,h_active,h_late,h_change,median_connection,median_movement,n_frames
GW150914,matched_offsource,0,0.11659097315286099,-0.30293722938863027,0.3848684210526316,-64.0,0.8972222222221417,0.33788972613059354,1.0,17.079163615653727,12.24701000732243,0.1647727272727216,0.286605196852459,0.2727651159222261,0.024742251446195324,0.0,1.1636906943779233,0.16540558131966487,0.012041331055243631,-0.15336425026442124,1.0514604181921732,0.90883573346351,320
GW150914,matched_offsource,1,0.08852638954262926,-0.236070372113678,0.375,-64.0,0.8014849881902322,0.24524105529193044,1.0,14.902611667073472,16.905357156599422,-0.06296363972902776,0.3786417537842732,0.31788573786211166,0.08722701781442266,0.0,1.1882893092129694,0.0,0.19331217964364156,0.19331217964364156,1.0382800423073795,0.9218940688308519,320
GW150914,matched_offsource,2,0.11251284849251497,-0.28128212123128743,0.4,40.0,0.6926741870481757,0.31442731005243885,1.0,11.934586282645824,15.652428606297285,-0.13476783691958782,0.35650994701178534,0.3112770243100956,0.06773555736207865,0.0,1.1758570888676292,0.0,0.2152794727849645,0.2152794727849645,1.036205353510699,0.9250671222845985,320
GW150914,matched_offsource,3,0.08153890495533658,-0.21241227341306168,0.38387096774193546,40.0,0.693606755126633,0.32974520708233357,1.0,15.652428606297285,15.061934481677836,0.019225341672496274,0.3440195939985275,0.23462282338593593,0.1890576413441823,0.0,1.1567263494955227,0.184769343422016,0.12968838987877307,-0.05508095354324294,1.0055325034578146,0.9234805955577252,320
GW150914,matched_offsource,4,0.11368628922833884,-0.3034929634182611,0.3745928338762215,-52.00000000000001,0.824797843665556,-0.03586095717616013,-1.0,17.7412941906659,15.473832606152627,0.06826593191661072,0.4092589120672844,0.2670415831272322,0.21028718735292,0.0,1.0664236726372982,0.2762997315108616,0.0,-0.2762997315108616,1.0309982914327558,0.8919941420551623,320
GW150914,matched_offsource,5,0.0855855026615631,-0.22871987780245312,0.3741935483870968,-40.0,0.6937310499555863,-0.33176125864235206,-1.0,15.46264241366583,15.027970869634748,0.014255913450882689,0.4014172989210368,0.3067717997358616,0.1336443887155839,0.0,1.0294568075614576,0.12806118297941582,0.2508339435359206,0.12277276055650477,1.0215198112439996,0.8772272394434952,320
GW150914,matched_offsource,6,0.10532498909951851,-0.26762907066271097,0.3935483870967742,-40.0,0.7137020834933849,-0.14859052089029645,-1.0,15.473832606152627,14.616036821337943,0.028507793524386645,0.2737983413704032,0.3079351912896304,-0.05868124837685468,0.0,1.0294568075614576,0.017980636237897585,0.2538442762997315,0.2358636400618339,1.018306077617769,0.8852819135953137,320
GW150914,matched_offsource,7,0.12428877400317438,-0.3019828805858378,0.4115755627009646,-36.00000000000001,0.9020047530741606,-0.5235548624403494,-1.0,16.227130396264247,20.229690157898048,-0.10978905183701537,0.3109007033219056,0.3455646254482683,-0.05280388865509395,0.0,1.0624614402662,0.09332031567813848,0.27442844357660046,0.18110812789846198,0.9971930680986087,0.8450085428362216,320
GW150914,matched_offsource,8,0.13430999342162728,-0.3248427747871916,0.41346153846153844,-32.0,1.0346020761244528,-0.5380700881342844,-1.0,14.616036821337943,13.49670490602881,0.0398158218136178,0.31173739337343775,0.23032428223065096,0.1501916014481333,0.0,1.095459943224871,0.2538442762997315,0.4172158489951996,0.1633715726954681,0.9547636481978684,0.8043690505247743,320
GW150914,matched_offsource,9,0.16150235625002707,-0.37205357625006236,0.4340836012861736,-36.00000000000001,1.0728476821190334,-0.8490728366126403,-1.0,23.6092053366835,12.361600466918798,0.3126870421300931,0.3550171401621006,0.31588943690287963,0.0583206434349398,0.0,1.1412644220993746,0.06240338459035066,0.4228297127979823,0.36042632820763165,0.9374338947197136,0.762997315108616,320
GW150914,matched_offsource,10,0.13920520317280172,-0.3549732680906444,0.39215686274509803,56.0,1.7230499985317098,-0.630390587046961,-1.0,13.49670490602881,12.705231470181417,0.03020667726550063,0.28747017425364263,0.427594128825628,-0.19595993530704262,0.0,1.1588363571699938,0.45382800423073766,0.2380603693759662,-0.21576763485477146,0.9436172809372712,0.7904564315352697,320
GW150914,matched_offsource,11,0.1399741755636633,-0.37044889567279854,0.3778501628664495,52.00000000000001,1.5472350590144464,-0.818283307841948,-1.0,13.603640768988518,17.718440998201338,-0.13137058576748167,0.31478023063786903,0.32796515516272595,-0.0205134487405358,0.0,1.1300988027319445,0.47294768529818576,0.0971442518916279,-0.37580343340655786,0.9502074688796681,0.7896021479131071,320
GW150914,matched_offsource,12,0.12780239368685026,-0.3286347266233292,0.3888888888888889,56.0,1.638838475498808,-0.37729806484508865,-1.0,11.00772923277195,13.115620895319942,-0.0873797234362255,0.4153930078826102,0.26628947581565854,0.21872871260798044,0.0,1.1207834288438967,0.25539012285412077,0.18021316410381583,-0.07517695875030495,0.955007729232772,0.8206004393458628,320
GW150914,matched_offsource,13,0.12869667384711336,-0.3359201317365332,0.38311688311688313,48.0,1.0600684971642047,-0.4466734968050723,-1.0,18.653277894003057,14.902611667073472,0.11177370875841999,0.3535240402321854,0.30794650894939285,0.06890334171206211,0.0,1.109496145814865,0.005044341388007467,0.0,-0.005044341388007467,1.0144821414042795,0.8498901635342934,320
GW150914,matched_offsource,14,0.13192458463296008,-0.3224823179916802,0.4090909090909091,48.0,1.1530768772523676,0.09742261865647722,1.0,13.115620895319942,9.414368236921334,0.1642811559594501,0.23482609745988453,0.24772322553717174,-0.02672706698075538,0.0,1.1050614539387817,0.20519079000894958,0.19876332275648856,-0.006427467252461017,1.0144007810593116,0.8498901635342934,320
GW150914,matched_offsource,15,0.12832299112352,-0.31265998630889397,0.41042345276872966,52.00000000000001,0.8169779760239609,0.44149162525619734,1.0,13.115620895319942,10.393295907574654,0.11579967765294825,0.35552099678775057,0.2703029807520989,0.13616930493860666,0.0,1.0995066187992664,0.008624196566593412,0.34415425921405896,0.33553006264746554,1.0048816206980717,0.8342689773004637,320
GW150914,matched_offsource,16,0.10718007220924643,-0.27193621626643516,0.3941368078175896,52.00000000000001,0.8066465256797101,0.5429594387601757,1.0,12.067867120706632,16.839638760068347,-0.16507033360270043,0.23906301371659425,0.40062807068128625,-0.25256731085523126,0.0,1.0951091646539923,0.15263200715971037,0.165324220974697,0.012692213814986641,1.0143601008868277,0.8198681962411521,320
GW150914,matched_offsource,17,0.11528773401197027,-0.2915541041955612,0.3954248366013072,56.0,0.7223898611949096,0.57967502211792,1.0,9.120834766765627,15.512473287125596,-0.25947138347705795,0.3019291281005905,0.32468402029923565,-0.0363140994674588,0.0,1.0955663495207237,0.3173867057196321,0.036368074200634704,-0.2810186315189974,1.0160279879586689,0.841835489382475,320
GW150914,matched_offsource,18,0.15343753786657569,-0.37561509269737725,0.4084967320261438,56.0,0.8464942137508226,0.8717979208410512,1.0,16.839638760068347,12.195112805823207,0.15996437729817245,0.36579844537297757,0.23365696712349407,0.22043587478666873,0.0,1.0955663495207237,0.30266048328044903,0.26979090391343274,-0.03286957936701629,1.010007322431047,0.8054674151818404,320
GW150914,matched_offsource,19,0.09337856489247343,-0.25090414392847205,0.37216828478964403,-44.0,0.8408518433707166,0.8088485759665832,1.0,16.19310914868087,9.088816107489633,0.28100284963294186,0.37626831250381976,0.21215998181724285,0.2788926573893743,0.0,1.0958211355229819,0.0,0.3094133919127816,0.3094133919127816,1.001220405174518,0.7676348547717842,320
GW150914,matched_offsource,20,0.10037838008776145,-0.2628552495518499,0.3818770226537217,-44.0,0.7886400738585779,0.5410066117542922,1.0,13.205109429663963,9.088816107489633,0.1846374392573529,0.3564866904338561,0.31480415018861063,0.0620931163108564,0.0,1.104500703924757,0.32129200227808974,0.1151248881295257,-0.20616711414856403,1.0126108534700187,0.828777154015133,320
GW150914,matched_offsource,21,0.11487612206792115,-0.30339078392297125,0.3786407766990291,-44.0,0.7486167465879615,0.6365652801986139,1.0,10.705719632251203,16.433887187226805,-0.21106302656029285,0.38791729417385235,0.3374807102565436,0.06952953221430977,0.0,1.1296783981029495,0.3118542022618176,0.02050280693190132,-0.2913513953299163,0.9871857456675617,0.8491579204295827,320
GW150914,matched_offsource,22,0.06314818268359933,-0.18762296585800187,0.3365695792880259,-44.0,0.8470244316695228,0.6470890630864778,1.0,8.437291762991054,17.71530678620165,-0.3547645564075943,0.322135197421462,0.31115670131861417,0.017335601678581468,0.0,1.1183573791719095,0.07558376047514459,0.05003661215523536,-0.02554714831990923,1.0117158896753722,0.828777154015133,320
GW150914,matched_offsource,23,0.04804385491183008,-0.14849918790929298,0.3235294117647059,-56.0,0.7787234042551584,0.1796092368079918,1.0,16.433887187226805,11.872215727119219,0.1611550510471539,0.37297076549455016,0.2534780209095076,0.1907462304632502,0.0,1.122705121285482,0.0,0.0,0.0,1.0139939793344723,0.9216499877959483,320
GW150914,matched_offsource,24,0.07340553634175634,-0.20809459384956616,0.35275080906148865,-44.0,0.8469259723963825,0.26292719468438314,1.0,18.105274574067373,12.350756102942373,0.18894512328780608,0.37170400322038083,0.34498484429889853,0.03728139347211798,0.0,1.0836575665701265,0.04222601903832057,0.08542836221625572,0.04320234317793514,1.0562199983727931,0.9482548206004393,320
GW150914,matched_offsource,25,0.13786763700622767,-0.34410865496676335,0.4006514657980456,-52.00000000000001,0.850976361767686,0.7847929412980047,1.0,14.09642012490855,14.276704535566115,-0.006354055565431079,0.5327313982434048,0.31970619763769725,0.2499012263592963,0.0,1.1689905557852873,0.0,0.0,0.0,1.1721584899519975,1.1709787649499632,320
GW150914,matched_offsource,26,0.10655153036162365,-0.276851839572082,0.3848684210526316,-64.0,0.7506152584085171,0.7656480895600063,1.0,16.516800911235862,11.013146791092446,0.19991516800730255,0.510421300766133,0.22194019463334527,0.39390534311888864,0.0,1.1708172863708637,0.0,0.2705231470181435,0.2705231470181435,1.0868928484256772,0.9516719550890896,320
GW150914,matched_offsource,27,0.04781202805064791,-0.14390947056828676,0.33223684210526316,-64.0,0.7582946842668441,0.48918632247805227,1.0,14.323665260963319,10.747376128874777,0.14264621387199164,0.3842432292318332,0.2378182924191178,0.23538658431061332,0.0,1.115618746358301,0.0,0.43544056626800076,0.43544056626800076,0.9937352534374746,0.8694166463265804,320
GW150914,matched_offsource,28,0.026444471802949277,-0.08932354920107312,0.29605263157894735,-64.0,0.8694230769227087,0.11802033440670628,1.0,9.11046009256108,14.121552355381965,-0.21569772631833925,0.24658769000576738,0.3948786688426519,-0.2311749896017462,0.0,1.0827668032948152,0.22252054348710437,0.5636644699373525,0.34114392645024816,0.9813684810023594,0.8019282401757384,320
GW150914,matched_offsource,29,0.05243089652716029,-0.15883477477345617,0.3300970873786408,44.0,0.47764057121265135,0.15863650785433145,1.0,11.013146791092446,17.066538173633276,-0.21557903481271282,0.2216390198705498,0.3332885592992349,-0.20119659505033144,0.0,1.0827042586953999,0.40395411276543824,0.17085672443251143,-0.2330973883329268,0.9321861524692864,0.7390773736880645,320
GW150914,matched_offsource,30,0.08368584089088432,-0.2386596203184479,0.35064935064935066,48.0,0.948196877602741,-0.08604189110514586,-1.0,10.747376128874777,12.887624860590854,-0.09055420529366251,0.42658315881632214,0.32405249356983806,0.13659178713456735,0.0,1.1088194598486012,0.6378651045480432,0.2369213245464159,-0.40094378000162734,0.9092018550158653,0.7106419331217965,320
GW150914,matched_offsource,31,0.08720892150133604,-0.2510312880599206,0.3474025974025974,48.0,0.762278978388974,0.14228456790458108,1.0,18.025958487241134,14.227694706260731,0.1177622813202915,0.39967138064499236,0.2733719698087567,0.18765419902135586,0.0,1.0677515223842537,0.05499959319827519,0.13839394679033434,0.08339435359205916,0.9428443576600765,0.7339516719550891,320
GW150914,matched_offsource,32,0.0836777133621723,-0.2494083301183194,0.3355048859934853,52.00000000000001,0.7896074555210181,0.4882029187770561,1.0,15.274541847007573,19.27702484793512,-0.11584085423001309,0.4326168857457306,0.2857030578663054,0.2045242223687565,0.0,1.0758649410935202,0.4202261817590107,0.0,-0.4202261817590107,0.9755105361646734,0.8367097876494997,320
GW150914,matched_offsource,33,0.13598879794440544,-0.3450294294953097,0.3941368078175896,52.00000000000001,0.8117206982542695,0.4724143252432316,1.0,12.707390936999921,18.958843664908866,-0.1974169902578793,0.23044181296255356,0.2989141538286235,-0.12935027686757314,0.0,1.0790019947602383,0.024164022455455125,0.0,-0.024164022455455125,0.9742087706451876,0.8325604100561386,320
GW150914,matched_offsource,34,0.08622877375294914,-0.23094315057311599,0.37337662337662336,48.0,0.8457446808510217,0.5021772381795007,1.0,22.423205470489332,13.062790907464146,0.2637777015848512,0.408859274664668,0.2582946091330331,0.22568206404545857,0.0,1.0800292791582924,0.15661866406313585,0.2677568952892361,0.11113823122610023,1.030225368155561,0.8310959238467172,320
GW150914,matched_offsource,35,0.0748919145856256,-0.2182564367923946,0.3431372549019608,56.0,0.5778648383937137,0.7173851507977358,1.0,18.958843664908866,13.306243436476665,0.17519246765614002,0.4477640326246358,0.2627698450914429,0.2603594189309776,0.0,1.0790019947602383,0.0,0.39679440240826636,0.39679440240826636,0.9652591326987227,0.8004637539663169,320
GW150914,matched_offsource,36,0.09109925105977812,-0.2421527100819743,0.3762057877813505,-36.00000000000001,0.9223744292236763,0.6551452415209741,1.0,12.653160849402003,16.234657610145657,-0.12397948172371655,0.33011486493218567,0.25782918737728466,0.12294652402866686,0.0,1.0892047409694154,0.2899682694654624,0.5313644129851108,0.24139614351964844,0.9546009275079328,0.7794727849646083,320
GW150914,matched_offsource,37,0.08312861544589674,-0.21228712539489333,0.39158576051779936,44.0,0.588616714697392,0.32942893040814963,1.0,11.75485700955759,16.261300558578995,-0.16085159208793592,0.3124475598059542,0.23194237623581185,0.1478814692191849,0.0,1.1127845242694185,0.25953950044748175,0.45732649906435596,0.1977869986168742,0.886827760149703,0.7410300219672932,320
GW150914,matched_offsource,38,0.05982373328772016,-0.17443929706325878,0.34294871794871795,-32.0,0.8308080808080478,0.3371225221063521,1.0,16.724412234031472,15.66296736708148,0.03277340989060703,0.2844035784435546,0.264220485518264,0.036788566617920876,0.0,1.091207404985426,0.5742413147831746,0.3477341143926449,-0.22650720039052974,0.85668375233911,0.7410300219672932,320
