split,event_id,run,period,rf_flag,temperature_K,field_G,direction,crossing_time_us,crossing_U,crossing_R,crossing_H,wrong_H,shifted_H,history_median_H,parent_ARA,H_exposure,E2,E3_correct,E3_shifted,E3_wrong,affine_H,E3_affine,closure_gain,shifted_minus_correct,wrong_minus_correct
development,EMU00069983|RF off|16,EMU00069983,RF off,0,300.0,50.0,R_to_U,3.2901108761901297,1.0124051385463764,1.0124051385463764,0.7659335100592679,0.946272248342972,0.6951268208105417,0.6951268208105417,1.5507783539149578,0.07080668924872624,0.02481027709275274,0.7907437871520206,0.7199370979032944,0.9710825254357247,0.25006752991059433,0.2748778070033471,-0.7659335100592679,-0.07080668924872624,0.18033873828370406
development,EMU00069983|RF on|22,EMU00069983,RF on,1,300.0,50.0,R_to_U,3.6870429617625318,0.9073373558334006,0.9073373558334006,0.7815275632924478,0.5749127302547399,0.7343599581587512,0.7343599581587512,1.6248669465328784,0.047167605133696555,0.18532528833319883,0.5962022749592489,0.5490346698255524,0.38958744192154104,0.253661497268562,0.06833620893536319,-0.4108769866260501,-0.047167605133696555,-0.2066148330377079
development,EMU00069989|RF off|21,EMU00069989,RF off,0,300.0,86.0,R_to_U,3.612698734640281,0.8584166874385406,0.8584166874385406,1.2773391004794077,1.0658393313894945,1.2169607134543732,1.2169607134543732,1.6119723832600217,0.06037838702503451,0.2831666251229188,0.9941724753564889,0.9337940883314544,0.7826727062665757,0.36793137013024096,0.08476474500732217,-0.7110058502335701,-0.06037838702503451,-0.2114997690899132
development,EMU00069989|RF on|18,EMU00069989,RF on,1,300.0,86.0,R_to_U,3.393075333062269,0.8939696942427272,0.8939696942427272,1.1965077881325517,0.8337080231073186,1.1859981009637317,1.1859981009637317,1.5712856560969108,0.010509687168819948,0.2120606115145457,0.984447176618006,0.973937489449186,0.6216474115927729,0.34930214694289313,0.13724153542834744,-0.7723865651034603,-0.010509687168819948,-0.36279976502523303
development,EMU00069995|RF off|15,EMU00069995,RF off,0,300.0,122.0,R_to_U,3.2288065273613977,0.8065543893030944,0.8065543893030944,1.1578733168462088,0.7605225279024086,1.1385579122796936,1.1385579122796936,1.538106218987066,0.01931540456651515,0.38689122139381116,0.7709820954523976,0.7516666908858824,0.37363130650859744,0.34039804570512006,0.0464931756886911,-0.38409087405858644,-0.01931540456651515,-0.39735078894380016
development,EMU00069995|RF on|20,EMU00069995,RF on,1,300.0,122.0,R_to_U,3.5345686721738323,0.8213368653278822,0.8213368653278822,1.250756460177728,0.8041359767669807,1.1319276464147348,1.1319276464147348,1.597951593920439,0.11882881376299315,0.3573262693442355,0.8934301908334924,0.7746013770704993,0.4468097074227452,0.3618048589465061,0.0044785896022705995,-0.5361039214892569,-0.11882881376299315,-0.4466204834107472
development,EMU00070001|RF off|14,EMU00070001,RF off,0,300.0,158.0,R_to_U,3.1314924247348617,0.857560716114606,0.857560716114606,0.9416662680406427,0.7712606330839822,0.8527314768587895,0.8527314768587895,1.5172419879236858,0.08893479118185321,0.2848785677707878,0.6567877002698549,0.5678529090880017,0.4863820653131944,0.2905687252359298,0.0056901574651420095,-0.3719091324990671,-0.08893479118185321,-0.1704056349566605
development,EMU00070001|RF on|19,EMU00070001,RF on,1,300.0,158.0,R_to_U,3.4792493395647273,0.891453950614495,0.891453950614495,0.866983253995172,0.792602087389554,0.8336647524400211,0.8336647524400211,1.5877337077726132,0.033318501555150815,0.2170920987710101,0.6498911552241619,0.616572653669011,0.5755099886185439,0.27335650268798023,0.05626440391697013,-0.43279905645315175,-0.033318501555150815,-0.074381166605618
development,EMU00070007|RF off|15,EMU00070007,RF off,0,300.0,194.0,R_to_U,3.1830657647658906,0.9468087299563805,0.9468087299563805,0.9648041974922617,0.9473300703975364,0.9767411937840541,0.9767411937840541,1.5284384817950794,-0.011936996291792457,0.10638254008723891,0.8584216574050227,0.8703586536968152,0.8409475303102975,0.295901332604689,0.18951879251745007,-0.7520391173177838,0.011936996291792457,-0.01747412709472529
development,EMU00070007|RF on|18,EMU00070007,RF on,1,300.0,194.0,R_to_U,3.416888078570119,0.826612113271516,0.826612113271516,0.8933598030651968,1.0438459088173264,0.6162284276809677,0.6162284276809677,1.5758986241797266,0.27713137538422905,0.346775773456968,0.5465840296082288,0.2694526542239998,0.6970701353603584,0.27943551594745797,0.06734025750951,-0.19980825615126085,-0.27713137538422905,0.15048610575212962
development,EMU00070013|RF off|15,EMU00070013,RF off,0,300.0,230.0,R_to_U,3.2155413346549295,0.8263160446509384,0.8263160446509384,1.1284694756074718,0.9562241338293982,1.0814376867744646,1.0814376867744646,1.5353024966700315,0.04703178883300718,0.34736791069812323,0.7811015649093486,0.7340697760763414,0.608856223131275,0.3336213312723365,0.01374657942578672,-0.43373365421122534,-0.04703178883300718,-0.1722453417780736
development,EMU00070013|RF on|15,EMU00070013,RF on,1,300.0,230.0,R_to_U,3.187685089155934,0.9509250122529299,0.9509250122529299,1.1015013679924806,0.9786844123221444,1.0827104623954882,1.0827104623954882,1.529414819129076,0.01879090559699237,0.09814997549414006,1.0033513924983404,0.9845604869013481,0.8805344368280044,0.3274059812908311,0.22925600579669103,-0.9052014170042003,-0.018790905596992258,-0.12281695567033601
development,EMU00070019|RF off|13,EMU00070019,RF off,0,300.0,266.0,R_to_U,3.075351682512671,0.7332482935838273,0.7332482935838273,0.9366795698415694,0.9253462664431189,0.2690368904066748,0.2690368904066748,1.5047720394013824,0.6676426794348946,0.5335034128323456,0.4031761570092238,0.2644665224256708,0.3918428536107733,0.289419439012296,0.2440839738200496,0.13032725582312177,-0.138709634583553,-0.011333303398450512
development,EMU00070019|RF on|15,EMU00070019,RF on,1,300.0,266.0,R_to_U,3.1951014731300127,0.8414994116223025,0.8414994116223025,1.0280563777433642,1.008488485088533,0.6807395856983158,0.6807395856983158,1.5309823411183858,0.3473167920450484,0.3170011767553951,0.7110552009879691,0.36373840894292075,0.6914873083331379,0.3104790865563725,0.006522090199022557,-0.3940540242325741,-0.3473167920450484,-0.019567892654831276
development,EMU00070025|RF off|8,EMU00070025,RF off,0,300.0,302.0,R_to_U,2.7531319357657105,0.8911319966821871,0.8911319966821871,0.9069031065049648,1.0779852048531486,0.7675669532659336,0.7675669532659336,1.4267750669496078,0.13933615323903115,0.21773600663562576,0.689167099869339,0.5498309466303078,0.8602491982175229,0.2825568462234129,0.06482083958778717,-0.47143109323371324,-0.13933615323903115,0.1710820983481839
development,EMU00070025|RF on|9,EMU00070025,RF on,1,300.0,302.0,R_to_U,2.8039182045949844,0.8586072136395166,0.8586072136395166,0.960514726944179,1.0410925794190957,0.8867082488744555,0.8867082488744555,1.439863760069378,0.07380647806972351,0.2827855727209667,0.6777291542232123,0.6039226761534888,0.758307006698129,0.2949127367019912,0.01212716398102448,-0.3949435815022456,-0.07380647806972351,0.08057785247491667
development,EMU00070031|RF off|12,EMU00070031,RF off,0,300.0,338.0,R_to_U,2.997016739236512,0.814786398319749,0.814786398319749,0.9434922735099065,1.0366315945871938,0.9567568489670508,0.9567568489670508,1.4868682739598935,-0.013264575457144323,0.37042720336050206,0.5730650701494044,0.5863296456065488,0.6662043912266917,0.29098956540839,0.07943763795211206,-0.2026378667889024,0.013264575457144323,0.09313932107728728
development,EMU00070031|RF on|3,EMU00070031,RF on,1,300.0,338.0,R_to_U,2.448772872302051,0.7692205422097581,0.7692205422097581,0.9290557827064188,1.043582456135131,0.7272019116779538,0.7272019116779538,1.341844064600009,0.20185387102846497,0.4615589155804837,0.4674968671259351,0.2656429960974701,0.5820235405546473,0.287662381902248,0.17389653367823565,-0.005937951545451403,-0.20185387102846497,0.11452667342871226
development,EMU00070037|RF off|5,EMU00070037,RF off,0,300.0,374.0,R_to_U,2.563360696806748,0.8102384758536786,0.8102384758536786,1.1495541541823462,1.0647249219104018,0.5321093433477705,0.5321093433477705,1.3752044636892549,0.6174448108345757,0.3795230482926427,0.7700311058897035,0.15258629505512777,0.6852018736177591,0.3384807251334595,0.041042323159183214,-0.39050805759706075,-0.6174448108345757,-0.08482923227194439
development,EMU00070037|RF on|5,EMU00070037,RF on,1,300.0,374.0,R_to_U,2.590766748709681,0.8745979883202585,0.8745979883202585,1.0649640369899325,0.972638389067867,0.4667599119109075,0.4667599119109075,1.3829497249788756,0.598204125079025,0.25080402335948293,0.8141600136304495,0.21595588855142456,0.7218343657083841,0.3189852087689688,0.06818118540948587,-0.5633559902709666,-0.598204125079025,-0.09232564792206543
development,EMU00070037|RF on|6,EMU00070037,RF on,1,300.0,374.0,U_to_R,2.632195805169748,0.8557249188570044,0.8557249188570044,1.0639830995284696,0.9709842428063903,0.4667599119109075,0.4667599119109075,1.3944217901062506,0.5972231876175621,0.2885501622859912,0.7754329372424784,0.1782097496249163,0.6824340805203991,0.31875913174050235,0.03020896945451118,-0.48688277495648724,-0.5972231876175621,-0.0929988567220793
development,EMU00070037|RF on|8,EMU00070037,RF on,1,300.0,374.0,R_to_U,2.732722862140415,0.817766630956299,0.817766630956299,1.0590381705743501,0.9755131345972534,0.4667599119109075,0.4667599119109075,1.4214886375783053,0.5922782586634426,0.36446673808740204,0.6945714324869481,0.10229317382350545,0.6110463965098514,0.3176194720905814,0.04684726599682065,-0.33010469439954604,-0.5922782586634426,-0.0835250359770967
development,EMU00070043|RF off|6,EMU00070043,RF off,0,300.0,410.0,R_to_U,2.6201745219268897,0.8806952880419087,0.8806952880419087,1.0894889519743893,0.9831229010317277,0.9211233506087495,0.9211233506087495,1.3911217166335754,0.16836560136563983,0.23860942391618256,0.8508795280582068,0.6825139266925669,0.7445134771155452,0.3246374752190749,0.08602805130289232,-0.6122701041420242,-0.16836560136563983,-0.1063660509426616
