split,run,period,field_G,target,scored_rows,baseline_mse,transfer_mse,wrong_mse,reverse_mse,baseline_minus_transfer,wrong_minus_transfer,reverse_minus_transfer
development,EMU00069983,RF off,50.0,future_U,26,0.0040248442686083115,0.0035950062000176027,0.003958366798661262,0.003685118433493847,0.00042983806859070873,0.000363360598643659,9.011223347624425e-05
development,EMU00069983,RF on,50.0,future_U,26,0.005990562085243006,0.006741961425723536,0.00704401695516796,0.006767659817497306,-0.0007513993404805299,0.0003020555294444239,2.569839177376989e-05
development,EMU00069989,RF off,86.0,future_U,26,0.0021478216988400434,0.002119055280144236,0.002555646028892542,0.002164867413037415,2.8766418695807573e-05,0.00043659074874830613,4.581213289317921e-05
development,EMU00069989,RF on,86.0,future_U,26,0.0027383759219311386,0.0023861518089143756,0.0031355206670671846,0.00240806529477783,0.000352224113016763,0.000749368858152809,2.1913485863454644e-05
development,EMU00069995,RF off,122.0,future_U,26,0.005819417695029402,0.00632323572471385,0.0051355475580707344,0.0063463067714166635,-0.0005038180296844472,-0.0011876881666431152,2.3071046702813867e-05
development,EMU00069995,RF on,122.0,future_U,26,0.00393964530017615,0.0038914791407266723,0.004321803404603966,0.003928754337476088,4.816615944947759e-05,0.00043032426387729344,3.7275196749416047e-05
development,EMU00070001,RF off,158.0,future_U,26,0.0013114730940985628,0.0012648151437079876,0.001447187371947513,0.0012138156847420394,4.665795039057513e-05,0.00018237222823952546,-5.0999458965948286e-05
development,EMU00070001,RF on,158.0,future_U,26,0.0042470540300194376,0.004654120689639182,0.00482308920410602,0.0046744881341334735,-0.00040706665961974444,0.0001689685144668383,2.0367444494291502e-05
development,EMU00070007,RF off,194.0,future_U,26,0.0030242644232281973,0.0031690154283053286,0.003026188144204115,0.0031226686876466617,-0.00014475100507713124,-0.00014282728410121336,-4.634674065866684e-05
development,EMU00070007,RF on,194.0,future_U,26,0.009241465821874777,0.0087095891974738,0.008800015855931181,0.0086340660863918,0.0005318766244009777,9.042665845738172e-05,-7.552311108200045e-05
development,EMU00070013,RF off,230.0,future_U,26,0.004317829151107122,0.0041316037227076404,0.004574068686276621,0.004157448901718454,0.00018622542839948162,0.00044246496356898073,2.5845179010813152e-05
development,EMU00070013,RF on,230.0,future_U,26,0.007224982837810491,0.0075979884101215695,0.007012265614948227,0.007536363058613347,-0.0003730055723110788,-0.0005857227951733424,-6.162535150822275e-05
development,EMU00070019,RF off,266.0,future_U,26,0.0051186302652232295,0.005135072356447155,0.00496666385435545,0.004073640255759615,-1.6442091223925308e-05,-0.00016840850209170512,-0.00106143210068754
development,EMU00070019,RF on,266.0,future_U,26,0.007511021699202144,0.0075599619245635555,0.007402667136249531,0.006894634902899399,-4.8940225361411745e-05,-0.00015729478831402483,-0.0006653270216641569
development,EMU00070025,RF off,302.0,future_U,26,0.003984749875689848,0.0040405100040983985,0.003691095933496026,0.004332524298401862,-5.576012840855047e-05,-0.0003494140706023726,0.0002920142943034637
development,EMU00070025,RF on,302.0,future_U,26,0.004963334649232215,0.004925984648323516,0.004925109244778326,0.0049509140491967845,3.7350000908698694e-05,-8.754035451903272e-07,2.492940087326853e-05
development,EMU00070031,RF off,338.0,future_U,26,0.0007724557589034794,0.0007595683992646927,0.0008923119658710483,0.0008175959711720509,1.2887359638786688e-05,0.00013274356660635564,5.802757190735827e-05
development,EMU00070031,RF on,338.0,future_U,26,0.005490668419013565,0.005473760646693116,0.005334886170723747,0.005144118580910294,1.6907772320448947e-05,-0.00013887447596936872,-0.0003296420657828217
development,EMU00070037,RF off,374.0,future_U,26,0.0011555008827154635,0.0011621818832427773,0.001251402862730123,0.0011589780109848673,-6.6810005273137876e-06,8.922097948734571e-05,-3.2038722579100145e-06
development,EMU00070037,RF on,374.0,future_U,26,0.0013408090426414586,0.0012662312824355188,0.0013307190754472875,0.0014676319790524394,7.45777602059398e-05,6.448779301176867e-05,0.00020140069661692063
development,EMU00070043,RF off,410.0,future_U,26,0.006496503858097349,0.006268063696134357,0.006458615302557662,0.006827635538513798,0.0002284401619629924,0.0001905516064233054,0.0005595718423794414
development,EMU00070043,RF on,410.0,future_U,26,0.0010620975624722182,0.0011299327142467726,0.001011789151107787,0.0011728474564913025,-6.783515177455433e-05,-0.00011814356313898555,4.291474224452996e-05
development,EMU00070049,RF off,446.0,future_U,26,0.0074456261680058465,0.007066297078259042,0.007398910798636624,0.0071370116955700395,0.0003793290897468049,0.00033261372037758207,7.071461731099783e-05
development,EMU00070049,RF on,446.0,future_U,26,0.005719099085010946,0.0054516978865768945,0.006245229226075626,0.005835828625924437,0.00026740119843405175,0.0007935313394987313,0.0003841307393475423
development,EMU00070055,RF off,482.0,future_U,26,0.005321035982206554,0.005219741459428316,0.005402309136509868,0.00503122181428914,0.00010129452277823827,0.00018256767708155208,-0.00018851964513917543
development,EMU00070055,RF on,482.0,future_U,26,0.00945540737373705,0.008912196293490698,0.009004064911838288,0.008948972727266151,0.000543211080246353,9.18686183475903e-05,3.6776433775453574e-05
development,EMU00069983,RF off,50.0,future_R,26,0.0017407523758501062,0.0018486013891638902,0.0023877272329546834,0.0020227264297111684,-0.00010784901331378403,0.0005391258437907932,0.00017412504054727823
development,EMU00069983,RF on,50.0,future_R,26,0.0012424686457674708,0.001357245876782725,0.0032497270250949712,0.0010646399052495568,-0.00011477723101525417,0.0018924811483122463,-0.0002926059715331682
development,EMU00069989,RF off,86.0,future_R,26,0.014138151679664018,0.016250670500757104,0.015927460692564507,0.014534124890911541,-0.0021125188210930866,-0.00032320980819259756,-0.0017165456098455628
development,EMU00069989,RF on,86.0,future_R,26,0.010390725905424688,0.007443536351175687,0.01660948255783956,0.007034088044298236,0.002947189554249001,0.009165946206663875,-0.00040944830687745116
development,EMU00069995,RF off,122.0,future_R,26,0.006440593980754942,0.0037037252316387856,0.013145234080598615,0.0038791522841226398,0.0027368687491161566,0.009441508848959829,0.0001754270524838542
development,EMU00069995,RF on,122.0,future_R,26,0.000920874872602307,0.002653594070948218,0.0019195038287296057,0.002668105156055999,-0.0017327191983459108,-0.0007340902422186121,1.4511085107781103e-05
development,EMU00070001,RF off,158.0,future_R,26,0.002656829933976596,0.0031360119211111914,0.009527273968204741,0.003178111346691188,-0.0004791819871345954,0.0063912620470935495,4.209942557999646e-05
development,EMU00070001,RF on,158.0,future_R,26,0.0061369020272035255,0.004134111468308539,0.006313483909867323,0.00390825276564375,0.0020027905588949867,0.002179372441558784,-0.000225858702664789
development,EMU00070007,RF off,194.0,future_R,26,0.002291894811635975,0.0025259022331521382,0.0021890146996117795,0.0026612847857702382,-0.00023400742151616317,-0.0003368875335403587,0.00013538255261810002
development,EMU00070007,RF on,194.0,future_R,26,0.0009425580566928561,0.00171192148791745,0.0014400001630320218,0.0018208382242678259,-0.000769363431224594,-0.0002719213248854283,0.00010891673635037577
development,EMU00070013,RF off,230.0,future_R,26,0.0054645750372701385,0.0035650321453622063,0.007373593412501529,0.0035351097383104517,0.0018995428919079322,0.0038085612671393226,-2.992240705175465e-05
development,EMU00070013,RF on,230.0,future_R,26,0.000902715466445253,0.00043295199013461617,0.0028929750562903898,0.0005465829466293986,0.0004697634763106368,0.0024600230661557736,0.0001136309564947824
development,EMU00070019,RF off,266.0,future_R,26,0.14920872892351078,0.1310079293348557,0.1214481231625299,0.1413954889782267,0.018200799588655087,-0.009559806172325797,0.010387559643371014
development,EMU00070019,RF on,266.0,future_R,26,0.0014223831426927367,0.0019503732857251224,0.00215584684486339,0.0010916483328672446,-0.0005279901430323857,0.00020547355913826766,-0.0008587249528578778
development,EMU00070025,RF off,302.0,future_R,26,0.005146054980468028,0.007473528370007694,0.006533729918356153,0.007987536475936237,-0.002327473389539666,-0.0009397984516515412,0.0005140081059285427
development,EMU00070025,RF on,302.0,future_R,26,0.005177382896561334,0.005447122324171201,0.005225047540527437,0.0061195957868793,-0.00026973942760986653,-0.00022207478364376365,0.0006724734627080991
development,EMU00070031,RF off,338.0,future_R,26,0.006151044879061253,0.007066714734603769,0.008713539205712151,0.0064120208986672604,-0.0009156698555425162,0.0016468244711083822,-0.0006546938359365088
development,EMU00070031,RF on,338.0,future_R,26,0.004137319932322963,0.004714689557937437,0.003559534743791808,0.008833120520856073,-0.0005773696256144737,-0.0011551548141456288,0.0041184309629186365
development,EMU00070037,RF off,374.0,future_R,26,0.0012524439976851422,0.0010683908703337777,0.0015826078563100433,0.00412316675550224,0.00018405312735136447,0.0005142169859762655,0.003054775885168462
development,EMU00070037,RF on,374.0,future_R,26,0.001782259612595753,0.002997552715503393,0.0029029733301866754,0.004918589649707414,-0.0012152931029076402,-9.457938531671779e-05,0.0019210369342040207
development,EMU00070043,RF off,410.0,future_R,26,0.003402739107220073,0.0033918298194019736,0.0038174207338104475,0.005069622389616783,1.0909287818099567e-05,0.00042559091440847385,0.001677792570214809
development,EMU00070043,RF on,410.0,future_R,26,0.001704297024617385,0.0026485688645982923,0.00191149434135127,0.00217664455202238,-0.0009442718399809073,-0.0007370745232470222,-0.00047192431257591207
development,EMU00070049,RF off,446.0,future_R,26,0.0016954575454663676,0.0016636557557185645,0.0021502040753566547,0.0018056998263845916,3.18017897478031e-05,0.00048654831963809014,0.0001420440706660271
development,EMU00070049,RF on,446.0,future_R,26,0.004149881509354974,0.0034990351911008332,0.006016848660634862,0.006859801232783739,0.000650846318254141,0.0025178134695340287,0.0033607660416829057
development,EMU00070055,RF off,482.0,future_R,26,0.0020994990342142203,0.0023847612736107937,0.0016306471841596353,0.005463127989944251,-0.0002852622393965734,-0.0007541140894511585,0.003078366716333457
development,EMU00070055,RF on,482.0,future_R,26,0.0007220245351978031,0.0006104948814225511,0.00047087547883492244,0.0006553132588457372,0.000111529653775252,-0.00013961940258762866,4.481837742318609e-05
