split,run,period,rf_flag,temperature_K,field_G,frequency_MHz,turns_per_lifetime,field_turn_log2,time_us,parent_ARA,state_x_L,state_x_C,spin_radius,observed_phase_ARA,openness_U,closure_R,local_loss,null_loss,wrong_openness_U,wrong_closure_R,cycle_bins,history_native_bins
development,EMU00069983,RF on,1,300.0,50.0,0.67745,1.4924223499999998,0.5776558707301577,2.2829999923706055,1.290480240652085,1.0148348029236454,1.1047614798208734,0.902424372132352,1.2877113778353948,0.6284928771647461,1.4889175935288748,0.4976440653327165,1.0859667707285794,0.7912667925465342,0.7554166839216792,92,128
development,EMU00069983,RF on,1,300.0,50.0,0.67745,1.4924223499999998,0.5776558707301577,2.3469998836517334,1.3107961426068178,1.0988198068058794,1.080320853107685,1.4425000282156764,1.3951570320699278,0.583858391837276,1.4931403891016894,0.44463746513279506,1.0784629008090807,0.8075965087194412,0.7256999927686681,92,128
development,EMU00069983,RF on,1,300.0,50.0,0.67745,1.4924223499999998,0.5776558707301577,2.4110000133514404,1.3305304054176792,0.9109194939279016,1.0832771660349436,0.9191045108168229,1.4060992337881348,0.5673567016294974,1.511550139667754,0.42220590641439254,1.0661202390309006,0.8136105113857743,0.6978649160713396,92,128
development,EMU00069983,RF on,1,300.0,50.0,0.67745,1.4924223499999998,0.5776558707301577,2.4749999046325684,1.3496995384347905,1.3669458186500314,1.0636164819624498,2.2785985951450707,1.230105878203445,0.6057055399505322,1.515409567141726,0.4714485584986604,1.0852436868361388,0.901410044977642,0.6628005809618558,92,128
development,EMU00069983,RF on,1,300.0,50.0,0.67745,1.4924223499999998,0.5776558707301577,2.5390000343322754,1.3683198640131937,0.5818673245165839,1.0723206398916574,0.45281316331129745,0.7301594779786708,0.6018446576475645,1.4512082262065564,0.5019814687720513,1.166161505975455,0.9160117976870904,0.6288119119866484,92,128
development,EMU00069983,RF on,1,300.0,50.0,0.67745,1.4924223499999998,0.5776558707301577,2.6029999256134033,1.3864069596019823,0.9157333839810908,1.0593277910454204,1.242604532573329,1.1090043562637353,0.5060361424628298,1.4405743979467598,0.3946857995919916,1.1652257026619515,0.9380153992818394,0.6205258008857557,92,128
development,EMU00069983,RF on,1,300.0,50.0,0.67745,1.4924223499999998,0.5776558707301577,2.6670000553131104,1.4039762262104571,1.1021696862414985,1.061150946703015,1.532342438537731,1.6293132613457213,0.4984365336054393,1.4342276258372646,0.3912605160680817,1.1786906800767907,0.9325538666381998,0.5775998757675249,92,128
development,EMU00069983,RF on,1,300.0,50.0,0.67745,1.4924223499999998,0.5776558707301577,2.7309999465942383,1.4210423619895745,1.3359908536515221,1.09000805219809,1.4942516760410993,0.9897986678442159,0.5336707061096637,1.4169982625735615,0.43364042141737547,1.191483148053072,0.9473108721151364,0.5482451339152917,92,128
development,EMU00069983,RF on,1,300.0,50.0,0.67745,1.4924223499999998,0.5776558707301577,2.7950000762939453,1.4376198986099702,0.879480839969513,1.0976458470729644,1.022040119701148,1.2798750019745841,0.577290418855044,1.3947654921229162,0.4851202950261123,1.1955599282426708,0.8999209076337367,0.5432092470841371,92,128
development,EMU00069983,RF on,1,300.0,50.0,0.67745,1.4924223499999998,0.5776558707301577,2.8589999675750732,1.4537227045580847,1.243797642727797,1.0982927373803357,1.0142596526223662,1.6364066805623638,0.5571010203241373,1.3719579086064384,0.45535729831705096,1.1793813997097846,0.8916349089302207,0.5464897430899875,92,128
development,EMU00069983,RF on,1,300.0,50.0,0.67745,1.4924223499999998,0.5776558707301577,2.922999858856201,1.4693644338095633,0.946897884777626,1.1304124645095033,1.0966951082425267,1.9763743139986227,0.6227070207359853,1.3518030143464417,0.5546273112717897,1.2267154158947313,0.9143244630895464,0.541036697463205,92,128
development,EMU00069983,RF on,1,300.0,50.0,0.67745,1.4924223499999998,0.5776558707301577,2.986999988555908,1.4845583443015913,1.1062650571627775,1.0977804681182723,1.3497386193393357,0.05424868166963857,0.5976007803476577,1.3071540063131097,0.5190299754273129,1.2180158668668157,0.8960756374908194,0.5186447112993631,92,128
development,EMU00069983,RF on,1,300.0,50.0,0.67745,1.4924223499999998,0.5776558707301577,3.050999879837036,1.4993171470024178,0.6334939899371627,1.074571135546402,0.764531015989907,0.0341813450512758,0.7477662873546614,1.2757509794367823,0.7390177653793686,1.2375831535889308,0.8910386072601786,0.4960856837204777,92,128
development,EMU00069983,RF on,1,300.0,50.0,0.67745,1.4924223499999998,0.5776558707301577,3.115000009536743,1.5136534089080294,1.0815299370589304,1.0980604671789453,1.3382534039780454,0.42987472130195015,0.8289980304542426,1.2216997458731174,0.8914839571357365,1.2592665257025768,0.9225749520351441,0.5003229074778616,92,128
development,EMU00069983,RF on,1,300.0,50.0,0.67745,1.4924223499999998,0.5776558707301577,3.178999900817871,1.5275791234923892,0.914379387258294,1.109523559284947,1.3256111963099628,0.7696977472905951,0.7583179381829249,1.2011633744169279,0.7361928727231307,1.2054541216422932,0.9415278224312482,0.4963388391227816,92,128
development,EMU00069983,RF on,1,300.0,50.0,0.67745,1.4924223499999998,0.5776558707301577,3.243000030517578,1.5411061483839812,1.142094693829194,1.0884521127331144,1.3259572605132826,0.5316591631988782,0.8058075957389316,1.1762964992893266,0.7756366249367106,1.1494795666659412,0.893966656461026,0.4636259638560125,92,128
development,EMU00069983,RF on,1,300.0,50.0,0.67745,1.4924223499999998,0.5776558707301577,3.306999921798706,1.5542458000627855,0.9564810438190162,1.1186377507934835,0.5253647506425114,0.588455717995644,0.8230393289200919,1.1470196889252553,0.7711319207637793,1.102732167300104,0.8931014482736832,0.4583763038811192,92,128
