split,arm,horizon_reads,horizon_native_bins,horizon_us_median,shared_native_bins,overlapping_histories,prediction_rows,baseline_mse,transfer_mse,baseline_minus_transfer,relative_improvement_pct
development,U_to_R,1,4,0.06400012969970703,124,1,1482,0.0003611132322410242,0.0003586387988742945,2.4744333667296855e-06,0.685223676621778
development,R_to_U,1,4,0.06400012969970703,124,1,1482,0.0019727073581688927,0.0019356996468556332,3.700771131325952e-05,1.875985870890188
development,U_to_R,2,8,0.12800002098083496,120,1,1456,0.0007255408777538895,0.0007212576825953564,4.283195158533105e-06,0.5903451190500677
development,R_to_U,2,8,0.12800002098083496,120,1,1456,0.003186457603717623,0.0032091451275509824,-2.268752383335947e-05,-0.7119982957529407
development,U_to_R,4,16,0.2560000419616699,112,1,1404,0.0016141975954362905,0.0015856795520690261,2.851804336726437e-05,1.766700895100542
development,R_to_U,4,16,0.2560000419616699,112,1,1404,0.004467620319169928,0.0043380426261030985,0.00012957769306682927,2.9003738860894175
development,U_to_R,8,32,0.5120000839233398,96,1,1300,0.0035098683740569228,0.0034051194089141446,0.00010474896514277819,2.9844129175050194
development,R_to_U,8,32,0.5120000839233398,96,1,1300,0.005215806767091878,0.005393328071587792,-0.00017752130449591452,-3.4035253302701087
development,U_to_R,16,64,1.0240001678466797,64,1,1092,0.0057695806522570225,0.0055620168569076,0.00020756379534942263,3.5975542740393966
development,R_to_U,16,64,1.0240001678466797,64,1,1092,0.005817912052735666,0.005818562372327819,-6.503195921526983e-07,-0.011177886263284241
development,U_to_R,24,96,1.5360002517700195,32,1,884,0.0036244446979317286,0.0038339996282068245,-0.00020955493027509592,-5.781711344490299
development,R_to_U,24,96,1.5360002517700195,32,1,884,0.00534218535673125,0.005215783377109376,0.00012640197962187402,2.3661099565294053
development,U_to_R,32,128,2.04800021648407,0,0,676,0.0030380621324504996,0.003183645251857694,-0.00014558311940719455,-4.79197307560551
development,R_to_U,32,128,2.04800021648407,0,0,676,0.005122244225186274,0.004879531497602774,0.0002427127275834995,4.738405997708418
