event_id,video,split,frame,u_event,direct_handover_frame,r_raw,i_raw,observed_raw,signed_convergence,inlier_fraction,valid_vectors,characteristic_radius_px,x_r,x_i
S1C,Video_S1.mp4,transfer-control,1,0.025,40,5.6887130246503164e-05,0.0013481925811148529,0.0013694030931219459,0.00011413870766874279,0.9611940298507463,670,135.67175088744523,0.030034522914497444,0.4791849074449447
S1C,Video_S1.mp4,transfer-control,2,0.05,40,8.785017234287834e-06,1.021072530658674e-05,4.056994029610905e-08,-8.806257298044073e-06,1.0,656,135.67175088744523,0.023278521696693567,0.35986882775771345
S1C,Video_S1.mp4,transfer-control,3,0.075,40,8.672242565402471e-06,1.0237657521859787e-05,4.171209155856559e-08,8.926691109190088e-06,1.0,660,135.67175088744523,0.018195681059887607,0.2703841713100568
S1C,Video_S1.mp4,transfer-control,4,0.1,40,0.0006425764104298118,0.0013946545683011429,0.001214276417158544,-0.0013360638180890394,0.9710365853658537,656,135.67175088744523,0.1033901180866936,0.32672479202327687
S1C,Video_S1.mp4,transfer-control,5,0.125,40,7.864535758566361e-06,2.0122377481849057e-05,1.5748426449135877e-05,6.703145271180766e-06,1.0,661,135.67175088744523,0.07816593214619533,0.24640821102809085
S1C,Video_S1.mp4,transfer-control,6,0.15,40,3.3614728124309254e-06,5.046250082939672e-06,5.025766768085305e-06,5.324775810611193e-06,1.0,657,135.67175088744523,0.058624449109646495,0.18482544817235944
S1C,Video_S1.mp4,transfer-control,7,0.175,40,0.0004166623277049125,0.0015669788690814742,0.001476318808272481,-0.00013718517709548905,1.0,658,135.67175088744523,0.10199753643539641,0.27791066589705476
S1C,Video_S1.mp4,transfer-control,8,0.2,40,1.6357259308084804e-06,1.6490373109001214e-06,1.6229979582504939e-09,-1.6740838320039586e-06,1.0,649,135.67175088744523,0.0764981523265473,0.2084329994227911
S1C,Video_S1.mp4,transfer-control,9,0.225,40,3.3278757778953024e-06,3.702516855711545e-06,1.916449887673366e-09,3.647499070225102e-06,1.0,651,135.67175088744523,0.05737361424491048,0.1563247495670933
S1C,Video_S1.mp4,transfer-control,10,0.25,40,0.0006170249487526858,0.0014297013142614832,0.0012380117550492287,-0.0010752513360567928,1.0,649,135.67175088744523,0.12918697460556072,0.24430327179669784
S1C,Video_S1.mp4,transfer-control,11,0.275,40,5.869108214099179e-06,1.1872050675162938e-05,4.6647483031847514e-07,1.8906899592052717e-05,1.0,658,135.67175088744523,0.09723330699270362,0.1838558505981632
S1C,Video_S1.mp4,transfer-control,12,0.3,40,7.570533560766436e-06,1.7910973751908394e-05,9.874959687294904e-06,-7.813517628685318e-06,1.0,658,135.67175088744523,0.07350702981648681,0.1390591703140574
S1C,Video_S1.mp4,transfer-control,13,0.325,40,0.0003646809912344508,0.0014749049326453986,0.0012993724085390568,8.213713871596529e-05,0.9318181818181818,660,135.67175088744523,0.10586124049996098,0.23538205979742105
S1C,Video_S1.mp4,transfer-control,14,0.35,40,1.0222674667677475e-05,2.5708425518592067e-05,2.5506446036160924e-05,-2.3408932738888666e-06,1.0,648,135.67175088744523,0.08035048536016476,0.17839963099616152
S1C,Video_S1.mp4,transfer-control,15,0.375,40,1.0427969698968521e-05,2.5711647417230837e-05,2.5171211746055633e-05,2.815626901520041e-06,1.0,646,135.67175088744523,0.0612462535952302,0.13566309689946615
S1C,Video_S1.mp4,transfer-control,16,0.4,40,0.0008802341421054551,0.0013527612021194256,0.001292941509746015,-0.0007599205827064637,0.9876543209876543,648,135.67175088744523,0.16903306910953472,0.22195068842117305
S1C,Video_S1.mp4,transfer-control,17,0.425,40,5.064859124215056e-06,6.503871097935895e-06,8.978439325346699e-08,8.134931149039737e-06,1.0,667,135.67175088744523,0.1270049170005951,0.16661237877276902
S1C,Video_S1.mp4,transfer-control,18,0.45,40,4.123167620398258e-07,5.882737845171767e-07,1.726546194902312e-08,-1.0674179056202604e-06,1.0,669,135.67175088744523,0.09525368775044632,0.12495928407957677
