event_id,video,split,frame,u_event,direct_handover_frame,r_raw,i_raw,observed_raw,signed_convergence,inlier_fraction,valid_vectors,characteristic_radius_px,x_r_unsmoothed,x_i_unsmoothed,x_r,x_i
E1,Video_S2.mp4,development,1,0.005050505050505,198,0.0008835679521281,0.0015119879496465,0.0012755793286487,7.947422579701602e-05,0.9996134518747584,2587,75.68093915109165,0.4942648777468449,0.5375676555144487,0.4942648777468449,0.5375676555144487
E1,Video_S2.mp4,development,2,0.0101010101010101,198,1.385583253598158e-05,4.017768604685936e-05,3.985165312769823e-05,7.938205059954129e-07,1.0,2551,75.68093915109165,0.005859388438839764,0.012616931395819441,0.37216350541984367,0.40632997448479147
E1,Video_S2.mp4,development,3,0.0151515151515151,198,1.4803113777202576e-05,4.050180422033579e-05,3.962148184655234e-05,-1.0285386300434851e-06,1.0,2562,75.68093915109165,0.0063915855715431175,0.012732619689433516,0.2807205254577685,0.307930635785952
E1,Video_S2.mp4,development,4,0.0202020202020202,198,0.0004828549496296,0.0013858993562208,0.0012954295380041,-6.047577573409235e-05,1.0,2551,75.68093915109165,0.26928864335119596,0.49262584759143896,0.2778625549311253,0.3541044387373237
E1,Video_S2.mp4,development,5,0.0252525252525252,198,1.199023203752569e-05,5.642524848742134e-05,5.326310201780871e-05,-1.3918871455409487e-06,1.0,2552,75.68093915109165,0.004811263986211905,0.01841616748760403,0.20959973219489697,0.2701823709248938
E1,Video_S2.mp4,development,6,0.0303030303030303,198,1.0620400993713373e-05,2.642184062177042e-05,2.369051981077064e-05,2.3054619727735925e-06,1.0,2550,75.68093915109165,0.004041669565117323,0.007706989227538276,0.15821021653745204,0.2045635255005549
E1,Video_S2.mp4,development,7,0.0353535353535353,198,0.0003030654956759,0.0012912815207766,0.0012126401998102,2.812179692313066e-05,1.0,2550,75.68093915109165,0.1683183997518153,0.4588974579256959,0.16073726234104285,0.26814700860684015
E1,Video_S2.mp4,development,8,0.0404040404040404,198,1.0981833228522151e-05,1.459500235701742e-05,1.2007484784248844e-08,-2.7425807846981346e-08,1.0,2591,75.68093915109165,0.004244728455491941,0.003485523160918084,0.12161412886965513,0.20198163724535964
E1,Video_S2.mp4,development,9,0.0454545454545454,198,1.236630142392016e-05,1.63266934932833e-05,1.4993254637829523e-08,-6.574896012079279e-07,1.0,2589,75.68093915109165,0.005022545990933573,0.004103635297438865,0.09246623314997474,0.15251213675837944
E1,Video_S2.mp4,development,10,0.0505050505050505,198,0.0005185763517491,0.0014419582379493,0.0013173641636967,-7.714467436170658e-05,1.0,2591,75.68093915109165,0.28934771871661846,0.5126076359145058,0.14168660454163567,0.242536011547411
E1,Video_S2.mp4,development,11,0.0555555555555555,198,7.75412811106975e-06,1.2153025537451194e-05,2.234067331130518e-08,-1.6318116953240036e-06,1.0,2572,75.68093915109165,0.0024313452102402164,0.00261387888930222,0.10687278970878682,0.1825554783828838
E1,Video_S2.mp4,development,12,0.0606060606060606,198,2.3125015977939623e-05,5.501986786362415e-05,4.81573079014197e-05,3.827728661587315e-06,1.0,2576,75.68093915109165,0.011066936218693481,0.017914549254940446,0.08292132633626348,0.14139524610089796
E1,Video_S2.mp4,development,13,0.0656565656565656,198,0.0006873401197225,0.0014778660753213,0.0013183102710172,0.0001446228594187,0.96332422941865,2563,75.68093915109165,0.38410601598125915,0.525406140597103,0.1582174987475124,0.23739796972494923
E1,Video_S2.mp4,development,14,0.0707070707070707,198,1.3429271165429435e-05,5.997207837492951e-05,5.579091521212831e-05,9.144059875954016e-08,1.0,2561,75.68093915109165,0.0056197395527535455,0.019682123559922143,0.12006805894882268,0.18296900818369247
E1,Video_S2.mp4,development,15,0.0757575757575757,198,1.3105774710605131e-05,6.060533555163416e-05,5.705244257114828e-05,-1.221054748423711e-07,1.0,2577,75.68093915109165,0.005437994088964648,0.019908149086428132,0.09141054273385818,0.1422037934093764
E1,Video_S2.mp4,development,16,0.0808080808080808,198,0.0007288887122398,0.0015088623836223,0.0012702100211754,-3.739060864593746e-05,1.0,2561,75.68093915109165,0.4074324693100465,0.536453677154377,0.17041602437790526,0.24076626434562654
