event_id,video,split,frame,u_event,direct_handover_frame,r_raw,i_raw,observed_raw,signed_convergence,inlier_fraction,valid_vectors,characteristic_radius_px
E1,Video_S2.mp4,development,1,0.005050505050505,198,0.0008835679521281,0.0015119879496465,0.0012755793286487,7.947422579701602e-05,0.9996134518747584,2587,75.68093915109165
E1,Video_S2.mp4,development,2,0.0101010101010101,198,1.385583253598158e-05,4.017768604685936e-05,3.985165312769823e-05,7.938205059954129e-07,1.0,2551,75.68093915109165
E1,Video_S2.mp4,development,3,0.0151515151515151,198,1.4803113777202576e-05,4.050180422033579e-05,3.962148184655234e-05,-1.0285386300434851e-06,1.0,2562,75.68093915109165
E1,Video_S2.mp4,development,4,0.0202020202020202,198,0.0004828549496296,0.0013858993562208,0.0012954295380041,-6.047577573409235e-05,1.0,2551,75.68093915109165
E1,Video_S2.mp4,development,5,0.0252525252525252,198,1.199023203752569e-05,5.642524848742134e-05,5.326310201780871e-05,-1.3918871455409487e-06,1.0,2552,75.68093915109165
E1,Video_S2.mp4,development,6,0.0303030303030303,198,1.0620400993713373e-05,2.642184062177042e-05,2.369051981077064e-05,2.3054619727735925e-06,1.0,2550,75.68093915109165
E1,Video_S2.mp4,development,7,0.0353535353535353,198,0.0003030654956759,0.0012912815207766,0.0012126401998102,2.812179692313066e-05,1.0,2550,75.68093915109165
E1,Video_S2.mp4,development,8,0.0404040404040404,198,1.0981833228522151e-05,1.459500235701742e-05,1.2007484784248844e-08,-2.7425807846981346e-08,1.0,2591,75.68093915109165
E1,Video_S2.mp4,development,9,0.0454545454545454,198,1.236630142392016e-05,1.63266934932833e-05,1.4993254637829523e-08,-6.574896012079279e-07,1.0,2589,75.68093915109165
E1,Video_S2.mp4,development,10,0.0505050505050505,198,0.0005185763517491,0.0014419582379493,0.0013173641636967,-7.714467436170658e-05,1.0,2591,75.68093915109165
E1,Video_S2.mp4,development,11,0.0555555555555555,198,7.75412811106975e-06,1.2153025537451194e-05,2.234067331130518e-08,-1.6318116953240036e-06,1.0,2572,75.68093915109165
E1,Video_S2.mp4,development,12,0.0606060606060606,198,2.3125015977939623e-05,5.501986786362415e-05,4.81573079014197e-05,3.827728661587315e-06,1.0,2576,75.68093915109165
E1,Video_S2.mp4,development,13,0.0656565656565656,198,0.0006873401197225,0.0014778660753213,0.0013183102710172,0.0001446228594187,0.96332422941865,2563,75.68093915109165
E1,Video_S2.mp4,development,14,0.0707070707070707,198,1.3429271165429435e-05,5.997207837492951e-05,5.579091521212831e-05,9.144059875954015e-08,1.0,2561,75.68093915109165
E1,Video_S2.mp4,development,15,0.0757575757575757,198,1.3105774710605131e-05,6.060533555163416e-05,5.705244257114828e-05,-1.221054748423711e-07,1.0,2577,75.68093915109165
E1,Video_S2.mp4,development,16,0.0808080808080808,198,0.0007288887122398,0.0015088623836223,0.0012702100211754,-3.739060864593746e-05,1.0,2561,75.68093915109165
E1,Video_S2.mp4,development,17,0.0858585858585858,198,3.33442341580308e-06,2.527578699447605e-05,2.448661871312652e-05,-4.04936371767306e-07,1.0,2617,75.68093915109165
E1,Video_S2.mp4,development,18,0.0909090909090909,198,3.5243632061499784e-06,3.530734363269096e-06,2.1813548745086564e-09,1.2108017314327313e-06,1.0,2614,75.68093915109165
E1,Video_S2.mp4,development,19,0.0959595959595959,198,0.0005345263461749,0.001423232875775,0.001335262786597,4.5531372753204735e-05,1.0,2606,75.68093915109165
