parent_bin,relation_bin,parent_center,relation_center,n,observed_child_mean,predicted_child_mean
0,0,0.03125,0.08333333333333333,19,0.9866463794326066,0.9968750000000001
0,1,0.03125,0.25,8,0.9891072034339967,0.9942708333333332
0,2,0.03125,0.41666666666666663,17,0.9920980741541172,0.9936951754385963
0,3,0.03125,0.5833333333333333,13,0.9942996280104537,0.9945913461538461
0,4,0.03125,0.75,9,0.9962663303028008,0.995625
0,5,0.03125,0.9166666666666666,15,0.9945921331262902,0.9976728723404255
0,6,0.03125,1.0833333333333333,12,0.9933748005874402,0.9958545918367346
0,7,0.03125,1.25,5,0.9857131178110603,0.9972426470588236
0,8,0.03125,1.4166666666666665,11,0.9967285094044084,0.9976851851851851
0,9,0.03125,1.5833333333333333,10,0.9957909669886833,0.9983377659574467
0,10,0.03125,1.75,15,0.9992439953766769,0.999652777777778
0,11,0.03125,1.9166666666666665,4,0.9995336941687829,0.9978693181818181
1,0,0.09375,0.08333333333333333,86,0.9704972901079247,0.9767945544554457
1,1,0.09375,0.25,80,0.9782667610306731,0.9802591463414633
1,2,0.09375,0.41666666666666663,98,0.9805139382301998,0.9829937845303868
1,3,0.09375,0.5833333333333333,100,0.9822904437597942,0.9812334656084655
1,4,0.09375,0.75,72,0.9822386340052702,0.9880628881987576
1,5,0.09375,0.9166666666666666,80,0.984676801376008,0.9870065789473684
1,6,0.09375,1.0833333333333333,87,0.9840248465915736,0.988425925925926
1,7,0.09375,1.25,90,0.9845693585364584,0.9917156040268456
1,8,0.09375,1.4166666666666665,65,0.9853764314728793,0.9938577586206896
1,9,0.09375,1.5833333333333333,64,0.994523650559838,0.9926658163265306
1,10,0.09375,1.75,64,0.9965276052652822,0.9955520072992701
1,11,0.09375,1.9166666666666665,64,0.9922780494470979,0.9987454379562044
2,0,0.15625,0.08333333333333333,289,0.9594594142927052,0.9610934035476718
2,1,0.15625,0.25,248,0.9596270988126471,0.9640771028037383
2,2,0.15625,0.41666666666666663,234,0.9616598406505329,0.9652647243107768
2,3,0.15625,0.5833333333333333,229,0.9664209056581863,0.9668298192771084
2,4,0.15625,0.75,226,0.9683826658031605,0.9682591623036649
2,5,0.15625,0.9166666666666666,224,0.971630887362628,0.974140625
2,6,0.15625,1.0833333333333333,206,0.9681760314566578,0.9769669618528609
2,7,0.15625,1.25,175,0.9701971917769041,0.9815894846796658
2,8,0.15625,1.4166666666666665,184,0.9802726314267083,0.9825841690544412
2,9,0.15625,1.5833333333333333,178,0.9849739976719178,0.98544921875
2,10,0.15625,1.75,179,0.9931821284259554,0.9941463864306785
2,11,0.15625,1.9166666666666665,164,1.000658348322375,0.9982401877133106
3,0,0.21875,0.08333333333333333,455,0.9392076473258565,0.9415908365261814
3,1,0.21875,0.25,437,0.9415981281289977,0.9434212610899873
3,2,0.21875,0.41666666666666663,450,0.9484720157893246,0.946320564516129
3,3,0.21875,0.5833333333333333,427,0.950713646750433,0.9483105742296922
3,4,0.21875,0.75,417,0.9560427393156014,0.9568250713266762
3,5,0.21875,0.9166666666666666,391,0.9618082123862896,0.9628186968838528
3,6,0.21875,1.0833333333333333,402,0.9628316812029878,0.9657649253731344
3,7,0.21875,1.25,347,0.9705360173051139,0.9750937993680885
3,8,0.21875,1.4166666666666665,341,0.9776951051335805,0.9785416666666666
3,9,0.21875,1.5833333333333333,308,0.9859113755705166,0.9807169732441472
3,10,0.21875,1.75,347,0.9893659550709032,0.9866111359570662
3,11,0.21875,1.9166666666666665,315,0.9901547058384159,1.0022865853658536
4,0,0.28125,0.08333333333333333,738,0.920568276974204,0.9218243927125505
4,1,0.28125,0.25,683,0.9249116922676135,0.9270445616211745
4,2,0.28125,0.41666666666666663,667,0.9304149995608035,0.937217377260982
4,3,0.28125,0.5833333333333333,630,0.9359198815022554,0.941684222846442
4,4,0.28125,0.75,627,0.944018211948372,0.9422998366013073
4,5,0.28125,0.9166666666666666,598,0.94176496602771,0.9495226945244957
4,6,0.28125,1.0833333333333333,626,0.9544684755994175,0.9569196428571429
4,7,0.28125,1.25,573,0.9588050177861669,0.9591981132075471
4,8,0.28125,1.4166666666666665,532,0.9620330302743392,0.9728360355648537
4,9,0.28125,1.5833333333333333,545,0.9742163316427916,0.9754835150571132
4,10,0.28125,1.75,515,0.9852516199185751,0.9869397948164147
4,11,0.28125,1.9166666666666665,477,0.995631730600188,0.9946474913494809
5,0,0.34375,0.08333333333333333,959,0.9003423335035375,0.9034039505428226
5,1,0.34375,0.25,913,0.9074759116329305,0.9058223265436027
5,2,0.34375,0.41666666666666663,961,0.9124185362842826,0.9183192457737321
5,3,0.34375,0.5833333333333333,897,0.9176272772561702,0.9224204104718814
5,4,0.34375,0.75,890,0.9259770452043642,0.9299363678950656
5,5,0.34375,0.9166666666666666,894,0.9306841696657249,0.9382647156084656
5,6,0.34375,1.0833333333333333,780,0.9471274562321561,0.9453441295546561
5,7,0.34375,1.25,852,0.9564082115454284,0.9573574561403508
5,8,0.34375,1.4166666666666665,791,0.9645642003413428,0.9635416666666666
5,9,0.34375,1.5833333333333333,739,0.9758477914287371,0.9721006816507001
5,10,0.34375,1.75,759,0.9856880516192584,0.982966686091686
5,11,0.34375,1.9166666666666665,775,0.9935137515333556,0.9920378352490422
6,0,0.40625,0.08333333333333333,1222,0.87874895447105,0.8800150451354063
6,1,0.40625,0.25,1200,0.8896617882226032,0.8846966911764704
6,2,0.40625,0.41666666666666663,1216,0.8952967342541291,0.8916615099009901
6,3,0.40625,0.5833333333333333,1159,0.9100451209020772,0.9059455634544498
6,4,0.40625,0.75,1206,0.9160834564699332,0.9111685342606903
6,5,0.40625,0.9166666666666666,1162,0.9248634178766237,0.9240426300578035
6,6,0.40625,1.0833333333333333,1164,0.9426460232600999,0.9369697773064687
6,7,0.40625,1.25,1142,0.9469768562914369,0.9445617105985722
6,8,0.40625,1.4166666666666665,1043,0.9568176551125275,0.9591700250138967
6,9,0.40625,1.5833333333333333,1106,0.9732497264258031,0.9712695765661253
6,10,0.40625,1.75,1039,0.9831293334687949,0.9825526847575058
6,11,0.40625,1.9166666666666665,1068,0.9931470017597139,0.9958291832669324
7,0,0.46875,0.08333333333333333,1478,0.8510209196317097,0.8545421035386632
7,1,0.46875,0.25,1447,0.8683348149383048,0.8647490326741186
7,2,0.46875,0.41666666666666663,1420,0.8732681040493149,0.8793715027977619
7,3,0.46875,0.5833333333333333,1402,0.8883964545666322,0.8928249794153973
7,4,0.46875,0.75,1428,0.8970371004765775,0.9090997611134192
7,5,0.46875,0.9166666666666666,1407,0.911968286670098,0.9201381633932303
7,6,0.46875,1.0833333333333333,1426,0.9261564696061337,0.9269132389417115
7,7,0.46875,1.25,1376,0.9428799977271368,0.9415665996614473
7,8,0.46875,1.4166666666666665,1403,0.9524289250218729,0.9495558716187206
7,9,0.46875,1.5833333333333333,1444,0.9676258699720277,0.9651216979122283
7,10,0.46875,1.75,1397,0.9749877733330126,0.9768859786700126
7,11,0.46875,1.9166666666666665,1412,0.9925594905001806,0.9944142178524081
8,0,0.53125,0.08333333333333333,1645,0.8307887182278914,0.8333725780409043
8,1,0.53125,0.25,1676,0.8471312799928662,0.8463736631016042
