repetition,shifted_grandchild_auc
0,0.6388789753353303
1,0.5862777015865825
2,0.5914628718849292
3,0.613849752661873
4,0.5678319954741954
5,0.6321849377393008
6,0.6253185443783836
7,0.5741017689390843
8,0.6003512793090797
9,0.6131971945866954
10,0.6259955056642812
11,0.6249518074355459
12,0.591618897735647
13,0.6390672069228497
14,0.6118478981342999
15,0.5828093061478473
16,0.6229747945668179
17,0.6356832592327458
18,0.612117432897165
19,0.6058418919361462
20,0.602284821677685
21,0.6270542400329204
22,0.6345142425611943
23,0.6018056662704562
24,0.5811062715696133
25,0.6051651069178378
26,0.6061119397919148
27,0.613376759946163
28,0.5779515346679851
29,0.6112591867463129
30,0.6212381346223823
31,0.6172812254747151
32,0.5940967339580068
33,0.6152268141157585
34,0.5873120786751834
35,0.6400129278686728
36,0.6253373490774252
37,0.605837125623006
38,0.6080756676127013
39,0.6322242387827681
40,0.5741875236117726
41,0.6026339889005756
42,0.5962077266984671
43,0.5972216247589646
44,0.6000604302239005
45,0.5782991880637064
46,0.6019838497936262
47,0.652948543200367
48,0.6194695318728606
49,0.6025266584017249
50,0.611427849106196
51,0.6012085422056971
52,0.6155687047526466
53,0.5759350055043954
54,0.6232604588825518
55,0.6161301904106717
56,0.6355648386532492
57,0.5524532738234826
58,0.6245368938080386
59,0.5944335238906628
60,0.5830625283488351
61,0.6275972344928997
62,0.5976823047527658
63,0.6401149849164041
64,0.6177020815079617
65,0.563616192436409
66,0.6050251378777183
67,0.6066585468111946
68,0.6045586461276732
69,0.6399289537571883
70,0.6063722163390671
71,0.5931320799022723
72,0.5989781575338018
73,0.5973001254300502
74,0.6003204382933415
75,0.6111128691105262
76,0.5863385822456669
77,0.5979513611685296
78,0.605145732288357
79,0.5763609203609178
80,0.6167675305112341
81,0.6228451830991053
82,0.6199840890733287
83,0.5949542941035955
84,0.5613866782541823
85,0.6003085772953516
86,0.6185960198659434
87,0.6102315791720746
88,0.5878618033653669
89,0.5990905104875285
90,0.6139683364952732
91,0.5911285280032282
92,0.614313307304609
93,0.6217468426358621
94,0.6007673637468955
95,0.6540608977711988
96,0.6333535482813832
97,0.5869516258170903
98,0.6591160088032462
99,0.5943077433271413
100,0.6125576860722796
101,0.6273487805108096
102,0.5841415654677634
103,0.610403856657143
104,0.5924964129927178
105,0.5603379278328018
106,0.6031925475798308
107,0.6567375303549822
108,0.5931520281724463
109,0.5776265950440179
