repetition,auc_grandchild_flip_minus_child_flip
0,0.016393271054345848
1,0.01940982652988943
2,0.011122389369919383
3,0.01417351400090483
4,0.02211432855894946
5,0.013779967741743282
6,0.020599136652360794
7,0.01335346839995799
8,0.011334068684125564
9,0.012593490660978146
10,0.005254895852140895
11,0.012286648656690935
12,0.0005374335644052763
13,0.012163107143610352
14,0.008228387756753663
15,0.013531351966919347
16,0.015472475400429508
17,0.0016603392343956802
18,0.003890844284568873
19,0.01766022693866165
20,0.02092266552595179
21,0.005597201425181053
22,0.0174117072491059
23,0.018688319908738316
24,0.007429529826433745
25,0.0003397064983435838
26,0.027855467041903226
27,0.0061420824669258245
28,0.005585823286263558
29,0.006395655434722536
30,0.018283723657403606
31,0.01825447092876087
32,0.015667671220140456
33,0.013669598289602458
34,0.01707089431829123
35,0.022751030538371353
36,0.007909384266826969
37,0.017795962007749466
38,0.0048804049086678125
39,0.023162532476426856
40,0.0038645286223633057
41,0.012562806673247162
42,0.01007985582664106
43,0.01248858280281151
44,0.0021781714361621685
45,0.001959622524030036
46,0.0026930026886096137
47,0.013189140642009711
48,0.0057549032381618015
49,0.01848388322107475
50,0.007485243773242445
51,0.009409332095979717
52,0.012133210244494652
53,0.008825086597174958
54,0.02027649941132137
55,0.01645779011346704
56,0.00905037011683163
57,0.009929526466899818
58,0.0032018842619609966
59,0.014316968671297947
60,0.016980114358103093
61,0.02321555243476625
62,0.015707031492611767
63,0.011379717098294995
64,0.015438058977659264
65,0.006474378763074218
66,0.018391305321766693
67,0.026834906415146187
68,0.020760247940274756
69,0.016358951052347193
70,0.011537841678320504
71,0.016446468769008127
72,0.024834364480268323
73,-0.004908045536367256
74,0.021163482621417318
75,0.02325694028678038
76,0.021584493311618713
77,0.008111658738172767
78,0.014332755596778823
79,0.013518227533389271
80,0.0104885045103843
81,0.017276412580126577
82,0.004711358637861096
83,0.013998737609125622
84,0.019247172474956997
85,0.005923282486383852
86,0.03131789858753564
87,0.010479249203392937
88,0.006596895278955739
89,0.01771826555284428
90,-0.003349652663245495
91,0.014599082115212103
92,0.011590601121926114
93,0.011746154954042631
94,0.0052065502448122025
95,0.013292260638743225
96,0.014535657046098938
97,0.01563530283517911
98,0.0196050478580293
99,0.01489148991520639
100,0.002228494273004644
101,0.015199464442967048
102,0.014979789768224672
103,0.010231231008822061
104,0.0031506255258345606
105,0.0054811414701364525
106,0.004800387221144953
107,0.01464319816293258
108,0.00388860264723645
109,0.021591117005351323
110,-0.005732842018549844
111,0.0060478195861636275
112,0.020445212461546514
113,0.00012735450501710766
114,0.005510514107090414
115,0.020303014392715424
116,0.0024752761094715137
117,0.0019051036574535551
118,0.008253700223342486
119,0.020911805688736296
120,0.01680164406630158
121,0.014610827307664276
122,0.008557010321102232
123,0.0030263386039814932
124,0.00996088786657201
125,0.00740971549958247
126,0.011419530576976089
127,0.024001545997419993
128,0.015770603088561375
129,0.006075779555227201
130,0.01164456289863025
131,0.019780459863297017
132,0.003142885135668516
133,0.009806559177461538
134,0.009236289435655909
135,0.019541250258144238
136,0.012456957336888674
137,0.006771445283762945
138,0.009123272153550466
139,0.023261838839329974
140,0.017254658145175905
141,0.01599357682954572
142,0.020270537905022645
143,0.022482594646240583
144,0.01587315720361271
145,0.008188555729068625
146,0.014990757705166669
147,0.01881542549206472
148,0.008325168967808105
149,0.0037544032305110164
150,0.012855808329175544
151,0.004701459742924352
152,0.013204513184752575
153,0.012266656798245013
154,0.0035142250617554716
155,0.00835356093357631
156,0.0267992423028085
157,0.013756248149592865
158,0.011187985688650426
159,0.016382827152726986
160,0.012797590064468567
161,0.008817067589173
162,0.004873489443037116
163,0.020335207185200432
164,0.002977437502876157
165,0.018127209033886205
166,-0.00040115711554800093
167,0.021416257587969723
168,0.01195583072159323
169,0.014079629300167595
170,0.03122870620560514
171,0.01759430584252919
172,0.01930370842157192
173,0.0009628246534156837
174,-0.0017888323882921942
175,0.02345415690360486
176,0.023532754612382356
177,0.015265635703344271
178,0.012338271792166067
179,0.010685352214281352
180,-0.004474670552986115
181,0.014165958563989944
182,0.013718661527293063
183,0.0030936706718163176
184,0.018088718756812394
185,0.0014507935820426976
186,0.005449236584274875
187,0.0026105029712333305
188,0.022146435853675706
189,0.007702237704961923
190,0.008043147067415823
191,0.010000408481465606
192,0.03065281315966828
193,0.015882825722331795
194,0.01290188851251084
195,0.01706421805053704
196,-0.0032785776315079618
197,0.004914901598999877
198,0.009232665887630609
199,0.008084743343016454
200,0.017280430175703576
201,0.008546535522998111
202,0.023232057548542073
203,0.0120832075278261
204,0.021133390981098787
205,0.012861687554149182
206,0.009006962664541596
207,0.02496548188472103
208,0.013016788679919511
209,0.014476607518719486
210,0.01654816472330678
211,0.0035080085566523422
212,0.014925787974379046
213,0.0030856610686195163
214,0.008351909896244236
215,0.021294434330095813
216,0.025018479649407288
217,0.0066864875557882675
218,0.018778989036455918
219,0.009960921256016997
220,0.014625006972236898
221,0.009804413704810555
222,0.01639944207518107
223,0.01622213498580316
224,0.014833370258611422
225,0.021982736389611568
226,0.004052616671181619
227,0.022441985058706093
228,0.012481159546123388
229,0.007697604032733452
230,0.013643603619746036
231,0.01093771216934969
232,0.010074662855083072
233,0.010579322503079025
234,0.02910055731437755
235,0.005264370963621756
236,0.011683788930149652
237,-0.0035157850391587253
238,0.011580274376908783
239,0.006564369843410134
240,0.008739379632791922
241,0.006716747740341256
242,0.009104766235104145
243,-0.0009444891621344098
244,0.008254836464842596
245,0.008696032766424833
246,0.016924047305477474
247,0.009196929550264521
248,0.005413624884698209
249,0.01871222020689267
250,0.009921218521100394
251,0.007837579520907245
252,0.011507181795537003
253,0.013176146966842217
254,0.019245380496369924
255,0.005645235983369967
256,0.01139538964326614
257,0.006362328986788013
258,0.017354909564075593
259,0.005208957785829638
260,0.006605592170686014
261,0.011033859095400556
262,0.0008777124598041697
263,0.019935252889303978
264,0.0023320573476893758
265,0.004043386735850141
266,0.01309306659181686
267,0.01873613741082447
268,0.013737885659887428
269,0.0011584821027131875
270,0.009766247522757454
271,0.013926554697347493
272,0.018833186386521983
273,0.008976796916549845
274,0.01734439976413471
275,0.00513356208166138
276,0.018014973925677746
277,0.00776229610196133
278,0.005680428074173904
279,0.008656594718915223
280,0.009463740299801349
281,0.010154318261633932
282,0.00815396577828642
283,0.005717757060243911
284,0.015907763944055797
285,0.009320575881131998
286,0.015198405206966581
287,0.011350324524289412
288,0.01074250363607887
289,0.010463619144456149
290,0.007549089169378798
291,0.00039783899940726286
292,0.026907124366869484
293,0.01604926389419814
294,0.016380889788079056
295,0.010519679355101341
296,0.011860622827196021
297,0.0030522195109770056
298,0.02445176400118443
299,0.00957328676453817
300,0.005811929415675765
301,0.018367577891884035
302,0.008710916558995363
303,0.0009233317135267649
304,0.004377324798387261
305,0.003377669003700734
306,0.015493127995393596
307,0.009038368128990504
308,0.01147420063484128
309,0.008932048699800355
310,0.016179491058520568
311,0.006998136784766906
312,0.008184414713939825
313,0.007968949686703919
314,0.012065373520569356
315,0.007947830372175058
316,0.016649879679718094
317,0.0077029619822927
318,0.012198686872065823
319,0.005181536757456806
320,0.001221140544029442
321,0.012715879899279248
322,0.011173058156487725
323,0.014211597879298044
324,0.01783148614274388
325,0.00010168006571220634
326,-0.001749058059404729
327,0.01753900031284683
328,0.029715144459016574
329,0.02257009020041645
330,0.007593000067215194
