fluid,parity,component,auc,positive_weighted_mean,negative_weighted_mean,mean_difference_positive_minus_negative,events,snapshots
S1,no_flip,agreement,0.4102891346725762,0.4171910397954121,0.4921996869511619,-0.07500864715574979,34,496
S2,no_flip,agreement,0.5731155684241698,0.5603068272967463,0.5096905446323198,0.050616282664426526,62,3073
S3,no_flip,agreement,0.4682373753941957,0.5140247134166144,0.5495876864783618,-0.03556297306174738,7,3042
S4,no_flip,agreement,0.5196411488293602,0.517858123172714,0.5040731947071325,0.013784928465581436,20,3595
S1,no_flip,handover,0.4868365725982364,0.3646117280343675,0.37922579039436,-0.014614062359992519,34,496
S2,no_flip,handover,0.6020725000219441,0.4911388669315738,0.41852712496248834,0.07261174196908549,62,3073
S3,no_flip,handover,0.4849361855602951,0.43774922258222093,0.44831018053781446,-0.01056095795559353,7,3042
S4,no_flip,handover,0.5587324595979828,0.4663840971768793,0.4213466002956769,0.0450374968812024,20,3595
S1,child_flip,agreement,0.550212139872401,0.6525454789488354,0.575991191893596,0.07655428705523937,34,496
S2,child_flip,agreement,0.5422678634715021,0.6992719370113287,0.6663293077654073,0.032942629245921395,62,3073
S3,child_flip,agreement,0.5612192204671437,0.691684953667145,0.6553333438396769,0.0363516098274681,7,3042
S4,child_flip,agreement,0.6142760242663452,0.7282775424084013,0.6657289403485331,0.06254860205986812,20,3595
S1,child_flip,handover,0.5457786607131202,0.4030839776039173,0.38804929843705854,0.015034679166858744,34,496
S2,child_flip,handover,0.601329570312154,0.5113420718559238,0.44280849308046943,0.0685335787754544,62,3073
S3,child_flip,handover,0.48842578350383486,0.46603873216861635,0.46660060187984054,-0.0005618697112241833,7,3042
S4,child_flip,handover,0.5673405608850218,0.496117539532238,0.4453051237486978,0.05081241578354023,20,3595
S1,grandchild_flip,agreement,0.5496553046457999,0.5924575055479379,0.5537318484973803,0.03872565705055753,34,496
S2,grandchild_flip,agreement,0.679468898527824,0.6692601327678295,0.5641521614895625,0.10510797127826699,62,3073
S3,grandchild_flip,agreement,0.6087429380886686,0.640955652697801,0.5868463598233149,0.05410929287448607,7,3042
S4,grandchild_flip,agreement,0.6908679929318888,0.6587888781947775,0.5529749309183793,0.10581394727639815,20,3595
S1,grandchild_flip,handover,0.5370760426364405,0.3917889643739956,0.3849166345587172,0.006872329815278355,34,496
S2,grandchild_flip,handover,0.6275443630273441,0.5231130302607313,0.4311829564189481,0.0919300738417832,62,3073
S3,grandchild_flip,handover,0.4923798172839612,0.46354935665484387,0.46141695550541045,0.002132401149433416,7,3042
S4,grandchild_flip,handover,0.5682678540686568,0.48730152364993784,0.4335115394782107,0.053789984171727145,20,3595
S1,both_lower_flip,agreement,0.45424055269543084,0.43753773771854476,0.4807937548917044,-0.04325601717315963,34,496
S2,both_lower_flip,agreement,0.575153935177803,0.5919082284154114,0.5315273338918892,0.06038089452352213,62,3073
S3,both_lower_flip,agreement,0.41056203503582106,0.48713420482676956,0.565284066660294,-0.0781498618335244,7,3042
S4,both_lower_flip,agreement,0.45361426874657995,0.5180086151352653,0.5591094755983975,-0.041100860463132216,20,3595
S1,both_lower_flip,handover,0.507470888685783,0.3747684797125067,0.37568749657616407,-0.0009190168636573626,34,496
S2,both_lower_flip,handover,0.615179018628683,0.503522859191973,0.41952973610569383,0.08399312308627921,62,3073
S3,both_lower_flip,handover,0.49180066653989807,0.4408777498177829,0.4459657848244605,-0.005088035006677594,7,3042
S4,both_lower_flip,handover,0.5649067535234692,0.47029284228637386,0.42243714617732286,0.047855696109050994,20,3595
