fluid,auc,positive_weighted_mean,negative_weighted_mean,mean_difference_positive_minus_negative,events,snapshots
S1,0.4757614830975736,-0.011295013229921737,-0.0031326638783412118,-0.008162349351580526,34,496
S2,0.6763406195790924,0.01177095840480754,-0.011625536661521343,0.023396495066328883,62,3073
S3,0.5654921327183542,-0.0024893755137725447,-0.005183646374430094,0.002694270860657549,7,3042
S4,0.5648923255275698,-0.008816015882300205,-0.011793584270487123,0.0029775683881869183,20,3595
