lead_bin,weighted_mean_switch,events,snapshots
>8,-0.00863395789704855,114,4672
"(4,8]",-0.008025930597322949,119,2748
"(2,4]",-0.00947464724401547,119,1396
"(1,2]",-0.012970793856909196,118,693
"(0,1]",0.0016049589548888692,121,697
