repetition,shifted_bundle_auc
0,0.57718548198704
1,0.5785161267618628
2,0.5998779873146316
3,0.5676893446160725
4,0.5713025119837717
5,0.5816384852782156
6,0.5809418588744576
7,0.5637362762589945
8,0.5938589583713471
9,0.5822388563521471
10,0.6165851910459166
11,0.6087435325777477
12,0.5765283823998403
13,0.6033509380038269
14,0.5970903025451042
15,0.617876842856822
16,0.575925224220373
17,0.5999348592423769
18,0.5909356202924257
19,0.582824763892692
20,0.6081023484884193
21,0.5911847812397395
22,0.588820752211435
23,0.5882683468746762
24,0.5916492806229529
25,0.5938611479700153
26,0.5732041010985739
27,0.5904993268784161
28,0.5614487376446732
29,0.5629243935927206
30,0.5771677814600109
31,0.619887473322476
32,0.5805511691528705
33,0.5973931828915966
34,0.5697456781386533
35,0.6020620009128701
36,0.5869825623805176
37,0.5674427389563487
38,0.5761459871240877
39,0.587693576938666
40,0.5763740766150278
41,0.5768367132113545
42,0.5698108712047057
43,0.5685207507257359
44,0.5884721064031118
45,0.59651277729541
46,0.5950238036852996
47,0.5830700372206052
48,0.6036694483799513
49,0.5604699845092349
50,0.5806571027893144
51,0.6117104991743533
52,0.5762771734814089
53,0.5908637251586049
54,0.5766987763378058
55,0.5987757511967141
56,0.6108278852085731
57,0.5657459154729688
58,0.5597742068371094
59,0.5559272203604199
60,0.5746006089445233
61,0.5908662255909094
62,0.5932499259282394
63,0.5498513951139068
64,0.5967727803894556
65,0.5698013837218548
66,0.5515778560563419
67,0.6190303074987713
68,0.5724881490729398
69,0.5779799227936746
70,0.6033254472707078
71,0.5735713552341966
72,0.5814332061153364
73,0.5931840438332364
74,0.57463540355577
75,0.5874512612409447
76,0.5814849928894512
77,0.6115851229836361
78,0.6073141438474703
79,0.5667886458022376
80,0.5929884526572604
81,0.5864823516547415
82,0.5955734755633375
83,0.5927869180951877
84,0.5764087808703963
85,0.5896929085794467
86,0.5924384822065932
87,0.6094648702299048
88,0.582038755346223
89,0.5876824135347204
90,0.5801881555013146
91,0.5873509754009346
92,0.5928987323095651
93,0.5620153740354599
94,0.5837133244430214
95,0.5650266672395494
96,0.5812704144570495
97,0.6034852763237014
98,0.5915148189325671
99,0.5688011702433973
100,0.5744205697111103
101,0.5931828433385539
102,0.6028640558704733
103,0.5772007383253006
104,0.5990468098238367
105,0.5884203448501517
106,0.5915859827764479
107,0.5849754777597658
108,0.5798180983215729
109,0.6023806663620082
110,0.5775653750048393
111,0.5493644393638004
112,0.5646410294905627
113,0.5968214010083597
114,0.588947497751307
115,0.5798147894201308
116,0.5665168655068252
117,0.5947128484608701
118,0.5828064539114507
119,0.598344092898731
120,0.5803892492252966
121,0.5985158376023896
122,0.5811284168894602
123,0.5983738760073894
124,0.5906567569881045
125,0.6171416966207338
126,0.555978697943318
127,0.5973263132634488
128,0.5761582279515645
129,0.5981625674991987
130,0.6080015917972312
131,0.6061936881976276
132,0.5970197626696323
133,0.5647229828560965
134,0.5694446662093818
135,0.5852508790478964
136,0.5879494013252934
