population,split,sector,count,nonboundary_n,share_nonboundary
field,calibration,Ba,121,408,0.2965686274509804
field,calibration,Ab,103,408,0.25245098039215685
field,calibration,bA,81,408,0.19852941176470587
field,calibration,aB,103,408,0.25245098039215685
field,calibration,boundary,2,408,
field,evaluation,Ba,135,410,0.32926829268292684
field,evaluation,Ab,94,410,0.22926829268292684
field,evaluation,bA,84,410,0.2048780487804878
field,evaluation,aB,97,410,0.23658536585365852
field,evaluation,boundary,0,410,
field,holdout,Ba,112,414,0.27053140096618356
field,holdout,Ab,127,414,0.30676328502415456
field,holdout,bA,92,414,0.2222222222222222
field,holdout,aB,83,414,0.20048309178743962
field,holdout,boundary,37,414,
field,pooled,Ba,368,1232,0.2987012987012987
field,pooled,Ab,324,1232,0.262987012987013
field,pooled,bA,257,1232,0.2086038961038961
field,pooled,aB,283,1232,0.2297077922077922
field,pooled,boundary,39,1232,
thalweg,calibration,Ba,2,10,0.2
thalweg,calibration,Ab,3,10,0.3
thalweg,calibration,bA,3,10,0.3
thalweg,calibration,aB,2,10,0.2
thalweg,calibration,boundary,0,10,
thalweg,evaluation,Ba,4,10,0.4
thalweg,evaluation,Ab,2,10,0.2
thalweg,evaluation,bA,1,10,0.1
thalweg,evaluation,aB,3,10,0.3
thalweg,evaluation,boundary,0,10,
thalweg,holdout,Ba,2,10,0.2
thalweg,holdout,Ab,3,10,0.3
thalweg,holdout,bA,2,10,0.2
thalweg,holdout,aB,3,10,0.3
thalweg,holdout,boundary,1,10,
thalweg,pooled,Ba,8,30,0.26666666666666666
thalweg,pooled,Ab,8,30,0.26666666666666666
thalweg,pooled,bA,6,30,0.2
thalweg,pooled,aB,8,30,0.26666666666666666
thalweg,pooled,boundary,1,30,
