draw,split,endpoint_loss
0,evaluation,0.10300213789864425
0,holdout,0.09110635109317078
1,evaluation,0.0900849099293398
1,holdout,0.10337114509332641
2,evaluation,0.11241579405649019
2,holdout,0.09401159888593844
3,evaluation,0.09228769096610515
3,holdout,0.10598517901076485
4,evaluation,0.0902935942976668
4,holdout,0.08217228262843501
5,evaluation,0.10899061451579696
5,holdout,0.08662144906714904
6,evaluation,0.10442224235480288
6,holdout,0.086543864918308
7,evaluation,0.0855003087440974
7,holdout,0.13296654166761407
8,evaluation,0.06289336356385133
8,holdout,0.10947881537895625
9,evaluation,0.07547475367463057
9,holdout,0.09511135285331271
10,evaluation,0.09978406530104451
10,holdout,0.08417304538468866
11,evaluation,0.07666430027061603
11,holdout,0.07275697242194391
12,evaluation,0.09016367727707514
12,holdout,0.09722701856068551
13,evaluation,0.11094127526650371
13,holdout,0.08573391203689448
14,evaluation,0.10722019673289626
14,holdout,0.09811756533872677
15,evaluation,0.09630230638568556
15,holdout,0.07028380162270546
16,evaluation,0.11011190210915196
16,holdout,0.06999181521773534
17,evaluation,0.09518520122016579
17,holdout,0.08580511082176057
18,evaluation,0.08402505434144623
18,holdout,0.0871207178989234
19,evaluation,0.1114106941258769
19,holdout,0.10186747442435795
20,evaluation,0.07984644174072404
20,holdout,0.09408313299349011
21,evaluation,0.0944099097248042
21,holdout,0.07153650562332348
22,evaluation,0.0906891037670695
22,holdout,0.08592650929724686
23,evaluation,0.11084791382425899
23,holdout,0.09392450818908327
24,evaluation,0.08919993374008407
24,holdout,0.09858441529864445
25,evaluation,0.08726869595334327
25,holdout,0.11470033119064862
26,evaluation,0.09083578927446981
26,holdout,0.0917534641314573
27,evaluation,0.08435096172558253
27,holdout,0.12552189138443398
28,evaluation,0.12042034839549584
28,holdout,0.09710482399388816
29,evaluation,0.06871202905486487
29,holdout,0.08626950214909776
30,evaluation,0.1186698664780313
30,holdout,0.0811188816227355
31,evaluation,0.08145404025800898
31,holdout,0.13136615111093664
32,evaluation,0.07613513687233339
32,holdout,0.14017168821586418
33,evaluation,0.10321091048467425
33,holdout,0.10327723350899334
34,evaluation,0.1130615893688427
34,holdout,0.08407091142439051
35,evaluation,0.07157457650714287
35,holdout,0.09618989183769654
36,evaluation,0.107923124229029
36,holdout,0.10647479503834774
37,evaluation,0.10509915588375798
37,holdout,0.055707344221123306
38,evaluation,0.10904897117852176
38,holdout,0.0967675196338342
39,evaluation,0.09984254290289513
39,holdout,0.08705169091991485
40,evaluation,0.10195887173665089
40,holdout,0.09800779765585747
41,evaluation,0.12422307834864593
41,holdout,0.09203906958400948
42,evaluation,0.08788456513853918
42,holdout,0.1196300267338638
43,evaluation,0.07750439341173478
43,holdout,0.08822800489079097
44,evaluation,0.09091193259609462
44,holdout,0.09533363494227891
45,evaluation,0.11944453783701389
45,holdout,0.10366889745147924
46,evaluation,0.07988939996259029
46,holdout,0.07948068433891103
47,evaluation,0.11181522338945336
47,holdout,0.09564653159355874
48,evaluation,0.10908547924710321
48,holdout,0.07133937150369304
49,evaluation,0.09333047873401243
49,holdout,0.09430832294837496
50,evaluation,0.10231342016904303
50,holdout,0.05924608910606101
51,evaluation,0.07803244706840827
51,holdout,0.10990892137587592
52,evaluation,0.0628863151304668
52,holdout,0.08752389927731623
53,evaluation,0.11934246565695263
53,holdout,0.09544788321668614
54,evaluation,0.11408164186052364
54,holdout,0.08937206621685363
55,evaluation,0.1072250642957756
55,holdout,0.07380325076053816
56,evaluation,0.07238911486392875
56,holdout,0.09373622402902136
57,evaluation,0.09039686235023248
57,holdout,0.1046179918674414
58,evaluation,0.10403715243550757
58,holdout,0.11892018008711536
59,evaluation,0.10066857886972676
59,holdout,0.11224106092684749
60,evaluation,0.10281640773412723
60,holdout,0.11403649805023107
61,evaluation,0.09890833384037648
61,holdout,0.10520085406562771
62,evaluation,0.06329131076829231
62,holdout,0.09985020474416519
63,evaluation,0.12740163019377704
63,holdout,0.08786095198180434
64,evaluation,0.09235345373734292
