phase_fraction,radius_au,connection_channel,traversal_channel,instantaneous_ara,cumulative_channel_ara
0.0,0.98328877,1.016995241387736,1.0339904827754718,1.0082863772221866,1.0082863772221866
0.005555555555555556,0.9832992988824976,1.0169843516989003,1.0339687033978007,1.0082811996387209,1.0082837884510716
0.011111111111111112,0.9833308713615451,1.0169516986844667,1.0339033973689333,1.008265673531537,1.0082777503688938
0.016666666666666666,0.9833834449562402,1.0168973304655329,1.0337946609310658,1.00823981882039,1.0082682683116317
0.022222222222222223,0.9834569489464527,1.0168213271269977,1.0336426542539954,1.0082036686719404,1.0082553504374117
0.027777777777777776,0.9835512844946313,1.0167238005426635,1.033447601085327,1.0081572694504388,1.0082390077152898
0.03333333333333333,0.9836663248158287,1.0166048941313808,1.0332097882627616,1.008100680648841,1.0082192539102626
0.03888888888888889,0.9838019153954444,1.0164647825452187,1.0329295650904373,1.0080339748005132,1.0081961055645439
0.044444444444444446,0.9839578742540432,1.0163036712909266,1.0326073425818532,1.0079572373717245,1.0081695819751684
0.05,0.9841339922584776,1.0161217962862066,1.0322435925724132,1.0078705666351793,1.0081397051679764
0.05555555555555555,0.9843300334784045,1.0159194233525735,1.031838846705147,1.0077740735248624,1.0081064998680551
0.06111111111111111,0.9845457355871683,1.0156968476468136,1.0313936952936271,1.0076678814725344,1.0080699934667163
0.06666666666666667,0.9847808103058934,1.0154543930332876,1.030908786066575,1.007552126226238,1.0080302159850991
0.07222222222222222,0.9850349438895234,1.0151924113995239,1.0303848227990478,1.0074269556512132,1.0079872000344978
0.07777777777777778,0.985307797653427,1.0149112819177555,1.029822563835511,1.0072925295136699,1.0079409807735182
0.08333333333333333,0.9855990085390988,1.0146114102552184,1.0292228205104368,1.0071490192478796,1.0078915958621766
0.08888888888888889,0.9859081897173816,1.0142932277362033,1.0285864554724067,1.0069966077070942,1.0078390854130606
0.09444444444444444,0.986234931227558,1.01395719045898,1.0279143809179598,1.006835488898828,1.007783491939678
0.1,0.9865788006505761,1.0136037783708443,1.0272075567416885,1.0066658677050586,1.0077248603021252
0.10555555555555556,0.9869393438146091,1.013233494304635,1.02646698860927,1.0064879595879341,1.007663237650208
0.1111111111111111,0.9873160855310863,1.0128468629801477,1.0256937259602954,1.0063019902815988,1.0075986733641629
0.11666666666666667,0.987708530359281,1.0124444299739397,1.0248888599478794,1.0061081954707651,1.0075312189931145
0.12222222222222222,0.9881161633975005,1.012026760661053,1.0240535213221058,1.0059068204566761,1.0074609281914206
0.12777777777777777,0.9885384510988854,1.0115944391322094,1.0231888782644187,1.0056981198111274,1.007387856653053
0.13333333333333333,0.9889748421098021,1.0111480670900361,1.0222961341800723,1.0054823570192253,1.0073120620441673
0.1388888888888889,0.9894247681287975,1.0106882627278497,1.0213765254556995,1.0052598041115628,1.0072336039340102
0.14444444444444443,0.9898876447840724,1.0102156595945122,1.0204313191890244,1.0050307412865194,1.0071525437243172
0.15,0.9903628725274332,1.0097309054488004,1.0194618108976008,1.004795456523381,1.0070689445773586
0.15555555555555556,0.9908498375426872,1.0092346611066771,1.0184693222133543,1.0045542451869907,1.0069828713427762
0.16111111111111112,0.9913479126664652,1.0087275992847586,1.0174551985695173,1.0043074096246405,1.0068943904833696
0.16666666666666666,0.9918564583194732,1.0082104034431802,1.0164208068863605,1.0040552587559113,1.0068035699999747
0.17222222222222222,0.9923748234462102,1.0076837666309488,1.0153675332618977,1.0037981076561706,1.006710479355583
0.17777777777777778,0.9929023464612191,1.007148390336751,1.0142967806735022,1.0035362771344318,1.0066151893988462
0.18333333333333332,0.993438356199986,1.0066049833480488,1.0132099666960976,1.0032700933062726,1.0065177722871008
0.18888888888888888,0.9939821728726471,1.0060542606211549,1.0121085212423098,1.0029998871625037,1.006418301409058
0.19444444444444445,0.9945331090187148,1.0054969421648308,1.0109938843296615,1.0027259941342686,1.006316851307281
0.2,0.9950904704610969,1.0049337519397892,1.0098675038795784,1.0024487536552495,1.0062134976005852
0.20555555555555555,0.995653557257737,1.0043654167763274,1.0087308335526548,1.002168508721634,1.0061083169064835
0.2111111111111111,0.9962216646492784,1.0037926653121438,1.0075853306242877,1.0018856054504952,1.0060013867637891
0.21666666666666667,0.9967940840012139,1.003216226952228,1.006432453904456,1.001600392637213,1.0058927855554989
0.2222222222222222,0.9973701037390603,1.0026368308525395,1.005273661705079,1.00131322131256,1.0057825924320551
0.22777777777777777,0.9979490102751685,1.0020552049290234,1.004110409858047,1.0010244443000493,1.005670887235096
0.23333333333333334,0.9985300889258534,1.0014720748933343,1.0029441497866687,1.0007344157741336,1.0055577504217863
0.2388888888888889,0.999112624817608,1.000888163316477,1.001776326632954,1.0004434908198225,1.0054432629898218
0.24444444444444444,0.9996959037812362,1.0003041887214037,1.0006083774428074,1.0001520249942688,1.005327506403191
0.25,1.000279213232825,0.9997208647054429,0.9994417294108857,0.9998603738908587,1.0052105625187742
0.25555555555555554,1.000861843040547,0.9991388990932767,0.9982777981865534,0.9995688927063161,1.005092513513855
0.2611111111111111,1.001443086376362,0.9985589931210334,0.9971179862420667,0.9992779358113223,1.004973441814608
0.26666666666666666,1.0020222405517685,0.9979818406519052,0.9959636813038104,0.998987856325124,1.0048534300256278
0.2722222222222222,1.002598607836824,0.9974081274235651,0.9948162548471302,0.9986990056945891,1.004732560860556
0.2777777777777778,1.0031714962617257,0.9968385303275221,0.9936770606550442,0.9984117332781517,1.0046109170738529
0.2833333333333333,1.003740220400325,0.9962737167204148,0.9925474334408295,0.9981263859350635,1.0044885813937643
0.28888888888888886,1.004304102135006,0.9957143437671356,0.9914286875342713,0.997843307620359,1.0043656364565192
