clock,instrument,support,predicted_time_M,actual_common_horizon_M,signed_error_M,absolute_error_M,error_parent_cycles,improvement_vs_T435_M,within_one_parent_cycle,status
State Irr-Di-ARA,state,causal past/current,3692.748009530485,3685.496267868691,7.251741661793858,7.251741661793858,0.6377378288918617,30.2904516589565,True,within one cycle
Path/history Irr-Di-ARA,path/history,causal past-only,3512.1029863314293,3685.496267868691,-173.39328153726183,173.39328153726183,15.248675431255604,-135.85108821651147,False,outside one cycle
Dynamic Irr-Di-ARA (T436 unchanged),dynamic,causal past-only,3586.2525338878427,3685.496267868691,-99.24373398084845,99.24373398084845,8.727763121171556,-61.70154066009809,False,outside one cycle
Experimental Rationality reconstruction,rationality,retrospective future-read-backward,3484.964716244942,3685.496267868691,-200.53155162374924,200.53155162374924,17.635288503260185,-162.98935830299888,False,outside one cycle
T435 median clock,baseline,causal waveform-only,3723.0384611894415,3685.496267868691,37.54219332075036,37.54219332075036,3.3015622972828504,0.0,False,outside one cycle
Waveform-power maximum,physics crosswalk,waveform-only,3692.748009530485,3685.496267868691,7.251741661793858,7.251741661793858,0.6377378288918617,30.2904516589565,True,within one cycle
