clock,instrument,support,predicted_time_M,actual_common_horizon_M,signed_error_M,absolute_error_M,error_parent_cycles,improvement_vs_T435_M,within_one_parent_cycle
State Irr-Di-ARA,state,causal past/current,3692.748009530485,3685.496267868691,7.251741661793858,7.251741661793858,0.6377378288918617,30.2904516589565,True
Path/history Irr-Di-ARA,path/history,causal past-only,3512.1029863314293,3685.496267868691,-173.39328153726183,173.39328153726183,15.248675431255604,-135.85108821651147,False
Dynamic Irr-Di-ARA (T436 unchanged),dynamic,causal past-only,3586.2525338878427,3685.496267868691,-99.24373398084845,99.24373398084845,8.727763121171556,-61.70154066009809,False
Experimental Rationality reconstruction,rationality,retrospective future-read-backward,3484.964716244942,3685.496267868691,-200.53155162374924,200.53155162374924,17.635288503260185,-162.98935830299888,False
T435 median clock,baseline,causal waveform-only,3723.0384611894415,3685.496267868691,37.54219332075036,37.54219332075036,3.3015622972828504,0.0,False
Waveform-power maximum,physics crosswalk,waveform-only,3692.748009530485,3685.496267868691,7.251741661793858,7.251741661793858,0.6377378288918617,30.2904516589565,True
State quarter-record roll,control,chronology roll,3675.149359105519,3685.496267868691,-10.346908763171996,10.346908763171996,0.9099352180639033,27.19528455757836,True
Path/history control: full_parent_phase,control,full_parent_phase,3502.6986792958114,3685.496267868691,-182.7975885728797,182.7975885728797,16.07571569700658,-145.25539525212935,False
Path/history control: quarter_record_roll,control,quarter_record_roll,3592.252337598878,3685.496267868691,-93.24393026981306,93.24393026981306,8.200124110999408,-55.701736949062706,False
Path/history control: chronology_shuffle,control,chronology_shuffle,3527.6533980743516,3685.496267868691,-157.84286979433955,157.84286979433955,13.8811300489436,-120.30067647358919,False
Rationality control: full_parent_phase,control,full_parent_phase,3484.964716244942,3685.496267868691,-200.53155162374924,200.53155162374924,17.635288503260185,-162.98935830299888,False
Rationality control: quarter_record_roll,control,quarter_record_roll,3632.350990526237,3685.496267868691,-53.14527734245394,53.14527734245394,4.6737398226412274,-15.60308402170358,False
Rationality control: chronology_shuffle,control,chronology_shuffle,3401.642141466687,3685.496267868691,-283.8541264020041,283.8541264020041,24.962901705027132,-246.31193308125376,False
