time_M,series,coordinate
256.860780235259,x_P openness,1.8593067768177907
256.860780235259,x_R residual,0.755235310637736
256.860780235259,rho coherence,0.9999929630577948
351.36596508202877,x_P openness,1.8170731800829516
351.36596508202877,x_R residual,0.7387026723789037
351.36596508202877,rho coherence,0.999998421512394
444.7325871928268,x_P openness,1.8421793564997233
444.7325871928268,x_R residual,0.7411278737063723
444.7325871928268,rho coherence,0.9999997160528087
540.4275339946226,x_P openness,1.5405499757656589
540.4275339946226,x_R residual,0.7430042322643579
540.4275339946226,rho coherence,0.9999999615528941
631.6231484223132,x_P openness,1.6102842772504846
631.6231484223132,x_R residual,0.7417766350969578
631.6231484223132,rho coherence,0.9999999688432849
721.8957813417181,x_P openness,1.5680506805156451
721.8957813417181,x_R residual,0.7417111800623934
721.8957813417181,rho coherence,0.9999998876688478
810.6204935276352,x_P openness,1.8421793564997233
810.6204935276352,x_R residual,0.7399394324367117
810.6204935276352,rho coherence,0.9999998476342773
900.843509162097,x_P openness,1.8170731800829516
900.843509162097,x_R residual,0.7408063150199365
900.843509162097,rho coherence,0.9999999550339052
987.0962011300768,x_P openness,1.7895724753329645
987.0962011300768,x_R residual,0.7424005103799511
987.0962011300768,rho coherence,0.9999999567287925
1072.2693042209726,x_P openness,1.7451721264666986
1072.2693042209726,x_R residual,0.7414160825727442
1072.2693042209726,rho coherence,0.9999999562157135
1156.2222338160343,x_P openness,1.8170731800829516
1156.2222338160343,x_R residual,0.7438799430226957
1156.2222338160343,rho coherence,0.9999997618930496
1242.364990230541,x_P openness,1.8421793564997233
1242.364990230541,x_R residual,0.7429716463465607
1242.364990230541,rho coherence,0.9999996273517004
1324.131414621401,x_P openness,1.5680506805156451
1324.131414621401,x_R residual,0.7380012991537224
1324.131414621401,rho coherence,0.9999994493381399
1403.8874532080633,x_P openness,1.4961496268993926
1403.8874532080633,x_R residual,0.7352969920445653
1403.8874532080633,rho coherence,0.9999994334630851
1482.265564781653,x_P openness,1.4961496268993926
1482.265564781653,x_R residual,0.7403457999674791
1482.265564781653,rho coherence,0.9999999668979788
1562.5216935569479,x_P openness,1.4961496268993926
1562.5216935569479,x_R residual,0.7395321635640244
1562.5216935569479,rho coherence,0.9999999708043197
1638.881930124916,x_P openness,1.4961496268993926
1638.881930124916,x_R residual,0.73698752830416
1638.881930124916,rho coherence,0.9999998392306061
1714.0026278759738,x_P openness,1.4961496268993926
1714.0026278759738,x_R residual,0.7388421006820479
1714.0026278759738,rho coherence,0.9999998599735782
1787.2357666290243,x_P openness,1.4961496268993926
1787.2357666290243,x_R residual,0.7302967644727927
1787.2357666290243,rho coherence,0.999998236103485
1861.8613337748425,x_P openness,1.7977790076334568
1861.8613337748425,x_R residual,0.7397541431103245
