split,outcome,model,rows,cells,cell_mean_mae,cell_median_mae,overall_mae,rmse,bias
holdout,remaining_divisions,age_only,87,12,2.4278026017397196,2.4242849387634644,2.484276683492103,3.03200874182268,-1.538687415362
holdout,remaining_hours,age_only,87,12,8.196416566654962,7.914682961599743,8.28169130173461,10.012776968320756,-5.646541025086365
holdout,remaining_divisions,raw_linear,87,12,2.5649352200446884,2.579260210097953,2.6440440454614267,3.120142628011005,-1.700102515411292
holdout,remaining_hours,raw_linear,87,12,8.83217123099982,9.030497389828405,9.421400918871457,10.91998260607887,-6.465139538167536
holdout,remaining_divisions,raw_polynomial,87,12,2.519369192566577,2.1651935905407105,2.7585797838646298,3.3687518026674055,-1.8455692205096463
holdout,remaining_hours,raw_polynomial,87,12,8.09038060288264,7.140760097254833,9.062845632182338,11.11432189403712,-5.750813538035418
holdout,remaining_divisions,ara_2d,87,12,2.3005797995011275,2.247886885179522,2.2002124917217287,2.749075418971971,-1.2712113203550148
holdout,remaining_hours,ara_2d,87,12,8.052133710361062,7.905590349101892,8.103756120476616,9.795918549754296,-5.597147835930262
holdout,remaining_divisions,sphere4_candidate,87,12,2.29177698229077,1.988313347033532,2.470777936767351,3.0980628248891375,-1.3811268423935785
holdout,remaining_hours,sphere4_candidate,87,12,7.534477505232508,6.93412340896381,8.299407093132649,10.302513594616924,-5.02512800050763
external,remaining_divisions,age_only,1399,119,3.7671461716207832,3.4141677385705878,4.289222739407352,5.589217629507827,-0.890217834635959
external,remaining_hours,age_only,1399,119,9.844509525022467,8.395690294700179,10.098058064124222,13.60379388488057,-2.660819078020279
external,remaining_divisions,raw_linear,1399,119,3.388127226716005,2.8016671110545937,3.918096966268301,5.312868650671348,-1.779577444388957
external,remaining_hours,raw_linear,1399,119,9.983578161021567,8.54584686584628,10.138519141205492,13.650846574587856,-2.7441507930642626
external,remaining_divisions,raw_polynomial,1399,119,3.8657975817441534,3.7082581236734367,4.038963476161366,5.1517230770972615,0.08778154019215792
external,remaining_hours,raw_polynomial,1399,119,11.072485563207787,10.094771467044739,10.736299121153184,13.976648661651808,0.14228776415511052
external,remaining_divisions,ara_2d,1399,119,3.336800209422731,2.719955412929636,3.8358896983320574,5.234844366719935,-2.0080592211151456
external,remaining_hours,ara_2d,1399,119,9.82529796033532,8.547206850044669,9.97492102333126,13.490232232087296,-2.804306654808551
