split,outcome,model,rows,cells,positives,negatives,auroc,brier,mean_predicted_risk,observed_rate
holdout,slowdown_next2,age_only,59,12,20,39,0.433974358974359,0.2457933319057407,0.40303662577914573,0.3389830508474576
holdout,slowdown_next2,raw_linear,59,12,20,39,0.5512820512820513,0.23404728203751346,0.3507457634287279,0.3389830508474576
holdout,slowdown_next2,raw_polynomial,59,12,20,39,0.717948717948718,0.20468017210103778,0.4156461588409471,0.3389830508474576
holdout,slowdown_next2,ara_2d,59,12,20,39,0.6820512820512821,0.21096108911204292,0.41595662723124716,0.3389830508474576
holdout,slowdown_next2,sphere4_candidate,59,12,20,39,0.6820512820512821,0.21620416014244556,0.4487701122302433,0.3389830508474576
external,slowdown_next2,age_only,700,101,174,526,0.392350640269219,0.2320418434700969,0.42230212511430654,0.24857142857142858
external,slowdown_next2,raw_linear,700,101,174,526,0.6391219789344871,0.204354367989015,0.3870179004394427,0.24857142857142858
external,slowdown_next2,raw_polynomial,700,101,174,526,0.561524845942048,0.2105100484122579,0.34110923578611707,0.24857142857142858
external,slowdown_next2,ara_2d,700,101,174,526,0.5503419868012762,0.20899319065425703,0.24260417027154343,0.24857142857142858
