split,experiment,cell_id,cell_key,observed_g1_count,observed_hours,slowdown_onset_interval,slowdown_onset_hours
external,Experiment_5,cell_1.58,Experiment_5|cell_1.58,10,36.6666666666667,6.0,12.0
external,Experiment_5,cell_1.59,Experiment_5|cell_1.59,12,15.6666666666667,8.0,10.0
external,Experiment_5,cell_1.60,Experiment_5|cell_1.60,8,28.0,5.0,8.66666666666667
external,Experiment_5,cell_1.61,Experiment_5|cell_1.61,20,32.6666666666667,17.0,22.3333333333333
external,Experiment_5,cell_1.62,Experiment_5|cell_1.62,6,8.33333333333333,4.0,6.0
external,Experiment_5,cell_1.63,Experiment_5|cell_1.63,16,21.0,4.0,5.0
external,Experiment_5,cell_1.64,Experiment_5|cell_1.64,15,18.3333333333333,7.0,8.0
external,Experiment_5,cell_1.65,Experiment_5|cell_1.65,23,40.0,4.0,5.0
external,Experiment_5,cell_1.66,Experiment_5|cell_1.66,10,18.6666666666667,4.0,5.66666666666667
external,Experiment_5,cell_1.67,Experiment_5|cell_1.67,26,47.3333333333333,10.0,11.3333333333333
external,Experiment_5,cell_1.68,Experiment_5|cell_1.68,11,14.3333333333333,9.0,11.6666666666667
external,Experiment_5,cell_1.69,Experiment_5|cell_1.69,10,19.0,4.0,4.66666666666667
external,Experiment_5,cell_1.70,Experiment_5|cell_1.70,18,21.6666666666667,,
external,Experiment_5,cell_1.71,Experiment_5|cell_1.71,10,28.3333333333333,4.0,8.66666666666667
external,Experiment_5,cell_1.72,Experiment_5|cell_1.72,15,30.0,12.0,18.3333333333333
external,Experiment_5,cell_1.73,Experiment_5|cell_1.73,13,19.3333333333333,10.0,11.3333333333333
external,Experiment_5,cell_1.74,Experiment_5|cell_1.74,8,23.6666666666667,4.0,5.66666666666667
external,Experiment_5,cell_1.75,Experiment_5|cell_1.75,21,35.6666666666667,14.0,18.3333333333333
external,Experiment_5,cell_1.76,Experiment_5|cell_1.76,13,17.3333333333333,8.0,9.0
external,Experiment_5,cell_1.77,Experiment_5|cell_1.77,26,66.3333333333333,14.0,21.0
external,Experiment_5,cell_1.78,Experiment_5|cell_1.78,12,27.3333333333333,7.0,11.0
external,Experiment_5,cell_1.79,Experiment_5|cell_1.79,17,48.6666666666667,9.0,14.0
external,Experiment_5,cell_1.80,Experiment_5|cell_1.80,13,19.3333333333333,8.0,9.0
external,Experiment_5,cell_1.81,Experiment_5|cell_1.81,15,31.6666666666667,9.0,10.0
external,Experiment_5,cell_1.82,Experiment_5|cell_1.82,13,17.3333333333333,9.0,12.0
external,Experiment_5,cell_1.83,Experiment_5|cell_1.83,13,36.3333333333333,7.0,8.0
external,Experiment_5,cell_1.84,Experiment_5|cell_1.84,19,48.0,7.0,9.0
external,Experiment_5,cell_1.85,Experiment_5|cell_1.85,18,64.3333333333333,7.0,9.66666666666667
external,Experiment_5,cell_1.86,Experiment_5|cell_1.86,16,44.6666666666667,7.0,10.0
external,Experiment_5,cell_1.87,Experiment_5|cell_1.87,13,36.6666666666667,4.0,5.0
external,Experiment_5,cell_1.88,Experiment_5|cell_1.88,19,64.3333333333333,7.0,9.66666666666667
external,Experiment_5,cell_1.89,Experiment_5|cell_1.89,17,45.0,9.0,16.0
external,Experiment_5,cell_1.90,Experiment_5|cell_1.90,21,36.6666666666667,8.0,9.0
external,Experiment_5,cell_1.91,Experiment_5|cell_1.91,21,37.3333333333333,15.0,18.6666666666667
external,Experiment_5,cell_1.92,Experiment_5|cell_1.92,15,33.6666666666667,8.0,8.66666666666667
external,Experiment_6,cell_1.100,Experiment_6|cell_1.100,15,18.6666666666667,10.0,10.3333333333333
external,Experiment_6,cell_1.101,Experiment_6|cell_1.101,13,21.6666666666667,9.0,12.6666666666667
external,Experiment_6,cell_1.102,Experiment_6|cell_1.102,28,63.0,14.0,15.6666666666667
external,Experiment_6,cell_1.103,Experiment_6|cell_1.103,17,24.3333333333333,12.0,14.0
external,Experiment_6,cell_1.104,Experiment_6|cell_1.104,16,20.6666666666667,13.0,14.3333333333333
external,Experiment_6,cell_1.105,Experiment_6|cell_1.105,15,20.6666666666667,12.0,13.0
external,Experiment_6,cell_1.106,Experiment_6|cell_1.106,13,17.3333333333333,10.0,12.0
external,Experiment_6,cell_1.107,Experiment_6|cell_1.107,14,18.6666666666667,9.0,9.0
external,Experiment_6,cell_1.108,Experiment_6|cell_1.108,22,29.3333333333333,15.0,15.6666666666667
external,Experiment_6,cell_1.109,Experiment_6|cell_1.109,19,58.6666666666667,11.0,15.6666666666667
external,Experiment_6,cell_1.110,Experiment_6|cell_1.110,27,68.0,13.0,16.0
external,Experiment_6,cell_1.111,Experiment_6|cell_1.111,16,16.3333333333333,4.0,3.66666666666667
external,Experiment_6,cell_1.112,Experiment_6|cell_1.112,17,29.3333333333333,9.0,10.0
external,Experiment_6,cell_1.113,Experiment_6|cell_1.113,16,19.3333333333333,10.0,10.6666666666667
external,Experiment_6,cell_1.114,Experiment_6|cell_1.114,31,35.0,11.0,12.0
external,Experiment_6,cell_1.115,Experiment_6|cell_1.115,6,5.33333333333333,,
external,Experiment_6,cell_1.116,Experiment_6|cell_1.116,16,21.6666666666667,8.0,9.0
external,Experiment_6,cell_1.117,Experiment_6|cell_1.117,17,23.6666666666667,10.0,10.6666666666667
external,Experiment_6,cell_1.118,Experiment_6|cell_1.118,15,19.0,11.0,12.3333333333333
external,Experiment_6,cell_1.119,Experiment_6|cell_1.119,16,22.0,11.0,11.6666666666667
external,Experiment_6,cell_1.93,Experiment_6|cell_1.93,20,27.0,6.0,6.33333333333333
external,Experiment_6,cell_1.94,Experiment_6|cell_1.94,18,25.6666666666667,12.0,14.0
external,Experiment_6,cell_1.95,Experiment_6|cell_1.95,17,34.0,8.0,11.0
external,Experiment_6,cell_1.96,Experiment_6|cell_1.96,11,22.6666666666667,4.0,4.66666666666667
external,Experiment_6,cell_1.97,Experiment_6|cell_1.97,19,23.6666666666667,14.0,16.3333333333333
external,Experiment_6,cell_1.98,Experiment_6|cell_1.98,29,45.6666666666667,23.0,24.3333333333333
external,Experiment_6,cell_1.99,Experiment_6|cell_1.99,19,40.3333333333333,14.0,19.0
development,Experiment_7,cell_2.1,Experiment_7|cell_2.1,19,43.3333333333333,16.0,32.3333333333333
development,Experiment_7,cell_2.10,Experiment_7|cell_2.10,19,44.0,11.0,22.0
development,Experiment_7,cell_2.11,Experiment_7|cell_2.11,17,39.3333333333333,4.0,7.33333333333333
development,Experiment_7,cell_2.12,Experiment_7|cell_2.12,13,35.6666666666667,5.0,10.6666666666667
development,Experiment_7,cell_2.13,Experiment_7|cell_2.13,7,15.3333333333333,,
development,Experiment_7,cell_2.14,Experiment_7|cell_2.14,14,26.0,,
development,Experiment_7,cell_2.15,Experiment_7|cell_2.15,10,23.0,,
development,Experiment_7,cell_2.16,Experiment_7|cell_2.16,11,22.0,9.0,18.3333333333333
development,Experiment_7,cell_2.17,Experiment_7|cell_2.17,14,26.3333333333333,11.0,20.3333333333333
development,Experiment_7,cell_2.18,Experiment_7|cell_2.18,12,40.6666666666667,4.0,8.33333333333333
development,Experiment_7,cell_2.19,Experiment_7|cell_2.19,13,31.6666666666667,10.0,21.6666666666667
development,Experiment_7,cell_2.2,Experiment_7|cell_2.2,14,28.0,,
development,Experiment_7,cell_2.20,Experiment_7|cell_2.20,18,33.3333333333333,11.0,19.3333333333333
development,Experiment_7,cell_2.21,Experiment_7|cell_2.21,15,32.0,13.0,29.0
development,Experiment_7,cell_2.22,Experiment_7|cell_2.22,7,14.6666666666667,4.0,9.66666666666667
development,Experiment_7,cell_2.23,Experiment_7|cell_2.23,8,14.0,5.0,9.33333333333333
development,Experiment_7,cell_2.24,Experiment_7|cell_2.24,13,32.6666666666667,8.0,15.3333333333333
development,Experiment_7,cell_2.25,Experiment_7|cell_2.25,18,34.0,,
development,Experiment_7,cell_2.27,Experiment_7|cell_2.27,13,38.0,7.0,13.6666666666667
development,Experiment_7,cell_2.28,Experiment_7|cell_2.28,11,32.3333333333333,6.0,13.3333333333333
development,Experiment_7,cell_2.29,Experiment_7|cell_2.29,9,32.3333333333333,4.0,7.33333333333333
development,Experiment_7,cell_2.3,Experiment_7|cell_2.3,9,39.3333333333333,6.0,15.0
development,Experiment_7,cell_2.30,Experiment_7|cell_2.30,13,29.0,11.0,25.0
development,Experiment_7,cell_2.31,Experiment_7|cell_2.31,16,34.0,12.0,24.6666666666667
development,Experiment_7,cell_2.32,Experiment_7|cell_2.32,20,39.3333333333333,,
development,Experiment_7,cell_2.33,Experiment_7|cell_2.33,21,40.6666666666667,18.0,34.6666666666667
development,Experiment_7,cell_2.34,Experiment_7|cell_2.34,22,46.0,20.0,40.3333333333333
development,Experiment_7,cell_2.35,Experiment_7|cell_2.35,14,30.0,9.0,17.0
development,Experiment_7,cell_2.36,Experiment_7|cell_2.36,19,34.6666666666667,16.0,29.0
development,Experiment_7,cell_2.37,Experiment_7|cell_2.37,14,39.6666666666667,12.0,27.6666666666667
development,Experiment_7,cell_2.38,Experiment_7|cell_2.38,17,36.3333333333333,15.0,30.3333333333333
development,Experiment_7,cell_2.39,Experiment_7|cell_2.39,18,43.6666666666667,15.0,27.6666666666667
development,Experiment_7,cell_2.4,Experiment_7|cell_2.4,11,24.3333333333333,4.0,5.66666666666667
development,Experiment_7,cell_2.40,Experiment_7|cell_2.40,17,39.3333333333333,14.0,32.0
development,Experiment_7,cell_2.41,Experiment_7|cell_2.41,20,40.0,17.0,32.6666666666667
development,Experiment_7,cell_2.42,Experiment_7|cell_2.42,13,26.3333333333333,,
development,Experiment_7,cell_2.43,Experiment_7|cell_2.43,15,32.3333333333333,6.0,12.0
development,Experiment_7,cell_2.44,Experiment_7|cell_2.44,13,28.0,,
development,Experiment_7,cell_2.47,Experiment_7|cell_2.47,13,30.6666666666667,9.0,19.3333333333333
development,Experiment_7,cell_2.5,Experiment_7|cell_2.5,10,35.3333333333333,7.0,14.3333333333333
development,Experiment_7,cell_2.6,Experiment_7|cell_2.6,10,29.3333333333333,6.0,12.3333333333333
development,Experiment_7,cell_2.7,Experiment_7|cell_2.7,18,41.3333333333333,16.0,32.3333333333333
development,Experiment_7,cell_2.8,Experiment_7|cell_2.8,12,24.3333333333333,9.0,18.3333333333333
development,Experiment_7,cell_2.9,Experiment_7|cell_2.9,8,16.0,4.0,7.66666666666667
development,Experiment_8,cell_2.48,Experiment_8|cell_2.48,8,33.0,4.0,12.3333333333333
development,Experiment_8,cell_2.49,Experiment_8|cell_2.49,19,40.3333333333333,17.0,34.0
development,Experiment_8,cell_2.50,Experiment_8|cell_2.50,10,23.6666666666667,8.0,16.6666666666667
development,Experiment_8,cell_2.51,Experiment_8|cell_2.51,16,41.0,7.0,12.0
development,Experiment_8,cell_2.52,Experiment_8|cell_2.52,9,18.3333333333333,5.0,9.66666666666667
development,Experiment_8,cell_2.54,Experiment_8|cell_2.54,12,28.0,,
development,Experiment_8,cell_2.56,Experiment_8|cell_2.56,13,30.3333333333333,11.0,24.6666666666667
development,Experiment_8,cell_2.57,Experiment_8|cell_2.57,12,23.6666666666667,,
development,Experiment_8,cell_2.58,Experiment_8|cell_2.58,6,14.6666666666667,4.0,9.0
development,Experiment_8,cell_2.59,Experiment_8|cell_2.59,10,40.0,7.0,16.3333333333333
development,Experiment_8,cell_2.60,Experiment_8|cell_2.60,9,24.3333333333333,,
development,Experiment_8,cell_2.62,Experiment_8|cell_2.62,13,28.6666666666667,11.0,24.0
development,Experiment_8,cell_2.63,Experiment_8|cell_2.63,11,47.6666666666667,4.0,13.0
development,Experiment_8,cell_2.64,Experiment_8|cell_2.64,11,21.0,4.0,8.33333333333333
development,Experiment_8,cell_2.66,Experiment_8|cell_2.66,7,16.3333333333333,4.0,8.66666666666667
development,Experiment_8,cell_2.68,Experiment_8|cell_2.68,7,15.0,5.0,10.6666666666667
development,Experiment_8,cell_2.69,Experiment_8|cell_2.69,7,26.6666666666667,4.0,10.3333333333333
development,Experiment_8,cell_2.70,Experiment_8|cell_2.70,10,27.6666666666667,7.0,16.6666666666667
