gate,statement,observed,threshold,passed
G1,Holdout two-coordinate ARA improves remaining-division MAE by ≥10% vs age,5.240244909014703,10.0,False
G2,Holdout four-coordinate candidate improves MAE by ≥10% vs raw polynomial,9.033698234753366,10.0,False
G3,Holdout four-coordinate candidate improves MAE by ≥5% vs two-coordinate ARA,0.3826347259184933,5.0,False
G4,Holdout two-coordinate slowdown AUROC ≥0.65 and ≥0.05 above age,0.6820512820512821,0.65,True
G5,Holdout four-coordinate slowdown AUROC ≥0.05 above raw polynomial,-0.03589743589743588,0.05,False
G6,External two-coordinate ARA improves remaining-division MAE by ≥5% vs age,11.423659783631372,5.0,True
