split,experiment,cell_id,cell_key,prefix_g1_count,age_intervals,elapsed_hours,early_interval_hours,current_interval_hours,recent_interval_hours,interval_trend,clock_excess,local_interval_ratio,local_interval_ara,size_fold_prefix,rpl_fold_prefix,x_generation,x_clock,x_size,x_rpl,u_generation,u_clock,u_size,u_rpl,ara_phase_gap,ara_phase_sum,ara_phase_product,disk_generation_clock,disk_clock_size,disk_size_rpl,orient_generation_clock,orient_clock_size,orient_size_rpl,radius4_sq,closure4_residual,remaining_divisions,remaining_hours,slowdown_lead_intervals,in_slowdown_risk_set,slowdown_next2,slowdown_exists
external,Experiment_1,cell_1.1,Experiment_1|cell_1.1,5,4,5.66666666666667,1.33333333333333,1.3333333333333393,1.1666666666666698,-0.1504077396776258,0.06250000000000333,1.000000000000007,1.0000000000000036,1.6294284535353483,,0.7272727272727273,0.3578947368421051,1.2393784294412202,,-0.2727272727272727,-0.642105263157895,0.23937842944122023,,-0.3693779904306222,1.0851674641148323,0.17511961722488043,0.4866793342643257,0.4696012014568148,,0.17511961722488043,-0.1537061494306783,,,,9,12.33333333333333,8.0,True,0.0,1
external,Experiment_1,cell_1.1,Experiment_1|cell_1.1,6,5,7.0,1.33333333333333,1.3333333333333304,1.3333333333333348,-0.08109302162163269,0.05000000000000271,1.0000000000000004,1.0000000000000002,1.7765674552243502,,0.9090909090909091,0.4421052631578943,1.2796861476436208,,-0.09090909090909094,-0.5578947368421057,0.27968614764362076,,-0.4669856459330148,1.3511961722488033,0.05071770334928235,0.31951100020603973,0.3894708785798516,,0.05071770334928235,-0.15603542973802012,,,,8,11.0,7.0,True,0.0,1
external,Experiment_1,cell_1.1,Experiment_1|cell_1.1,7,6,8.0,1.33333333333333,1.0,1.1666666666666652,-0.09080153800994113,2.6645352591003757e-15,0.7500000000000019,0.8571428571428584,1.673025220513238,,1.0909090909090908,0.5052631578947363,1.2517840891841692,,0.09090909090909083,-0.4947368421052637,0.25178408918416917,,-0.5856459330143545,1.596172248803827,-0.04497607655502393,0.25302900574620596,0.3081597705025903,,-0.04497607655502393,-0.12456686517532593,,,,7,10.0,6.0,True,0.0,1
external,Experiment_1,cell_1.1,Experiment_1|cell_1.1,8,7,9.33333333333333,1.33333333333333,1.3333333333333304,1.1666666666666652,-0.05371704988486709,2.220446049250313e-15,1.0000000000000004,1.0000000000000002,2.0108999908691323,,1.2727272727272727,0.5894736842105255,1.3357467846606634,,0.2727272727272727,-0.4105263157894745,0.33574678466066343,,-0.6832535885167472,1.8622009569377982,-0.1119617224880385,0.24291202124493555,0.2812577593656532,,-0.1119617224880385,-0.13783289054490422,,,,6,8.66666666666667,5.0,True,0.0,1
external,Experiment_1,cell_1.1,Experiment_1|cell_1.1,9,8,10.3333333333333,1.33333333333333,0.9999999999999698,1.16666666666665,-0.05776226504666469,-0.031250000000000666,0.7499999999999792,0.8571428571428437,2.3433251479805146,,1.4545454545454546,0.6526315789473657,1.401793151585011,,0.4545454545454546,-0.3473684210526343,0.40179315158501105,,-0.8019138755980889,2.10717703349282,-0.15789473684210653,0.3272763901925342,0.28210255660521594,,-0.15789473684210653,-0.13957025265584705,,,,5,7.6666666666667,4.0,True,0.0,1
external,Experiment_1,cell_1.1,Experiment_1|cell_1.1,10,9,11.6666666666667,1.33333333333333,1.3333333333333997,1.1666666666666847,-0.03662040962226856,-0.027777777777772572,1.0000000000000524,1.0000000000000262,1.9673032238912422,,1.6363636363636365,0.7368421052631592,1.3259873194296425,,0.6363636363636365,-0.2631578947368408,0.32598731942964254,,-0.8995215311004773,2.3732057416267955,-0.1674641148325351,0.47421075524827677,0.17551980999125,,-0.1674641148325351,-0.08578613669201078,,,,4,6.3333333333333,3.0,True,0.0,1
external,Experiment_1,cell_1.1,Experiment_1|cell_1.1,11,10,13.0,1.33333333333333,1.3333333333333002,1.33333333333335,-0.02385980633591086,-0.02499999999999758,0.9999999999999777,0.9999999999999888,1.7411451081132279,,1.8181818181818181,0.8210526315789465,1.2703779183085164,,0.8181818181818181,-0.17894736842105352,0.27037791830851643,,-0.9971291866028716,2.6392344497607647,-0.14641148325358924,0.7014436482681259,0.10512637937366705,,-0.14641148325358924,-0.048383416960471604,,,,3,5.0,2.0,True,1.0,1
external,Experiment_1,cell_1.1,Experiment_1|cell_1.1,12,11,14.0,1.33333333333333,1.0,1.16666666666665,-0.02889139845770869,-0.04545454545454297,0.7500000000000019,0.8571428571428584,1.738420301490972,,2.0,0.8842105263157886,1.2696519234424781,,1.0,-0.11578947368421144,0.2696519234424781,,-1.1157894736842113,2.8842105263157887,-0.11578947368421144,1.0134072022160667,0.08611936203229478,,-0.11578947368421144,-0.03122285429333982,,,,2,4.0,1.0,True,1.0,1
external,Experiment_1,cell_1.1,Experiment_1|cell_1.1,13,12,16.0,1.33333333333333,2.0,1.5,-0.004023525488836158,2.6645352591003757e-15,1.5000000000000038,1.2000000000000013,1.6212540336685812,,2.0,1.0105263157894726,1.2370064197093877,,1.0,0.010526315789472607,0.23700641970938774,,-0.9894736842105274,3.0105263157894724,0.010526315789472607,1.0001108033240997,0.056282846307562154,,0.010526315789472607,0.0024948044179933,,,,1,2.0,0.0,False,,1
external,Experiment_1,cell_1.10,Experiment_1|cell_1.10,5,4,5.0,1.33333333333333,1.33333333333333,1.333333333333335,0.028768207245178555,-0.06249999999999756,1.0,1.0,1.467005073185054,,0.7272727272727273,0.3157894736842102,1.189300410550888,,-0.2727272727272727,-0.6842105263157898,0.18930041055088798,,-0.4114832535885171,1.0430622009569375,0.18660287081339721,0.5425242096105863,0.5039786897560649,,0.18660287081339721,-0.12952133353481815,,,,10,15.0,,True,0.0,0
