order,gate,required,observed,passed
1,Traversal recovery,rho >= 0.80,0.9995589385291377,True
2,Traversal specificity,margin >= 0.20,0.16841144257668283,False
3,Closure recovery,rho >= 0.50,0.8410972177992769,True
4,Closure specificity,margin >= 0.20,-0.14848440443971622,False
5,Path-direction recovery,rho >= 0.50 and shuffle margin >= 0.20,0.6352752968785397,True
