component,waveform_coordinate,horizon_coordinate
Space/Connection,1.8219255893212156,0.026412950866231185
Time/Traversal,0.0,0.0
Space/Connection,1.8020448736154502,0.08094291394490202
Time/Traversal,0.002272081794944618,0.0042601533655211585
Space/Connection,1.860266969610906,0.11190002840102244
Time/Traversal,0.008804316955410394,0.008804316955410394
Space/Connection,1.8687872763419484,0.13518886679920478
Time/Traversal,0.031241124680488497,0.013348480545299631
Space/Connection,1.8287418347060493,0.17409826753763136
Time/Traversal,0.059074126668560066,0.01760863391082079
Space/Connection,1.8139733030389094,0.20704345356432832
Time/Traversal,0.0823629650667424,0.022152797500710024
Space/Connection,1.7597273501846067,0.22777619994319795
Time/Traversal,0.09741550695825049,0.026696961090599262
Space/Connection,1.6035217267821642,0.23856858846918488
Time/Traversal,0.17040613462084636,0.03095711445612042
Space/Connection,0.11701221243964782,0.23146833285998297
Time/Traversal,0.1996591877307583,0.03550127804600966
Space/Connection,1.3811417211019597,0.21868787276341947
Time/Traversal,0.1962510650383414,0.04004544163589889
Space/Connection,1.6594717409826754,0.2033513206475433
Time/Traversal,0.1385969894916217,0.04430559500142005
Space/Connection,1.7509230332291963,0.18091451292246521
Time/Traversal,0.0985515478557228,0.048849758591309286
Space/Connection,1.804884975859131,0.14569724510082363
Time/Traversal,0.08917921045157626,0.053393922181198525
Space/Connection,1.835274069866515,0.13660891792104515
Time/Traversal,0.07412666856006817,0.05765407554671968
Space/Connection,1.8327179778472025,0.12638454984379438
Time/Traversal,0.061346208463504685,0.06219823913660892
Space/Connection,1.7952286282306162,0.11672820221527976
Time/Traversal,0.04430559500142005,0.06674240272649816
Space/Connection,1.7529111047997727,0.10792388525986936
Time/Traversal,0.03578528827037773,0.07100255609201932
Space/Connection,1.6776483953422323,0.09798352740698665
Time/Traversal,0.027548991763703495,0.07554671968190854
Space/Connection,1.5867651235444475,0.08832717977847203
Time/Traversal,0.014768531667140017,0.08009088327179778
Space/Connection,1.2081794944618007,0.07923885259869355
Time/Traversal,0.012496449872195399,0.08435103663731894
Space/Connection,0.04458960522578813,0.06958250497017893
Time/Traversal,0.019312695257029253,0.08889520022720818
Space/Connection,0.6427151377449588,0.060210167566032376
Time/Traversal,0.03521726782164158,0.09343936381709742
Space/Connection,1.2405566600397615,0.05055381993751775
Time/Traversal,0.04629366657199659,0.09798352740698665
Space/Connection,1.4103947742118716,0.041749502982107355
Time/Traversal,0.05765407554671968,0.10224368077250781
Space/Connection,1.4731610337972167,0.03209315535359273
Time/Traversal,0.06844646407270662,0.10678784436239705
Space/Connection,1.5416074978699232,0.02272081794944618
Time/Traversal,0.07895484237432547,0.11133200795228629
