waveform_component,hidden_target,rho,role
Space/Connection,radial closure,0.8410972177992769,matching
Space/Connection,angular traversal,0.8311474959524549,cross
Time/Traversal,angular traversal,0.9995589385291377,matching
Time/Traversal,radial closure,0.9895816222389932,cross
