replicate,shifted_di_ara_brier,improvement_over_child_state
0,0.08209136371546713,-0.008936210962067898
1,0.08148442579006737,-0.008329273036668139
2,0.08115622588099772,-0.008001073127598485
3,0.0798931451657019,-0.0067379924123026624
4,0.08153689527957592,-0.008381742526176683
5,0.08312556070460474,-0.009970407951205504
6,0.08083138944963991,-0.007676236696240679
7,0.08223867644730787,-0.009083523693908635
8,0.08284587214152828,-0.009690719388129043
9,0.08228623965618459,-0.009131086902785357
10,0.08204314905994202,-0.008887996306542786
11,0.0823931616272532,-0.009238008873853967
12,0.08106379417924968,-0.007908641425850446
13,0.08022564450628254,-0.0070704917528833094
14,0.08103917522879973,-0.007884022475400501
15,0.0816998937098605,-0.008544740956461266
16,0.08060795511449455,-0.007452802361095315
17,0.0808059065802459,-0.007650753826846671
18,0.08179502172329642,-0.008639868969897185
19,0.08216168931285114,-0.009006536559451911
20,0.0831404821297248,-0.009985329376325569
21,0.08078544104070243,-0.007630288287303194
22,0.0808527192215128,-0.007697566468113565
23,0.08165135102429073,-0.0084961982708915
24,0.0805858541048981,-0.00743070135149887
25,0.08332156425043649,-0.010166411497037259
26,0.08354005950067361,-0.01038490674727438
27,0.08112213743463964,-0.007966984681240408
28,0.08189557272406042,-0.00874041997066119
29,0.08166401005827408,-0.008508857304874842
30,0.08069008220991566,-0.0075349294565164315
31,0.08118267285171257,-0.00802752009831334
32,0.08198764455874057,-0.008832491805341333
33,0.08124550062751053,-0.008090347874111295
34,0.08040367069199654,-0.007248517938597307
35,0.08156318066281579,-0.008408027909416554
36,0.0826502488514255,-0.009495096098026262
37,0.0802593229378934,-0.007104170184494163
38,0.08191663544531849,-0.008761482691919259
39,0.08119249739745994,-0.00803734464406071
40,0.08045187518184685,-0.007296722428447616
41,0.0838052868137165,-0.01065013406031727
42,0.08147060938670128,-0.008315456633302049
43,0.08133770494085281,-0.008182552187453576
44,0.08256507723747257,-0.009409924484073337
45,0.08205650089308786,-0.008901348139688625
46,0.08219509514685704,-0.009039942393457803
47,0.08369623413022684,-0.010541081376827605
48,0.0819479311229117,-0.008792778369512463
49,0.08161150786174166,-0.008456355108342431
50,0.08138468688682113,-0.008229534133421895
51,0.07966520965798417,-0.006510056904584935
52,0.08082910037706387,-0.007673947623664634
53,0.08385550882932442,-0.010700356075925191
54,0.08120382586077621,-0.008048673107376975
55,0.08229892176616715,-0.009143769012767922
56,0.08006829982183748,-0.0069131470684382496
57,0.08300842134108613,-0.009853268587686898
58,0.08092185429274044,-0.0077667015393412114
59,0.08090294951609864,-0.007747796762699405
60,0.08300624370271965,-0.00985109094932042
61,0.08022241172641936,-0.00706725897302013
62,0.0825307081475591,-0.009375555394159865
63,0.08092731951509714,-0.00777216676169791
64,0.08179852536274734,-0.00864337260934811
65,0.08074242175271881,-0.00758726899931958
66,0.08373098286397529,-0.010575830110576057
67,0.07982571408131939,-0.006670561327920155
68,0.08072587115979937,-0.00757071840640014
69,0.08140192052100666,-0.008246767767607424
70,0.08185854268929385,-0.008703389935894618
71,0.08077453921658949,-0.007619386463190256
72,0.08240709744095664,-0.009251944687557412
73,0.08341727735832405,-0.010262124604924816
74,0.08256247143263996,-0.009407318679240731
75,0.07927567458011756,-0.006120521826718323
76,0.08293657978950102,-0.009781427036101784
77,0.08197452140636705,-0.008819368652967813
78,0.08282744409264106,-0.009672291339241829
79,0.08139778403418846,-0.008242631280789225
80,0.08296213198599857,-0.009806979232599336
81,0.08009158554931298,-0.006936432795913744
82,0.0821495723329442,-0.008994419579544971
83,0.08045707960041007,-0.007301926847010837
84,0.0832005851546751,-0.010045432401275867
85,0.08149520109343861,-0.008340048340039374
86,0.08096283926974049,-0.007807686516341256
87,0.08219498855838848,-0.009039835804989252
88,0.08313992074335827,-0.009984767989959037
89,0.08048214363404188,-0.007326990880642648
90,0.08033795209593408,-0.007182799342534851
91,0.0805789160456793,-0.007423763292280061
92,0.08271998577758616,-0.009564833024186925
93,0.082814066063617,-0.009658913310217773
94,0.08163889111646883,-0.008483738363069593
95,0.0819017736339083,-0.008746620880509065
96,0.08341891443893679,-0.010263761685537554
97,0.0825129305404665,-0.00935777778706727
98,0.08121628423773038,-0.008061131484331144
99,0.08002581473858184,-0.006870661985182602
100,0.08137558533006413,-0.008220432576664896
101,0.0805417131595418,-0.007386560406142564
102,0.08149870486444392,-0.008343552111044691
103,0.08197273551269524,-0.008817582759296005
104,0.08083703967575274,-0.007681886922353512
105,0.08040432046320528,-0.007249167709806048
106,0.08281950593641026,-0.009664353183011024
107,0.0785970840792445,-0.0054419313258452645
108,0.08301804858205357,-0.009862895828654336
109,0.08351600820937902,-0.010360855455979784
110,0.08080958519754264,-0.007654432444143405
111,0.08352136530694027,-0.010366212553541032
112,0.07984322293858272,-0.006688070185183484
113,0.08105584353302116,-0.007900690779621924
114,0.08095508206915944,-0.007799929315760207
115,0.0816213694285953,-0.008466216675196064
116,0.08167334000966565,-0.008518187256266421
117,0.08198299566995321,-0.008827842916553974
118,0.08180544891132485,-0.008650296157925619
119,0.0801338472150739,-0.006978694461674664
120,0.08264822168430166,-0.009493068930902432
121,0.08181814924753258,-0.008662996494133351
122,0.0813751433208833,-0.00821999056748407
123,0.08274045601477531,-0.009585303261376077
124,0.07981436806680442,-0.006659215313405187
125,0.07985845750379,-0.0067033047503907706
126,0.08335058450190483,-0.010195431748505596
127,0.08093290491720853,-0.007777752163809298
