model,brier,auc,base_probability,events,snapshots,weight
constant,0.0718179385142055,0.48519193916243386,0.07784902696450778,123,10308,111.33717189827257
child_position,0.07312220073937965,0.40210407651414215,0.07784902696450778,123,10308,111.33717189827257
child_state,0.07315515275339923,0.40220649659692903,0.07784902696450778,123,10308,111.33717189827257
parent_state,0.07123536359851111,0.6703076355394388,0.07784902696450778,123,10308,111.33717189827257
additive,0.0740307824133107,0.6138143791482836,0.07784902696450778,123,10308,111.33717189827257
di_ara,0.07490886501756931,0.6275737075241438,0.07784902696450778,123,10308,111.33717189827257
