heldout_fluid,model,term,coefficient_standardized
S1,child_position,intercept,-2.5330515736936863
S1,child_position,u,-0.22701839801212398
S1,child_state,intercept,-2.5336542494661933
S1,child_state,u,-0.24870931771626795
S1,child_state,du,0.04739258237171782
S1,parent_state,intercept,-2.6531293555633724
S1,parent_state,v,0.6004816300311235
S1,parent_state,dv,0.1561096928393867
S1,additive,intercept,-2.696004488353498
S1,additive,u,-0.4641489491625979
S1,additive,v,0.6141561087279294
S1,additive,du,0.05822176946543176
S1,additive,dv,0.24374355955914995
S1,di_ara,intercept,-2.773844531924075
S1,di_ara,u,-0.48158076665566873
S1,di_ara,v,0.7895205686272423
S1,di_ara,du,-0.3128803790376616
S1,di_ara,dv,0.2874164942415086
S1,di_ara,uv,-0.07987062453150913
S1,di_ara,radial_flow,0.5553443655928657
S1,di_ara,circulation,0.10148444769563407
S2,child_position,intercept,-2.470707248048355
S2,child_position,u,0.2921900711104872
S2,child_state,intercept,-2.4707991136991994
S2,child_state,u,0.2799493970174259
S2,child_state,du,0.02582048937843929
S2,parent_state,intercept,-2.616685773270273
S2,parent_state,v,0.708792242525283
S2,parent_state,dv,-0.009008188380352106
S2,additive,intercept,-2.6551505401807067
S2,additive,u,0.14296482486913586
S2,additive,v,0.7300296207705973
S2,additive,du,0.16286791475381565
S2,additive,dv,-0.067609262662429
S2,di_ara,intercept,-2.639585903593907
S2,di_ara,u,0.23259857723668437
S2,di_ara,v,0.6667776195392018
S2,di_ara,du,0.09715295547708298
S2,di_ara,dv,-0.019202635877927657
S2,di_ara,uv,0.19498092720302396
S2,di_ara,radial_flow,0.13498633849991112
S2,di_ara,circulation,-0.0817306037685735
S3,child_position,intercept,-2.4832003909886033
S3,child_position,u,0.06437663535246266
S3,child_state,intercept,-2.4832122991603622
S3,child_state,u,0.06716145070584223
S3,child_state,du,-0.005610435287058633
S3,parent_state,intercept,-2.6842474577661037
S3,parent_state,v,0.7332521847791915
S3,parent_state,dv,0.08482794141432833
S3,additive,intercept,-2.677113487692217
S3,additive,u,-0.11633994984142101
S3,additive,v,0.7392406780374688
S3,additive,du,0.06955845275992766
S3,additive,dv,0.08048274039010037
S3,di_ara,intercept,-2.7366349255811446
S3,di_ara,u,-0.12057856912603464
S3,di_ara,v,0.866179080726833
S3,di_ara,du,-0.2548245357133984
S3,di_ara,dv,0.14806582245165992
S3,di_ara,uv,-0.03740479774458585
S3,di_ara,radial_flow,0.4707343590304369
S3,di_ara,circulation,0.03375582888348075
S4,child_position,intercept,-2.4515764735780783
S4,child_position,u,0.10368879278033905
S4,child_state,intercept,-2.451864813139041
S4,child_state,u,0.11845576912946496
S4,child_state,du,-0.028822699338041703
S4,parent_state,intercept,-2.6415437034822227
S4,parent_state,v,0.7188262181986524
S4,parent_state,dv,0.08463707952201903
S4,additive,intercept,-2.636029453140896
S4,additive,u,-0.09279341513447531
S4,additive,v,0.7287136570239107
S4,additive,du,0.06303496071777906
S4,additive,dv,0.0793165504229576
S4,di_ara,intercept,-2.6921426009107323
S4,di_ara,u,-0.1020174377150486
S4,di_ara,v,0.8580608440333071
S4,di_ara,du,-0.2512911471988242
S4,di_ara,dv,0.1472028701538622
S4,di_ara,uv,-0.03310748406462826
S4,di_ara,radial_flow,0.45968979913692515
S4,di_ara,circulation,0.03589890300073489
