fluid,model,brier,auc,base_probability,events,snapshots,weight
S1,constant,0.0791109123323077,0.5,0.08645762117851347,34,564,26.69065775640851
S2,constant,0.06982192003036185,0.5,0.07549782729172844,62,3103,57.91870285098796
S3,constant,0.08041060773074983,0.5,0.08804406426261421,7,3043,6.976873907555452
S4,constant,0.06478042765028375,0.5,0.06950916474664687,20,3598,19.750937383320657
S1,child_position,0.082410610204277,0.3112568834328852,0.08645762117851347,34,564,26.69065775640851
S2,child_position,0.07068153828509621,0.43902410985736295,0.07549782729172844,62,3103,57.91870285098796
S3,child_position,0.08060269914198089,0.43101046093041306,0.08804406426261421,7,3043,6.976873907555452
S4,child_position,0.06508489872583409,0.42300635771117057,0.06950916474664687,20,3598,19.750937383320657
S1,child_state,0.08253942275456079,0.30356107338132704,0.08645762117851347,34,564,26.69065775640851
S2,child_state,0.07066862282906679,0.44305781912971215,0.07549782729172844,62,3103,57.91870285098796
S3,child_state,0.0806104953936082,0.4310702824297307,0.08804406426261421,7,3043,6.976873907555452
S4,child_state,0.0651316988008076,0.42160350652207723,0.06950916474664687,20,3598,19.750937383320657
S1,parent_state,0.07718805198497901,0.6917797934791939,0.08645762117851347,34,564,26.69065775640851
S2,parent_state,0.06929818574980456,0.6815843870002549,0.07549782729172844,62,3103,57.91870285098796
S3,parent_state,0.08288392861168617,0.5300545881395206,0.08804406426261421,7,3043,6.976873907555452
S4,parent_state,0.06475704274301843,0.6821068079918435,0.06950916474664687,20,3598,19.750937383320657
S1,additive,0.08719953636756003,0.55743059618338,0.08645762117851347,34,564,26.69065775640851
S2,additive,0.07004670373208999,0.6423714635942257,0.07549782729172844,62,3103,57.91870285098796
S3,additive,0.08299411461312327,0.5682686098808033,0.08804406426261421,7,3043,6.976873907555452
S4,additive,0.06475192791686378,0.6976525581775577,0.06950916474664687,20,3598,19.750937383320657
S1,di_ara,0.09199627955767242,0.5784348478629046,0.08645762117851347,34,564,26.69065775640851
S2,di_ara,0.06962214127588597,0.6527058750281942,0.07549782729172844,62,3103,57.91870285098796
S3,di_ara,0.08325527074354332,0.560471637096121,0.08804406426261421,7,3043,6.976873907555452
S4,di_ara,0.064372353849795,0.7114922368021886,0.06950916474664687,20,3598,19.750937383320657
