run,field_g,time_us,detector,observed_share_residual,predicted_share_residual,baseline_share,native_bin_counts
EMU00066578,63.0,1.5149999856948853,1,8.201196271175049e-05,5.428999940808849e-05,0.010765445664406894,2000
EMU00066578,63.0,1.5149999856948853,2,0.00031069978890174883,-7.265982526926864e-05,0.011610656143301642,2198
EMU00066578,63.0,1.5149999856948853,3,-6.974361239298413e-05,-0.0001280248519976253,0.011963980900528578,2193
EMU00066578,63.0,1.5149999856948853,4,-0.0003028564713185213,-0.00016122261887535673,0.010434381895047334,1868
EMU00066578,63.0,1.5149999856948853,5,-0.0004555426428054978,-0.00034015581274106675,0.013033169761449566,2319
EMU00066578,63.0,1.5149999856948853,6,0.0005187898423045859,-0.00026675668862528645,0.011869006767864905,2284
EMU00066578,63.0,1.5149999856948853,7,-7.616900450909889e-05,-0.00046235306499130057,0.012333796123153168,2260
EMU00066578,63.0,1.5149999856948853,8,-0.00020676994960686958,-0.0004935956900161198,0.012703041136047548,2304
EMU00066578,63.0,1.5149999856948853,9,0.00030288658296941627,-0.0004119266521992856,0.012269316806861092,2318
EMU00066578,63.0,1.5149999856948853,10,-0.0003516929357682604,-0.00044275925146803236,0.009506947173056396,1688
EMU00066578,63.0,1.5149999856948853,11,-0.0003213256693522029,-0.0006554114382469865,0.012964037533758983,2331
EMU00066578,63.0,1.5149999856948853,12,0.000313012012413549,-0.0005378137655150484,0.013268004936738994,2504
EMU00066578,63.0,1.5149999856948853,13,-0.00010680448286117146,-0.000580209413013458,0.011626804482861172,2124
EMU00066578,63.0,1.5149999856948853,14,-0.00048299141181842864,-0.0006553187343761835,0.011720957513513344,2072
EMU00066578,63.0,1.5149999856948853,15,-0.0004654592020827634,-0.000568546708490088,0.013249188015642085,2357
EMU00066578,63.0,1.5149999856948853,16,-0.0005453142549394392,-0.0008985538319101692,0.015108026119346219,2685
EMU00066578,63.0,1.5149999856948853,17,-0.0003141483480744046,-0.0007072706124641883,0.013097877161633726,2357
EMU00066578,63.0,1.5149999856948853,18,0.00029172425873018326,-0.0005281604272132978,0.012741496080252868,2403
EMU00066578,63.0,1.5149999856948853,19,-0.00018072349330886146,-0.00042582955720567414,0.010849198069580047,1967
EMU00066578,63.0,1.5149999856948853,20,0.0003064146587123725,-0.0006439734241663862,0.013334263307389323,2515
EMU00066578,63.0,1.5149999856948853,21,-0.00018555379354477652,-0.0004561698363261957,0.012226231759646471,2220
EMU00066578,63.0,1.5149999856948853,22,-0.00016635762104670257,-0.0004121156175886463,0.012640933892233143,2300
EMU00066578,63.0,1.5149999856948853,23,5.651683432332175e-06,-0.00043695826176514644,0.012826890689449024,2366
EMU00066578,63.0,1.5149999856948853,24,-0.0006496686550032018,-0.0003537611700587832,0.012489668655003202,2183
EMU00066578,63.0,1.5149999856948853,25,-0.0002903422274514317,-0.0001297128906165866,0.013372376125756516,2412
EMU00066578,63.0,1.5149999856948853,26,-0.00032749030284999654,-0.00021310446910411448,0.013295625896070336,2391
EMU00066578,63.0,1.5149999856948853,27,-0.00040714514672793994,-0.00019808509976514281,0.012615958706049974,2251
EMU00066578,63.0,1.5149999856948853,28,7.235019234737988e-05,0.00013865188897171777,0.013812395570364485,2560
EMU00066578,63.0,1.5149999856948853,29,-0.00044481019178784637,2.3091898410523565e-06,0.014014979683313271,2502
EMU00066578,63.0,1.5149999856948853,30,-0.00024911896518440245,-4.7515369036502286e-05,0.011731152863489486,2117
EMU00066578,63.0,1.5149999856948853,31,8.02558867154593e-05,0.00031602808085824766,0.014954320384470981,2772
EMU00066578,63.0,1.5149999856948853,32,0.0005494213887686991,0.00017566540171898474,0.013243120984112657,2543
EMU00066578,63.0,1.5149999856948853,33,0.00018349166131456478,-1.612404529280332e-05,0.012963626982753232,2424
EMU00066578,63.0,1.5149999856948853,34,-0.00030310811128200603,0.0005320504648362993,0.010939040314671836,1961
EMU00066578,63.0,1.5149999856948853,35,0.00024212683145030146,0.00036169403309039747,0.012937534185498851,2430
EMU00066578,63.0,1.5149999856948853,36,0.0003688395311343129,0.00016473425478975273,0.012425736740052127,2359
EMU00066578,63.0,1.5149999856948853,37,0.0007499725761012845,0.0006518605449686077,0.013894095220508884,2700
EMU00066578,63.0,1.5149999856948853,38,8.266787025583075e-05,0.000421248908409243,0.012679366028049255,2353
EMU00066578,63.0,1.5149999856948853,39,-0.00012072015704459038,0.00019171346875476324,0.012703771004502217,2320
EMU00066578,63.0,1.5149999856948853,40,0.0003393589214113462,0.0005639558298406399,0.009580641078588654,1829
EMU00066578,63.0,1.5149999856948853,41,0.0005342972921675831,0.00039203652871822476,0.014532821351900213,2778
EMU00066578,63.0,1.5149999856948853,42,0.0004025554204126723,0.00018685974801748044,0.012598122545689023,2397
EMU00066578,63.0,1.5149999856948853,43,0.00025708469568631355,0.00048702736129465013,0.011284610219567923,2128
EMU00066578,63.0,1.5149999856948853,44,0.0006153990511454169,0.00028982363545914156,0.013768329762413906,2652
EMU00066578,63.0,1.5149999856948853,45,-0.00034597080382449755,0.00014597883176355411,0.01104156402416348,1972
EMU00066578,63.0,1.5149999856948853,46,0.00015529159057941014,0.0003103748855361656,0.012048098239929065,2250
EMU00066578,63.0,1.5149999856948853,47,0.00030443980823428515,0.00017306986590682387,0.009588441547697918,1824
EMU00066578,63.0,1.5149999856948853,48,0.0002463878748673147,1.5087908201898895e-05,0.011745476531912347,2211
EMU00066578,63.0,1.5149999856948853,49,0.00022765830244775645,0.0001861491778982204,0.007766917968738685,1474
EMU00066578,63.0,1.5149999856948853,50,-5.880235269060431e-05,0.00017593202021419358,0.009734734556080435,1784
EMU00066578,63.0,1.5149999856948853,51,-0.0003433333663926119,0.000143786508890882,0.006569774044358713,1148
EMU00066578,63.0,1.5149999856948853,52,0.00014951463821601986,-7.036335930801536e-05,0.007953536209241607,1494
EMU00066578,63.0,1.5149999856948853,53,0.0001784642983277806,-6.721223674141917e-05,0.009958484854214592,1869
EMU00066578,63.0,1.5149999856948853,54,-6.1066641287551085e-06,4.274360422974408e-05,0.0062271236132812975,1147
EMU00066578,63.0,1.5149999856948853,55,-0.00014629180051207655,-0.00019617461312370366,0.006611376546274789,1192
EMU00066578,63.0,1.5149999856948853,56,-0.00023625703623198803,-0.0003147650473873177,0.010422019748096395,1878
EMU00066578,63.0,1.5149999856948853,57,6.530233142487338e-06,-0.00010821916539264225,0.007326351122789716,1352
EMU00066578,63.0,1.5149999856948853,58,1.4751662047611525e-05,-0.0003107599667833681,0.006086943253206626,1125
EMU00066578,63.0,1.5149999856948853,59,-0.00037039942133523795,-0.00043057149407784687,0.00947684009930134,1679
EMU00066578,63.0,1.5149999856948853,60,-0.0004185094067651902,-0.0002210834742806917,0.00802257720337536,1402
EMU00066578,63.0,1.5149999856948853,61,3.3191020584736296e-05,-0.0003695666480151709,0.006480707284500009,1201
EMU00066578,63.0,1.5149999856948853,62,-0.0001589964222772286,-0.0005064834699399233,0.00967221676126028,1754
EMU00066578,63.0,1.5149999856948853,63,-0.00013463237128041178,-0.00021376501923354,0.007310225591619395,1323
EMU00066578,63.0,1.5149999856948853,64,-0.0004539090999706296,-0.0005909727146741263,0.009278315879631646,1627
EMU00066578,63.0,1.5149999856948853,65,-0.0006205261922219221,-0.0005146134794551909,0.01000357703967955,1730
EMU00066578,63.0,1.5149999856948853,66,-0.00015297371739094422,-0.00026041458998338424,0.007968566937729927,1441
EMU00066578,63.0,1.5149999856948853,67,-0.0001921750785192234,-0.00041646559844527264,0.007920988637841258,1425
EMU00066578,63.0,1.5149999856948853,68,-0.00017999436078426634,-0.0004028997180725493,0.010186774021801216,1845
EMU00066578,63.0,1.5149999856948853,69,-0.00041290925377764857,-0.00017353703322811175,0.007631892304625106,1331
EMU00066578,63.0,1.5149999856948853,70,5.678036755512109e-06,-0.00024354962695390242,0.00844991518358347,1559
EMU00066578,63.0,1.5149999856948853,71,-0.0003930730947643256,-0.00024691597041306696,0.010774090043916868,1914
EMU00066578,63.0,1.5149999856948853,72,-0.0002965106255859752,-7.30997119953459e-05,0.008301934354399534,1476
EMU00066578,63.0,1.5149999856948853,73,0.00011790063042244666,5.331231393335214e-05,0.006900404454323316,1294
EMU00066578,63.0,1.5149999856948853,74,-0.0002925554503689781,5.7952708287089444e-05,0.009453233416470672,1689
EMU00066578,63.0,1.5149999856948853,75,0.00032509065111755407,7.951410460485365e-05,0.007463383925153632,1436
EMU00066578,63.0,1.5149999856948853,76,0.0001618121598924386,0.00031429045746786166,0.009844967501124511,1845
EMU00066578,63.0,1.5149999856948853,77,0.00020920523067202018,0.00029435317240577126,0.010171811718480523,1914
EMU00066578,63.0,1.5149999856948853,78,1.777871266229504e-05,0.0002515852987125132,0.005481882304286857,1014
EMU00066578,63.0,1.5149999856948853,79,0.0002865559082910734,0.0005742835517978885,0.009714800023912316,1844
EMU00066578,63.0,1.5149999856948853,80,0.000428882259512443,0.0005451504751333268,0.010868744859131625,2083
EMU00066578,63.0,1.5149999856948853,81,-3.100905929387648e-05,0.0003286548717127951,0.004630331093192182,848
EMU00066578,63.0,1.5149999856948853,82,-0.00010722169249394523,0.0007521513034980226,0.009170272539951573,1671
EMU00066578,63.0,1.5149999856948853,83,0.0003206695150136177,0.0006686304380350943,0.0096101779426135,1831
EMU00066578,63.0,1.5149999856948853,84,-0.0001901644423433907,0.0004412706731666318,0.008206435628784068,1478
EMU00066578,63.0,1.5149999856948853,85,0.00030071050911914966,0.0006240037222558741,0.006451831863762207,1245
EMU00066578,63.0,1.5149999856948853,86,-0.00013788879592245215,0.0006971971595882266,0.009613143033210588,1747
