factor,run,field_g,improvement,orientation_covariance
1,EMU00066578,63.0,-0.554861519593042,215.80792907401204
1,EMU00066579,160.0,-0.8970326815062641,121.88615897355795
1,EMU00066580,400.0,-1.470487635479512,-2.01738882281839
2,EMU00066578,63.0,-0.8735364250549895,215.76370755129076
2,EMU00066579,160.0,-1.468148644083814,121.26173969026074
2,EMU00066580,400.0,-2.6113816478071183,-1.1870095970237777
4,EMU00066578,63.0,-1.2285589302123334,214.92540408694853
4,EMU00066579,160.0,-2.167590783022874,117.83962637818523
4,EMU00066580,400.0,-4.543748063096124,-1.8672606669004015
