shift,mean_holdout_improvement,minimum_holdout_improvement
0,-0.9741272788596061,-1.470487635479512
1,-0.977762706540041,-1.451071477840212
2,-0.9361125675760426,-1.4063536465207531
3,-0.8779552533485986,-1.3702087155784897
4,-0.8997642131635356,-1.3655664037329123
5,-0.8826230224513726,-1.328208321894731
6,-0.8421001621220574,-1.292258308139377
7,-0.8915609143256491,-1.2985126599544556
8,-0.9024085498328202,-1.2768128318545622
9,-0.8822368438058268,-1.2370568089721319
10,-0.9441610359510152,-1.2561511852299216
11,-0.980635504395838,-1.2479992609954622
12,-0.9856389164812575,-1.215595512541372
13,-1.0573306700394924,-1.2465955602246437
14,-1.1114257916696844,-1.2497370862617818
15,-1.1382482429579426,-1.225927104294898
16,-1.2069352309837138,-1.2660435999416864
17,-1.2726146265941871,-1.347982263788849
18,-1.3206460016948072,-1.4398113356170148
19,-1.3727346974421586,-1.494101667263008
20,-1.4362094846966513,-1.5730920940470892
21,-1.5009453923375065,-1.6719823020924691
22,-1.5312493229343194,-1.693247503968831
23,-1.5850341076300491,-1.7441000441571606
24,-1.65226557706937,-1.8298586862965078
25,-1.6566722257073063,-1.8120589320611793
26,-1.690955563967129,-1.8254157231527155
27,-1.751489231199331,-1.8939047810678282
28,-1.7354329183296409,-1.84562685090218
29,-1.745500468482635,-1.8263084266056904
30,-1.7913557731544578,-1.872435620162153
31,-1.7453240923311721,-1.8169312259344057
32,-1.7329936741455765,-1.8058950150376427
33,-1.755146791004928,-1.8410757764256203
34,-1.6978702301038453,-1.769102051638658
35,-1.656031749914894,-1.7251575981198077
36,-1.6531321993280308,-1.729227138745585
37,-1.5841090546648813,-1.6917704884839972
38,-1.5242907987247618,-1.6840865034179386
39,-1.497827895611788,-1.7013098124813757
40,-1.4346767237789129,-1.668745301084853
41,-1.3619419612739225,-1.648502559006118
42,-1.3139220843188,-1.6468004472006639
43,-1.267884581561294,-1.6125028505810692
44,-1.1917632666740265,-1.5796323755357515
45,-1.134312395000519,-1.5687986130649758
46,-1.1051541397113671,-1.5302170301122096
47,-1.038298656598659,-1.4883624461008944
48,-0.9776184333292287,-1.470250081992598
49,-0.9768365543081371,-1.4444985362195415
50,-0.9312150610003727,-1.404086734385967
51,-0.8773103949941358,-1.3715388301879634
52,-0.9042963711640377,-1.3637762580528965
53,-0.8836982488710842,-1.318520530640186
54,-0.8463263043175014,-1.2854196800006732
55,-0.8894899708077832,-1.2862375608129013
56,-0.899691424975913,-1.2584861906437257
57,-0.8822260472408727,-1.2287443538660634
58,-0.9442551347537301,-1.2420246689639405
59,-0.9789862223604753,-1.2280525143858507
60,-0.9860436083020322,-1.203718341147709
61,-1.049156303375835,-1.2327212412176642
62,-1.1109578098034343,-1.2366911514469736
63,-1.1424627911981686,-1.2246497829272913
64,-1.1997220618473838,-1.2556081780761406
65,-1.2732217573610238,-1.3530310937260697
66,-1.3265283915206114,-1.4497306907260064
67,-1.3698984922461275,-1.4888544928099723
68,-1.4429327136554269,-1.5747675590347865
69,-1.5074595386957548,-1.679535632825437
70,-1.5306117647305382,-1.6827430456023542
71,-1.5931125764223133,-1.740898885363166
72,-1.6610013279102749,-1.83475929310335
73,-1.660614579924405,-1.8105703971175044
74,-1.7016620394925734,-1.8298210248436098
75,-1.7605355994158842,-1.8989038993880478
76,-1.7305528457214177,-1.833551065918297
77,-1.7438908144662293,-1.830599577651927
78,-1.792911148014711,-1.8919505899744093
79,-1.7376864364296256,-1.8275835880915006
80,-1.723296416188001,-1.823762273999161
81,-1.7505721911679128,-1.8595357838226652
82,-1.6834119206950042,-1.7778068040631325
83,-1.6407020161118355,-1.7347371259105682
84,-1.6454722869822287,-1.7444440591173014
85,-1.578122773869757,-1.6888374906288095
86,-1.5142513616842603,-1.6756738913560518
87,-1.4905099255633676,-1.700580149478494
88,-1.4288729481080622,-1.6636413552476776
89,-1.3554969960508145,-1.6410692455216607
90,-1.309769260325132,-1.6458300753835133
91,-1.2610652123066186,-1.6097625305246592
92,-1.1882728291944085,-1.5744972991017372
93,-1.1285801440624608,-1.5668343855518052
94,-1.1039510103411505,-1.5379994906930272
95,-1.0448191113493401,-1.4952910875412995
