replicate,mean_holdout_improvement
0,-0.9672194310409313
1,-0.9510368728252083
2,-0.9170725027372936
3,-0.9055932588379134
4,-1.0109031264601054
5,-1.0408872584693791
6,-0.952173606565228
7,-1.0991735775130953
8,-0.9361011435031189
9,-0.9965129125497928
10,-1.0074473926499905
11,-0.9434449587901992
12,-0.9764940401785324
13,-0.9757318482060057
14,-0.9197019022425964
15,-0.9306966702383273
16,-0.895243139361102
17,-0.93581517761829
18,-0.9747097970021463
19,-0.9426355534854451
20,-0.929764504108897
21,-0.977739572035615
22,-1.0714139464203274
23,-1.0321715351466572
24,-0.962254246914291
25,-1.046800208144908
26,-0.9998288095994061
27,-0.9782543444350393
28,-0.954183639434671
29,-0.9903170476637757
30,-1.0062538284870728
31,-0.9900765412907763
32,-0.908732630420417
33,-1.0022367729155217
34,-1.0081494218335239
35,-0.9146560472314933
36,-0.9693148061703649
37,-0.9783372319843667
38,-0.9605110786141534
39,-1.1054101472445226
40,-1.0355453178651135
41,-0.9798883035324901
42,-0.9307153858767561
43,-0.9453970323096469
44,-1.0299682324669923
45,-0.9743067539864075
46,-1.0047724580275366
47,-0.9944925805374334
48,-1.0044226793509456
49,-0.9506291951302059
50,-0.9459962724316541
51,-1.000595350568063
52,-0.9190652020230458
53,-0.9175545306882334
54,-1.0811517577246612
55,-0.9600991755266803
56,-0.9415913678846074
57,-0.9996154041464322
58,-1.034444503488364
59,-0.8576695762179746
60,-1.0190586499027658
61,-0.9320946603750961
62,-0.9454155936982618
63,-0.9674654547585234
64,-0.9574837361058374
65,-0.8595794952780427
66,-0.9490887409580177
67,-0.9142329999680373
68,-0.9341501636498603
69,-1.045787202518259
70,-1.0671263903543293
71,-0.9643547140257839
72,-1.0159280655392025
73,-0.9752834111397389
74,-1.1094302641721587
75,-0.8904993691613895
76,-0.8968096278101086
77,-0.9685680395508802
78,-1.0303275549207471
79,-0.9483342778923185
80,-1.0434391666852945
81,-1.0502919274640599
82,-0.9404622404388775
83,-0.9505966928724338
84,-1.027037946215082
85,-1.0092295466218866
86,-0.9597892565008147
87,-0.8923158278215894
88,-1.047662785011051
89,-0.9741064672938543
90,-1.0060906197323554
91,-0.9321598900864924
92,-0.9596790038938593
93,-0.9161521218977402
94,-0.9295871524000322
95,-1.0295271938925843
96,-0.9894882004885467
97,-1.0331205214200765
98,-0.8699457609325961
99,-0.991411969262594
100,-1.0448804581302757
101,-0.9010139677440475
102,-1.0341909797218518
103,-1.0353808397710658
104,-0.9659745770502012
105,-1.0417998205756003
106,-0.9535770446156584
107,-0.951867376147471
108,-0.948512001482516
109,-1.0479136089644017
110,-0.9664814464311288
111,-0.9746472098466508
112,-0.8953460699476509
113,-0.9710985298279012
