event,time_s,T_A,T_B,K_A,K_B,simultaneous_closure,coupled_gap,t_balance,k_balance,agreement
GW170104,-1.4977049827575684,1.2516475469855992,0.4117647058823529,0.2601903832072248,1.6626800097632413,0.24417236514392635,1.1559369228848293,1.504915627291832,0.2706270627061299,0.7221192623148166
GW170104,-1.4937987327575684,1.2023431779350744,0.7905784720527216,0.20844520380766415,1.6253356114229924,0.11764123516922206,1.0433428487804743,1.2066135946105396,0.22733927858366412,0.5933315855889902
GW170104,-1.4898924827575684,0.7256529167683671,1.2924090798144985,0.21308274347083234,1.5679765682206492,0.155340369378934,1.0384964671812709,0.7191582002899194,0.2392764149649198,0.7405362056830047
GW170104,-1.4859862327575684,1.0873810104954846,1.640956797656822,0.32975347815474737,1.500610202587259,0.5287969570617376,0.9157924495430514,0.7971014492750702,0.36031470862762016,0.5351518342501513
GW170104,-1.4820799827575684,0.5738345130583353,1.7100317305345376,0.5152550646814742,1.4442274835245303,0.2027581171635391,1.0377701749356123,0.5025114887247987,0.5259093173888695,0.6871725391740509
GW170104,-1.4781737327575684,0.4149377593360996,1.5591896509641199,0.6931901391261899,1.3976080058579448,0.06675962114307225,0.9501360224897325,0.4203758654795101,0.66308662152665,0.6214156797275372
GW170104,-1.4742674827575684,0.7669026116670735,1.2994874298267025,0.7776421772028314,1.3722235782279717,0.11590380118958687,0.5644349523989207,0.742263170328013,0.7234332425064754,0.42732851617965606
GW170104,-1.4703612327575684,0.1625579692457896,1.0605320966560898,0.7544544788869905,1.3343910178179155,0.552938770563743,0.7558716566605307,0.2658152065453823,0.7223650385600655,0.4649552612452128
GW170104,-1.4664549827575684,0.24383695386868443,0.8149865755430803,0.7051501098364656,1.2936294849890164,0.6655128241355374,0.5798792397209708,0.4605809128626355,0.705580656978521,0.5117278468032406
GW170104,-1.4625487327575684,0.8206004393458628,0.30314864535025626,0.6660971442518916,1.2784964608249938,0.6208403720640536,0.566916784920183,1.4604691572532615,0.6850759382449094,0.5684044217771704
GW170104,-1.4586424827575684,1.860873810104955,0.1728093727117403,0.5037832560410056,1.3304857212594583,0.11958538516410994,1.329097157996724,1.8300528084484522,0.5493013972052893,0.7712807343410796
GW170104,-1.4547362327575684,0.7595801806199658,0.24627776421772027,0.4515499145716378,1.3805223334146937,0.7129229115895748,0.7504895487798289,1.510313030816261,0.49293898214734616,0.7935487418613812
GW170104,-1.4508299827575684,1.7398096167927752,0.2782523797900903,0.5462533561142299,1.3341469367830119,0.08552872517354908,1.174079607925714,1.7242380261239643,0.5809968847348934,0.7060643052966418
GW170104,-1.4469237327575684,0.6631681718330485,0.5303880888454967,0.5445447888699048,1.276543812545765,0.5841064942432037,0.5260480591640815,1.11124744376185,0.598043157753324,0.6769266626655821
GW170104,-1.4430174827575684,1.760068342689773,1.2409079814498414,0.39882841103246275,1.2885037832560409,0.74152368748965,0.7283713848799728,1.1729971533139645,0.47273253290873185,0.6153922958955876
GW170104,-1.4391112327575684,1.3746643885770076,1.4400781059311691,0.24871857456675617,1.3070539419087137,0.6561796207883718,0.7497842036829419,0.9767603191116891,0.3197364292435974,0.6116332088931459
GW170104,-1.4352049827575684,1.415914083475714,1.4388577007566512,0.3024164022455455,1.3214547229680254,0.6603437489549994,0.72075152052383,0.9919630642951381,0.3724635502778406,0.534317036151948
GW170104,-1.4312987327575684,1.181352208933366,1.3675860385648035,0.4866975835977545,1.3207224798633146,0.4113515719695866,0.6042683869316554,0.9269367040118934,0.5385550303845771,0.5604480387401691
GW170104,-1.4273924827575684,1.001220405174518,1.261166707346839,0.8171833048572126,1.285574810837198,0.19925640160150584,0.3787893100968284,0.8851008738802862,0.7772489843292879,0.5683138971760737
GW170104,-1.4234862327575684,1.2379790090309983,1.0927507932633633,1.1623138882108859,1.2184525262387114,0.35662674079383744,0.11009718737249823,1.0623101895481881,0.9764199302846011,0.5989996139185951
