event,wrong_event,matched_agreement,wrong_agreement,matched_wins
GW170104,GW170608,0.5677103761897528,0.5984780251595265,False
GW170104,GW170809,0.5677103761897528,0.5880665916280582,False
GW170104,GW170814,0.5677103761897528,0.6344859608680975,False
GW170104,GW170818,0.5677103761897528,0.5639892446854088,True
GW170608,GW170104,0.6165149070164693,0.6159426197115243,True
GW170608,GW170809,0.6165149070164693,0.6269124572726941,False
GW170608,GW170814,0.6165149070164693,0.5495075513406421,True
GW170608,GW170818,0.6165149070164693,0.6194822667677126,False
GW170809,GW170104,0.6091409703695105,0.6057835083233707,True
GW170809,GW170608,0.6091409703695105,0.6027265851254291,True
GW170809,GW170814,0.6091409703695105,0.6244786678630102,False
GW170809,GW170818,0.6091409703695105,0.6302121032927543,False
GW170814,GW170104,0.6438466965551176,0.5377191684181184,True
GW170814,GW170608,0.6438466965551176,0.563258109036091,True
GW170814,GW170809,0.6438466965551176,0.564159590895068,True
GW170814,GW170818,0.6438466965551176,0.5513967285094963,True
GW170818,GW170104,0.6063115518754888,0.6035985006167888,True
GW170818,GW170608,0.6063115518754888,0.607340007004529,False
GW170818,GW170809,0.6063115518754888,0.6054147317545358,True
GW170818,GW170814,0.6063115518754888,0.6181327832110115,False
