clock,predicted_time_M,actual_common_horizon_M,signed_error_M,absolute_error_M,error_in_T435_parent_cycles
T436 joint Irr-Di-ARA,3586.2525338878427,3685.496267868691,-99.24373398084845,99.24373398084845,8.727763121171556
T435 frozen median,3723.0384611894415,3685.496267868691,37.54219332075036,37.54219332075036,3.3015622972828504
Child-only |U-R|,3586.2525338878427,3685.496267868691,-99.24373398084845,99.24373398084845,8.727763121171556
Parent-only |H-1|,3692.6480234158453,3685.496267868691,7.151755547154153,7.151755547154153,0.6289447788021699
Wrong rung / full phase,3692.6480234158453,3685.496267868691,7.151755547154153,7.151755547154153,0.6289447788021699
Quarter-shift control,3681.849007592213,3685.496267868691,-3.6472602764779367,3.6472602764779367,0.3207499602997704
Reverse-time control,3642.2506426917475,3685.496267868691,-43.24562517694358,43.24562517694358,3.8031375627621213
Waveform power maximum,3692.6480234158453,3685.496267868691,7.151755547154153,7.151755547154153,0.6289447788021699
