source_file,lead_hours,false_early_alert
20220418_cam1_flid32.h5,29.5,0
20220418_cam1_flid33.h5,47.5,1
20220418_cam1_flid34.h5,47.5,1
20220418_cam1_flid35.h5,47.5,1
20220418_cam2_flid36.h5,47.5,1
20220418_cam2_flid37.h5,47.5,1
20220418_cam2_flid38.h5,41.5,1
20220418_cam2_flid39.h5,47.5,1
20220418_cam3_flid40.h5,47.5,1
20220418_cam3_flid41.h5,44.5,1
20220418_cam3_flid42.h5,47.5,1
20220418_cam3_flid43.h5,47.5,1
20220418_cam4_flid44.h5,47.5,1
20220418_cam4_flid45.h5,45.5,1
20220418_cam4_flid46.h5,39.5,0
20220418_cam4_flid47.h5,43.5,1
