date,experiment,camera,well,fly_id_index,fly_id_file,source_file,hour_index,hour_midpoint,hours_to_collapse,hours_to_death,collapse_hour,death_hour,recording_duration_hours,zt_hour,lights_on,traversal_share,grooming_share,proboscis_share,idle_share,excluded_unstereotyped_share,excluded_edge_share,z_traversal_maintenance,z_action_intake,z_participation_quiescence,local_datetime,TEMPERATURE,RELATIVE-HUMIDITY,split,stage,w_traversal_maintenance,ara_traversal_maintenance,w_action_intake,ara_action_intake,w_participation_quiescence,ara_participation_quiescence,d_1,d_2,d_3,d_12,d_13,d_23,d_123,inside_terminal90
20220217,exp1,1,UL,1,1,20220217_cam1_flid1.h5,0,0.5,116.5,118.5,117.0,119.0,116.99999722111068,5.050833333333333,1,0.0962702453161667,0.2271098087995793,0.0284300021800182,0.6481899437042357,0.1268785291894535,0.0063191943444044,-0.6068848285459671,1.3462452265402347,-1.7558493948575862,2022-02-17 13:05:00,28.4,27.0,development,early >72 h,-0.1381445154852999,0.8756699360632301,-0.2970312861295198,0.7326718424834322,0.02349921581631103,1.02114929423468,0.1524161427524305,0.4191938132909575,0.2621889139281588,0.44604274870570804,0.3032716721989654,0.49443551620837434,0.5173945885489825,True
20220217,exp1,2,LL,8,8,20220217_cam2_flid8.h5,0,0.5,146.5,154.5,147.0,155.0,147.0,5.050833333333333,1,0.1025225659099698,0.1526199805900338,0.0551140882788613,0.689743365221135,0.0957410742074607,0.1426042639277933,-0.2813311122535665,0.6691952025106551,-1.715153072252789,2022-02-17 13:05:00,28.4,27.0,development,early >72 h,-0.05929380821456096,0.9466355726068951,-0.46101612359472594,0.5850854887647466,0.03335606480962514,1.0300204583286627,0.07356543548169156,0.5831786507561636,0.2720457629214729,0.5878003164301551,0.2818169093953327,0.6435108669022658,0.6477021762499464,True
20220217,exp1,2,UR,6,6,20220217_cam2_flid6.h5,0,0.5,162.5,174.5,163.0,175.0,163.0,5.050833333333333,1,0.0531418771760419,0.0946020451367841,0.0096712977206198,0.842584779966554,0.0580259881730469,0.0296896536392334,-0.4077893784817802,1.6264812668789497,-2.718574753395927,2022-02-17 13:05:00,28.4,27.0,development,early >72 h,-0.08992262070635315,0.9190696413642822,-0.22915674230581345,0.7937589319247679,-0.20967758920606766,0.8112901697145392,0.10419424797348376,0.3513192694672511,0.029012108905780126,0.36644463484919904,0.10815795751548135,0.3525151508264061,0.3675913122925019,True
20220217,exp1,3,UR,10,10,20220217_cam3_flid10.h5,0,0.5,101.5,101.5,102.0,102.0,102.0,5.206666666666667,1,0.2585977790866386,0.1814763471290457,0.0157985088563589,0.5441273649279568,0.1428515850784758,0.0833833533413365,0.2504187558451451,2.137734043756179,-1.5533940046555752,2022-02-17 13:05:00,28.4,27.0,development,early >72 h,0.06949861863350662,1.062548756770156,-0.10532881151146349,0.9052040696396828,0.07253490458069278,1.0652814141226234,0.055226991366376016,0.22749133867290117,0.3112246026925406,0.23409897425356307,0.316086655676116,0.38550364783269997,0.3894394472414166,True
20220217,exp1,2,UL,5,5,20220217_cam2_flid5.h5,0,0.5,96.5,122.5,97.0,123.0,97.0,5.050833333333333,1,0.1981079224657414,0.14934454420125,0.0096942180565772,0.6428533152764314,0.1119809034725001,0.3175770308123249,0.1997943765510892,2.348054270625764,-1.9719062616325955,2022-02-17 13:05:00,28.4,27.0,development,early >72 h,0.057237145602453264,1.0515134310422078,-0.05438822072086729,0.9510506013512194,-0.028830817303654863,0.9740522644267107,0.04296551833532266,0.176550747882305,0.20985888080819293,0.1817036112564199,0.21421201091416484,0.27424608735927036,0.27759134027863963,True
20220217,exp1,3,LR,11,11,20220217_cam3_flid11.h5,0,0.5,89.5,121.5,90.0,122.0,90.0,5.206666666666667,1,0.4926569371562425,0.0969506290499757,0.0002487876386991,0.4101436461550827,0.1717047930283224,0.1022631274732115,1.1494694878224936,5.5280999066463234,-2.499635258152973,2022-02-17 13:05:00,28.4,27.0,development,early >72 h,0.28725311671153786,1.258527805040384,0.7158344338048589,1.6442509904243732,-0.15664936932882928,0.8590155676040536,0.27298148944440725,0.5936719066434212,0.0820403287830185,0.6534257619017803,0.2850429952237255,0.5993137310995476,0.6585558760376736,True
20220217,exp1,3,LL,12,12,20220217_cam3_flid12.h5,0,0.5,156.5,180.5,157.0,181.0,157.0,5.206666666666667,1,0.2752254992266115,0.0862267331722831,0.0085194389892073,0.6300283286118981,0.1296574185229647,0.0708700146725356,0.8206657677095044,2.363548802489023,-2.0554104532546287,2022-02-17 13:05:00,28.4,27.0,development,early >72 h,0.20761524257075206,1.186853718313677,-0.050635369086547,0.9544281678221077,-0.049055942190740436,0.9558496520283336,0.19334361530362146,0.1727978962479847,0.18963375592110734,0.25930843898030786,0.2708186015830908,0.2565542327315521,0.3212504130910187,True
20220217,exp1,1,LL,4,4,20220217_cam1_flid4.h5,0,0.5,119.5,131.5,120.0,132.0,120.0,5.050833333333333,1,0.647517473466218,0.093036500129433,0.0153404090085425,0.2441056173958063,0.1754979769685652,0.2877595482637499,1.3718791236804349,2.263675985421011,-0.7955904317742919,2022-02-17 13:05:00,28.4,27.0,development,early >72 h,0.34112182167042987,1.307009639503387,-0.07482505536203951,0.9326574501741645,0.2560786477592036,1.2304707829832833,0.32685019440329927,0.1969875825234772,0.49476834587105134,0.38162174630112244,0.5929812523659165,0.532540912742317,0.624844679361115,True
20220217,exp1,3,UL,9,9,20220217_cam3_flid9.h5,0,0.5,150.5,150.5,151.0,151.0,151.0,5.206666666666667,1,0.1239628528824695,0.4864905802638267,0.0073176724819835,0.3822288943717202,0.1664943755279889,0.0079281712685074,-0.966774404723476,2.868422696369615,-1.3972838666777574,2022-02-17 13:05:00,28.4,27.0,development,early >72 h,-0.22531153647385885,0.7972196171735271,0.07164756495086107,1.064482808455775,0.11034554588397844,1.0993109912955805,0.23958316374098945,0.05051496221057662,0.3490352439958262,0.24485067644439487,0.4233505567486214,0.3526717495892773,0.42635367396857704,True
20220217,exp1,4,UL,13,13,20220217_cam4_flid13.h5,0,0.5,100.5,128.5,101.0,129.0,101.0,5.206666666666667,1,0.313156975729003,0.1020997031604679,0.0204731971363715,0.5642701239741575,0.1442160197412298,0.2191960117380285,0.7924831080367555,1.7694445981498867,-1.6208256975350166,2022-02-17 13:05:00,28.4,27.0,development,early >72 h,0.20078926413230946,1.1807103377190784,-0.1945303220859025,0.8249227101226877,0.05620261774163968,1.0505823559674756,0.18651763686517886,0.3166928492473402,0.29489231585348746,0.36753665072502534,0.3489273660967333,0.4327306768809343,0.4712161580162572,True
