stage,projection,center_x,center_y,major_variance,minor_variance,anisotropy
terminal 0–6 h,12,1.0128444645404175,1.109946274445294,0.677739673192309,0.06676223888685602,3.186148461191245
terminal 0–6 h,13,1.0128444645404175,0.785179271699337,0.38692107320548474,0.05363275155528263,2.6859390457806676
terminal 0–6 h,23,1.109946274445294,0.785179271699337,0.8282720074624135,0.22094400685394372,1.9361784371383186
late 6–24 h,12,1.0051924383525734,1.0429245174987205,0.35828870979107474,0.08455237059011717,2.058513252856812
late 6–24 h,13,1.0051924383525734,0.8825005311809492,0.28028927464500897,0.06356222819374253,2.0999245132265245
late 6–24 h,23,1.0429245174987205,0.8825005311809492,0.3775505339139443,0.2014149789039905,1.3691204638620378
middle 24–72 h,12,1.0148275894691428,1.0275337734272618,0.3178213512454483,0.06625662341218623,2.1901652557755438
middle 24–72 h,13,1.0148275894691428,1.0360059407031297,0.18331937636910928,0.03860763084696232,2.1790520771657165
middle 24–72 h,23,1.0275337734272618,1.0360059407031297,0.28596599644720344,0.08812419673796468,1.801397733312862
early >72 h,12,0.977376036302124,0.9269187100026681,0.3671025273782077,0.08753078918875153,2.0479213101072866
early >72 h,13,0.977376036302124,1.0206261234711564,0.2585923552407089,0.04462183110121052,2.4073217896979293
early >72 h,23,0.9269187100026681,1.0206261234711564,0.34834935963711133,0.06495562788526288,2.3157896876978734
