source_file,spearman_final24
20220418_cam1_flid32.h5,0.0626086956521739
20220418_cam1_flid33.h5,-0.516798418972332
20220418_cam1_flid34.h5,0.4822134387351779
20220418_cam1_flid35.h5,-0.24695652173913044
20220418_cam2_flid36.h5,-0.08956521739130434
20220418_cam2_flid37.h5,-0.3313043478260869
20220418_cam2_flid38.h5,-0.1452173913043478
20220418_cam2_flid39.h5,-0.09478260869565217
20220418_cam3_flid40.h5,0.1026086956521739
20220418_cam3_flid41.h5,-0.19130434782608693
20220418_cam3_flid42.h5,0.21826086956521737
20220418_cam3_flid43.h5,-0.3304347826086956
20220418_cam4_flid44.h5,0.13826086956521738
20220418_cam4_flid45.h5,-0.3782608695652173
20220418_cam4_flid46.h5,-0.21739130434782608
20220418_cam4_flid47.h5,-0.4104347826086956
