date,experiment,camera,well,fly_id_index,fly_id_file,source_file,hour_index,hour_midpoint,hours_to_collapse,hours_to_death,collapse_hour,death_hour,recording_duration_hours,zt_hour,lights_on,traversal_share,grooming_share,proboscis_share,idle_share,excluded_unstereotyped_share,excluded_edge_share,z_traversal_maintenance,z_action_intake,z_participation_quiescence
20220217,exp1,1,UL,1,1,20220217_cam1_flid1.h5,0,0.5,116.5,118.5,117.0,119.0,116.99999722111068,5.050833333333333,1,0.09627024531616676,0.22710980879957937,0.028430002180018208,0.6481899437042357,0.12687852918945355,0.006319194344404429,-0.6068848285459671,1.3462452265402347,-1.7558493948575862
20220217,exp1,1,UL,1,1,20220217_cam1_flid1.h5,1,1.5,115.5,117.5,117.0,119.0,116.99999722111068,6.050833333333333,1,0.2619401227379192,0.1634782722478835,0.006300459285817097,0.5682811457283802,0.13188886665777422,0.018626895202525456,0.333352825973779,2.8508174360072474,-1.882786300668108
20220217,exp1,1,UL,1,1,20220217_cam1_flid1.h5,2,2.5,114.5,116.5,117.0,119.0,116.99999722111068,7.050833333333333,1,0.08954498304717376,0.07118329178987785,0.015655431871313342,0.8236162932916351,0.09899515361700235,0.0035486416788937797,0.16226581629614972,1.3301564617281503,-2.4913139903456365
20220217,exp1,1,UL,1,1,20220217_cam1_flid1.h5,3,3.5,113.5,115.5,117.0,119.0,116.99999722111068,8.050833333333333,1,0.08723092256411337,0.10405682505939351,0.025588138762507266,0.7831241136139858,0.07232337379396203,0.004788026321639767,-0.1247162904124434,1.0733469140492524,-2.203793274575909
20220217,exp1,1,UL,1,1,20220217_cam1_flid1.h5,4,4.5,112.5,114.5,117.0,119.0,116.99999722111068,9.050833333333333,1,0.22821568759825242,0.0966659272618554,0.018234365606745944,0.6568840195331462,0.11723856209150327,0.01835734293717487,0.6074192983594456,1.712513181486076,-1.893003863044434
20220217,exp1,1,UL,1,1,20220217_cam1_flid1.h5,5,5.5,111.5,113.5,117.0,119.0,116.99999722111068,10.050833333333333,1,0.2587304740771171,0.13841475939214148,0.01993083639473764,0.5829239301360037,0.12745098039215685,0.047282802009692766,0.4423140599318193,1.8376705204034447,-1.6240187449563885
20220217,exp1,1,UL,1,1,20220217_cam1_flid1.h5,6,6.5,110.5,112.5,117.0,119.0,116.99999722111068,11.050833333333333,1,0.6731117303990577,0.13744772192785523,0.004009866652438549,0.18543068102064855,0.17911331199146324,0.1438130807878707,1.1233492977745245,3.53405590926626,-0.8208864261482854
20220217,exp1,1,UL,1,1,20220217_cam1_flid1.h5,7,7.5,109.5,111.5,117.0,119.0,116.99999722111068,12.050833333333333,0,0.8201439519228529,0.12014628124199296,0.0007453821248049195,0.05896438471034916,0.19827375394602284,0.20522375616913432,1.3581776962810237,4.931512140737381,-0.2954432324394601
20220217,exp1,1,UL,1,1,20220217_cam1_flid1.h5,8,8.5,108.5,110.5,117.0,119.0,116.99999722111068,13.050833333333333,0,0.792768466221668,0.16073131372405194,0.0038326120443042616,0.042667608009975794,0.13321439686985906,0.2606320305900138,1.1283909076460918,3.7015846056883395,0.5308578881409616
20220217,exp1,1,UL,1,1,20220217_cam1_flid1.h5,9,9.5,107.5,109.5,117.0,119.0,116.99999722111068,14.050833333333333,0,0.7172953026224252,0.20567536775455472,0.010899045199278102,0.06613028442374197,0.15378929349517584,0.294973544973545,0.8833035302830137,2.9083565613718916,0.49528399925571603
