method,window_fraction,window_samples,replicates,median_nrmse,median_inactive_rms_fraction,selection_objective,selected
local_poly,0.005,19,8,5.003737352744063,4.313322154154617,9.391338937071275,0
local_poly,0.01,37,8,1.8322668781874114,1.5732213195417049,3.4111720853395706,0
local_poly,0.02,73,8,0.6922030809058906,0.5934446465976085,1.30570086432474,0
local_poly,0.04,145,8,0.3321430651254338,0.28137729895809416,0.6114854971496553,0
local_poly,0.08,289,8,0.25037939264380893,0.27245948665544006,0.5229212705578183,1
moving_average_fd,0.005,19,8,2.971011322374774,2.5637651210106,5.549977491143188,0
moving_average_fd,0.01,37,8,1.538444115994757,1.328589377513293,2.875528438791486,0
moving_average_fd,0.02,73,8,0.8049803604491086,0.6983585242675168,1.5031054310082628,0
moving_average_fd,0.04,145,8,0.4743898815068532,0.4120129920328448,0.8830704676114783,1
moving_average_fd,0.08,289,8,0.5591367144580341,0.7480110622830272,1.30885692442514,0
causal_local_linear,0.005,19,8,2.0017159296448295,1.6968045703150239,3.6985204999598533,0
causal_local_linear,0.01,37,8,0.7942811381294337,0.6658613805528246,1.4614468329162094,0
causal_local_linear,0.02,73,8,0.5297632660659972,0.6411927418637197,1.1676612467138014,1
causal_local_linear,0.04,145,8,0.7769434633808698,1.0853861399384908,1.8590698522933566,0
causal_local_linear,0.08,289,8,1.1248466884315387,1.4150220649570104,2.5410599866191115,0
