model,replicate,time,native,ara_fixed_lineage,causal_state_space,repeated_reselection,compressed_parent
Open two-level probability,0,2.0025,-0.20237488462953734,-0.1940026952722374,-0.2418600405774561,-0.1940026952722374,-0.1003891653643551
Open two-level probability,0,2.0925000000000002,-0.20068363182493898,-0.2273609723388695,-0.310889408021153,-0.2273609723388695,-0.11708292096389321
Open two-level probability,0,2.1825,-0.1964205098006203,-0.24786700045006105,-0.18546868287401302,-0.24786700045006105,-0.12244055645122981
Open two-level probability,0,2.2725,-0.18972418855219114,-0.22370347234623536,-0.1730757016876579,-0.22370347234623536,-0.10674134324366946
Open two-level probability,0,2.3625000000000003,-0.18079358247871855,-0.19313766009922392,-0.1695200714462076,-0.19313766009922392,-0.09313078035280821
Open two-level probability,0,2.4525,-0.1698813556577072,-0.17871119716873818,-0.15258304408409235,-0.17871119716873818,-0.08514615271669035
Open two-level probability,0,2.5425,-0.15728617985246068,-0.1836185802824291,-0.19877483798103204,-0.1836185802824291,-0.08084553583719467
Open two-level probability,0,2.6325,-0.14334397347464195,-0.2137965521081233,-0.16989602798565237,-0.2137965521081233,-0.08182758125550377
Open two-level probability,0,2.7225,-0.128418371034584,-0.20874230498930663,-0.19025927868251674,-0.20874230498930663,-0.08147925461506571
Open two-level probability,0,2.8125,-0.11289068698606368,-0.20321943009851354,-0.2062513201396017,-0.20321943009851354,-0.09156239906787868
Open two-level probability,0,2.9025,-0.09714964509293084,-0.17129149896853932,-0.13731072874390682,-0.17129149896853932,-0.07500100783477069
Open two-level probability,0,2.9925,-0.08158114448438093,-0.15563873581684648,-0.08749283620420903,-0.15563873581684648,-0.07064391514797677
Open two-level probability,0,3.0825,-0.06655832658251398,-0.15246825704515293,-0.07435975261044563,-0.15246825704515293,-0.07678515424782173
Open two-level probability,0,3.1725,-0.05243219341720082,-0.13747828295494016,-0.055936976881905826,-0.13747828295494016,-0.073307565645039
Open two-level probability,0,3.2625,-0.03952300799187676,-0.11934010275489974,-0.05180563301066051,-0.11934010275489974,-0.061402195426830335
Open two-level probability,0,3.3525,-0.028112681981280432,-0.10402851391024108,0.006709471756324876,-0.10402851391024108,-0.04597871482099963
Open two-level probability,0,3.4425,-0.018438325908686833,-0.10346623150971485,-0.07649308662530344,-0.10346623150971485,-0.03966204571878604
Open two-level probability,0,3.5325,-0.010687102951840064,-0.08842074300593622,-0.03255968811777076,-0.08842074300593622,-0.033922384893063054
Open two-level probability,0,3.6225,-0.004992490629905317,-0.06216164258437158,0.06518812241214655,-0.06216164258437158,-0.020599764645526555
Open two-level probability,0,3.7125,-0.0014320158482546445,-0.02728169287472172,0.060168788084731195,-0.02728169287472172,-0.016315413048950407
Open two-level probability,0,3.8025,-2.648916962822029e-05,-0.004027624182484768,0.028382944119659064,-0.004027624182484768,-0.015032618013377944
Open two-level probability,0,3.8925,-0.0007407247833271322,0.013882742398985029,0.002532241933316033,0.013882742398985029,0.0002283714217653221
Open two-level probability,0,3.9825,-0.0034856944740478913,-0.012144776832568186,-0.03863573819690665,-0.012144776832568186,-0.004129666896487095
Open two-level probability,0,4.0725,-0.008122027909849823,-0.042272874577601274,-0.09309222223052677,-0.042272874577601274,-0.016633899934479876
Open two-level probability,0,4.1625,-0.014464738657606037,-0.043987939073712075,0.04907197845794978,-0.043987939073712075,-0.01407390349849118
Open two-level probability,0,4.2525,-0.022289026278011447,-0.009229410080701758,-0.03846796133944837,-0.009229410080701758,-0.006026488642628721
Open two-level probability,0,4.3425,-0.031336980317430436,0.003983963019467665,-0.04136439483543285,0.003983963019467665,-0.009475159661601406
Open two-level probability,0,4.4325,-0.04132499253527825,-0.010106454769830372,-0.11442362340826782,-0.010106454769830372,-0.011559938709256437
