model,domain,test_role,holdout,planned_samples,valid_samples,retention_fraction,max_abs_error_frozen,mean_abs_error_frozen,p95_abs_error_frozen,mean_abs_error_naive,mean_abs_error_no_internal,max_abs_orientation_error,continuity_residual_max,parent_coordinate_min,parent_coordinate_max,boundary_left,boundary_interface,boundary_right,naive_to_frozen_mae_ratio,no_internal_to_frozen_mae_ratio
Classical string energy,Newton/Hamilton continuum,Operator establishment,False,4097,4097,1.0,5.329070518200751e-15,1.342227073128727e-16,4.440892098500626e-16,0.4224117283143356,0.31272495384835997,7.105427357601002e-15,0.0,0.0,2.0,-1.4,0.2,1.7,3147095873499967.5,2329896037034919.0
Lossless transmission line,Maxwell/Poynting analogue,Verification,False,4097,4097,1.0,2.1538326677728037e-14,1.6339522164030237e-16,4.440892098500626e-16,0.4445574340164031,0.3023500954341342,2.1538326677728037e-14,0.0,0.0,2.0,-1.1,0.35,1.9,2720749294584943.0,1850421893607920.8
Free Gaussian probability,Schrodinger probability continuity,Holdout,True,4097,4097,1.0,2.4424906541753444e-15,3.250626531941615e-16,1.1102230246251565e-15,0.41598087622473323,0.5343418864795906,2.4424906541753444e-15,6.106226635438361e-11,0.0018375479925738416,1.99820939371217,-1.8,0.3,2.2,1279694459320941.5,1643811988947329.2
