model,domain,test_role,hidden_kind,identity_count,planned_samples,scored_samples,native_hidden_location,predicted_hidden_location,location_correct,predicted_sign,native_sign,sign_accuracy,source_correlation,source_nrmse,integrated_relative_error,inactive_rms_fraction,estimated_integrated_other,native_integrated_other,native_peak_magnitude,no_other_control_nrmse,parent_only_control_nrmse,wrong_location_control_nrmse,wrong_location_identity,beats_all_controls,passed,native_law_revealed_for_scoring
Damped coupled oscillators,Newton/Hamilton mechanics,Development,child-local viscous sink,3,6001,5997,oscillator 2,oscillator 2,True,sink,sink,1.0,1.0,1.055448790356041e-09,4.5070933672063156e-11,1.8859002008305182e-09,-0.9004172987936978,-0.9004172988342805,0.2024280919652995,0.2562171695731422,0.17081144642018514,0.25621716942523826,oscillator 1,True,True,s_hidden = -gamma * p2^2
Resistive capacitor coupling,Electromagnetic circuit energy,Verification,relation-local Joule sink,3,5001,4997,coupling relation,coupling relation,True,sink,sink,1.0,1.0,1.2855044137421788e-17,0.0,4.214726683262733e-11,-0.7971702510984643,-0.7971702510984643,4.029602394994714,0.09136830366745013,0.06091220246730445,0.0913683036923427,capacitor 2,True,True,s_hidden = -R * I^2
Open two-level probability,Non-Hermitian quantum continuity,Holdout,child-local probability sink,2,8001,7997,quantum state 2,quantum state 2,True,sink,sink,1.0,1.0,1.9916477138655112e-11,7.343575902863262e-12,1.980873979809281e-11,-0.9180732150885174,-0.9180732150817754,0.2024014125737807,0.33413057072797964,0.16706528536488172,0.33413057072809976,quantum state 1,True,True,s_hidden = -Gamma * |b|^2
