model,snr_db,noise_family,injection_mode,replicate,relative_time_index,native_other,estimated_other,absolute_error
Resistive capacitor coupling,12,white,q_and_g,0,0,-0.364786809252494,-0.4133666427569148,0.0485798335044208
Resistive capacitor coupling,12,white,q_and_g,0,1,-0.36038800062164217,-0.343913771630456,0.01647422899118617
Resistive capacitor coupling,12,white,q_and_g,0,2,-0.35604223534893814,-0.442896469236093,0.08685423388715485
Resistive capacitor coupling,12,white,q_and_g,0,4,-0.34750728408198844,-0.4899001446515069,0.14239286056951844
Resistive capacitor coupling,12,white,q_and_g,0,5,-0.34331684187922323,-0.29474955634281885,0.04856728553640438
Resistive capacitor coupling,12,white,q_and_g,0,6,-0.33917693043267233,-0.45852360909374384,0.11934667866107151
Resistive capacitor coupling,12,white,q_and_g,0,8,-0.33104626984045565,-0.48325515114657525,0.1522088813061196
Resistive capacitor coupling,12,white,q_and_g,0,9,-0.3270543239914007,-0.4438561915081724,0.11680186751677168
Resistive capacitor coupling,12,white,q_and_g,0,10,-0.3231105153156461,-0.36715884502693164,0.04404832971128553
Resistive capacitor coupling,12,white,q_and_g,0,12,-0.31536499462101486,-0.24168246878747712,0.07368252583353774
Resistive capacitor coupling,12,white,q_and_g,0,13,-0.3115621425851911,-0.1978289618735579,0.11373318071163321
Resistive capacitor coupling,12,white,q_and_g,0,15,-0.30409345645871283,-0.2920558710906261,0.012037585368086745
Resistive capacitor coupling,12,white,q_and_g,0,16,-0.30042652309673834,-0.34535645860394854,0.044929935507210195
Resistive capacitor coupling,12,white,q_and_g,0,17,-0.2968038077210296,-0.305497530953132,0.00869372323210238
Resistive capacitor coupling,12,white,q_and_g,0,19,-0.2896889045347224,-0.23238742348067648,0.05730148105404592
Resistive capacitor coupling,12,white,q_and_g,0,20,-0.2861956695240032,-0.2994032908062641,0.013207621282260884
Resistive capacitor coupling,12,white,q_and_g,0,21,-0.282744557945176,-0.22769172280008246,0.05505283514509354
Resistive capacitor coupling,12,white,q_and_g,0,23,-0.27596667941429864,-0.22510289413994738,0.05086378527435126
Resistive capacitor coupling,12,white,q_and_g,0,24,-0.27263891486677344,-0.20870516037059736,0.06393375449617608
Resistive capacitor coupling,12,white,q_and_g,0,25,-0.2693512784133621,-0.4528960451394992,0.18354476672613712
Resistive capacitor coupling,12,white,q_and_g,0,27,-0.26289446007355044,-0.1854442249670569,0.07745023510649354
Resistive capacitor coupling,12,white,q_and_g,0,28,-0.2597243278466082,-0.2708326247620157,0.01110829691540749
Resistive capacitor coupling,12,white,q_and_g,0,30,-0.25349828424579895,-0.17592649117133624,0.07757179307446271
Resistive capacitor coupling,12,white,q_and_g,0,31,-0.25044145649774624,-0.34812529057862274,0.0976838340808765
Resistive capacitor coupling,12,white,q_and_g,0,32,-0.24742148973243774,-0.32871289772961393,0.08129140799717618
Resistive capacitor coupling,12,white,q_and_g,0,34,-0.24149036654646835,-0.23284096944805183,0.008649397098416528
Resistive capacitor coupling,12,white,q_and_g,0,35,-0.23857833715919696,-0.2663207705408533,0.02774243338165633
Resistive capacitor coupling,12,white,q_and_g,0,36,-0.23570142269296213,-0.34099038491018463,0.1052889622172225
Resistive capacitor coupling,12,white,q_and_g,0,38,-0.23005124988617834,-0.137457428575031,0.09259382131114735
Resistive capacitor coupling,12,white,q_and_g,0,39,-0.22727715993042774,-0.1421966367954736,0.08508052313495415
Resistive capacitor coupling,12,white,q_and_g,0,41,-0.22182893134542353,-0.2138533016565729,0.007975629688850627
Resistive capacitor coupling,12,white,q_and_g,0,42,-0.2191539908239323,-0.2799628965702444,0.06080890574631212
Resistive capacitor coupling,12,white,q_and_g,0,43,-0.21651130626991177,-0.32517863287912496,0.10866732660921319
Resistive capacitor coupling,12,white,q_and_g,0,45,-0.21132115391075068,-0.3169595155912937,0.10563836168054302
Resistive capacitor coupling,12,white,q_and_g,0,46,-0.20877292219807161,-0.30674522305490937,0.09797230085683775
Resistive capacitor coupling,12,white,q_and_g,0,47,-0.20625541852535134,-0.3528579422103922,0.14660252368504084
Resistive capacitor coupling,12,white,q_and_g,0,49,-0.2013111176225867,-0.29659462882182336,0.09528351119923667
Resistive capacitor coupling,12,white,q_and_g,0,50,-0.1988835926704117,-0.3584368494700443,0.1595532567996326
Resistive capacitor coupling,12,white,q_and_g,0,51,-0.19648534020682573,-0.21683410405654444,0.020348763849718704
Resistive capacitor coupling,12,white,q_and_g,0,53,-0.19177524506406338,-0.17326077773978207,0.018514467324281303
Resistive capacitor coupling,12,white,q_and_g,0,54,-0.1894627091341043,-0.24563984440189263,0.056177135267788336
Resistive capacitor coupling,12,white,q_and_g,0,56,-0.18492095866514904,-0.24298568185297298,0.058064723187823936
Resistive capacitor coupling,12,white,q_and_g,0,57,-0.1826910756530179,-0.19993275330038057,0.017241677647362674
Resistive capacitor coupling,12,white,q_and_g,0,58,-0.18048808184957182,-0.18237059317607884,0.0018825113265070192
Resistive capacitor coupling,12,white,q_and_g,0,60,-0.17616146879665215,-0.20520328980096897,0.02904182100431682
Resistive capacitor coupling,12,white,q_and_g,0,61,-0.17403721273883552,-0.12008660554565986,0.053950607193175654
Resistive capacitor coupling,12,white,q_and_g,0,62,-0.17193857217928854,-0.04043802490643099,0.13150054727285754
Resistive capacitor coupling,12,white,q_and_g,0,64,-0.16781690573423635,-0.003496642188181562,0.16432026354605478
Resistive capacitor coupling,12,white,q_and_g,0,65,-0.16579327320525514,-0.16038469152197932,0.0054085816832758205
Resistive capacitor coupling,12,white,q_and_g,0,66,-0.1637940427983033,-0.17722267753593532,0.013428634737632006
Resistive capacitor coupling,12,white,q_and_g,0,68,-0.15986761487963203,-0.2152418116552871,0.05537419677565508
Resistive capacitor coupling,12,white,q_and_g,0,69,-0.1579398394604296,-0.22713210931406147,0.06919226985363186
Resistive capacitor coupling,12,white,q_and_g,0,71,-0.1541537469717574,-0.11550332525664908,0.038650421715108324
Resistive capacitor coupling,12,white,q_and_g,0,72,-0.15229487264993907,-0.16419286886129983,0.011897996211360756
Resistive capacitor coupling,12,white,q_and_g,0,73,-0.15045841370116347,-0.3136295927895732,0.16317117908840972
Resistive capacitor coupling,12,white,q_and_g,0,75,-0.146851663992429,-0.21090983878564387,0.06405817479321488
Resistive capacitor coupling,12,white,q_and_g,0,76,-0.14508084237651425,-0.03166049414222494,0.11342034823428931
Resistive capacitor coupling,12,white,q_and_g,0,77,-0.14333137434359708,-0.04165906704890196,0.10167230729469512
Resistive capacitor coupling,12,white,q_and_g,0,79,-0.13989547215674386,0.09233022825565831,0.23222570041240218
Resistive capacitor coupling,12,white,q_and_g,0,80,-0.1382085322928787,-0.22841494508672364,0.09020641279384495
Resistive capacitor coupling,12,white,q_and_g,0,82,-0.1348954335346926,-0.08161103716745453,0.05328439636723807
Resistive capacitor coupling,12,white,q_and_g,0,83,-0.13326878700514613,-0.12495689782966589,0.008311889175480244
Resistive capacitor coupling,12,white,q_and_g,0,84,-0.1316617555126898,-0.17489469098231386,0.04323293546962406
Resistive capacitor coupling,12,white,q_and_g,0,86,-0.128505594373772,-0.29209527833256327,0.16358968395879128
Resistive capacitor coupling,12,white,q_and_g,0,87,-0.12695600019079575,-0.21972479976164042,0.09276879957084466
Resistive capacitor coupling,12,white,q_and_g,0,88,-0.1254250919035085,0.02026847579983198,0.1456935677033405
