model,domain,test_role,sample_index,time,flux_left,flux_interface,flux_right,child_1_accumulation,child_1_release,child_1_total,child_1_ara,child_2_accumulation,child_2_release,child_2_total,child_2_ara,internal_handover,parent_accumulation_direct,parent_release_direct,parent_total_direct,parent_ara_direct,parent_ara_frozen,parent_ara_naive,parent_ara_no_internal,abs_error_frozen,abs_error_naive,abs_error_no_internal
Classical string energy,Newton/Hamilton continuum,Operator establishment,0,0.0,0.12414320671835277,2.785646564272108,2.2022921482642293,0.12414320671835277,2.785646564272108,2.9097897709904608,1.9146720440383598,2.785646564272108,2.2022921482642293,4.987938712536337,0.8830469960383202,2.785646564272108,0.12414320671835277,2.2022921482642293,2.326435354982582,1.8932760315454522,1.8932760315454522,1.39885952003834,1.2631324875096062,0.0,0.4944165115071122,0.630143544035846
Classical string energy,Newton/Hamilton continuum,Operator establishment,25,0.18310546875,0.0029427960296797284,2.84944727550264,1.2983798838000546,0.0029427960296797284,2.84944727550264,2.8523900715323194,1.997936610382255,2.84944727550264,1.2983798838000546,4.147827159302695,0.6260530315917646,2.84944727550264,0.0029427960296797284,1.2983798838000546,1.3013226798297344,1.9954772231740943,1.9954772231740947,1.3119948209870098,1.1850566982498985,4.440892098500626e-16,0.6834824021870844,0.8104205249241958
Classical string energy,Newton/Hamilton continuum,Operator establishment,51,0.37353515625,-0.2551580868632525,2.3175020044392793,0.40178511558265084,0.0,2.5726600913025317,2.5726600913025317,2.0,2.3175020044392793,0.40178511558265084,2.71928712002193,0.29550768113034753,2.3175020044392793,0.0,0.6569432024459033,0.6569432024459033,2.0,1.9999999999999987,1.1477538405651737,1.1241401654650074,1.3322676295501878e-15,0.8522461594348263,0.8758598345349926
Classical string energy,Newton/Hamilton continuum,Operator establishment,76,0.556640625,-0.540547065468381,1.4771534018160846,-0.07154709966626507,0.0,2.017700467284466,2.017700467284466,2.0,1.5487005014823496,0.0,1.5487005014823496,0.0,1.4771534018160846,0.07154709966626507,0.540547065468381,0.6120941651346461,1.7662219189737698,1.7662219189737698,1.0,1.131505113953658,0.0,0.7662219189737698,0.6347168050201117
Classical string energy,Newton/Hamilton continuum,Operator establishment,102,0.7470703125,-0.7629200395805651,0.5964780228023004,0.04935044893800668,0.0,1.3593980623828656,1.3593980623828656,2.0,0.5964780228023004,0.04935044893800668,0.6458284717403071,0.15282834714617813,0.5964780228023004,0.0,0.8122704885185718,0.8122704885185718,2.0,2.0000000000000004,1.076414173573089,1.4050766707382287,4.440892098500626e-16,0.923585826426911,0.5949233292617713
Classical string energy,Newton/Hamilton continuum,Operator establishment,128,0.9375,-0.8317977215011314,-0.01729412614701689,0.7516645709002399,0.01729412614701689,0.8317977215011314,0.8490918476481483,1.9592644159876957,0.0,0.7689586970472567,0.7689586970472567,2.0,0.01729412614701689,0.0,1.5834622924013713,1.5834622924013713,2.0,1.9999999999999998,1.979632207993848,1.9786235031980752,2.220446049250313e-16,0.02036779200615202,0.02137649680192477
Classical string energy,Newton/Hamilton continuum,Operator establishment,153,1.12060546875,-0.7400442343017359,-0.24778056434246834,1.709802591541937,0.24778056434246834,0.7400442343017359,0.9878247986442042,1.4983309496126263,0.0,1.9575831558844055,1.9575831558844055,2.0,0.24778056434246834,0.0,2.449846825843673,2.449846825843673,2.0,2.0,1.749165474806313,1.831751276449497,0.0,0.250834525193687,0.16824872355050302
Classical string energy,Newton/Hamilton continuum,Operator establishment,179,1.31103515625,-0.5209830302413275,-0.16641714505660538,2.608073317717229,0.16641714505660538,0.5209830302413275,0.6874001752979328,1.5158070915984947,0.0,2.7744904627738345,2.7744904627738345,2.0,0.16641714505660538,0.0,3.1290563479585565,3.1290563479585565,2.0,2.0,1.7579035457992473,1.9038576532566045,0.0,0.24209645420075265,0.0961423467433955
Classical string energy,Newton/Hamilton continuum,Operator establishment,204,1.494140625,-0.255021774805596,0.07397940923584712,3.051631044023063,0.0,0.32900118404144313,0.32900118404144313,2.0,0.07397940923584712,3.051631044023063,3.12561045325891,1.952662425249626,0.07397940923584712,0.0,3.306652818828659,3.306652818828659,2.0,2.0000000000000004,1.976331212624813,1.9571706362376182,4.440892098500626e-16,0.023668787375187073,0.04282936376238178
Classical string energy,Newton/Hamilton continuum,Operator establishment,230,1.6845703125,0.011910469014417835,0.32663871247416865,2.9170757610217564,0.011910469014417835,0.32663871247416865,0.3385491814885865,1.9296381756881054,0.32663871247416865,2.9170757610217564,3.243714473495925,1.7986020562887999,0.32663871247416865,0.011910469014417835,2.9170757610217564,2.928986230036174,1.9918671730906221,1.9918671730906221,1.8641201159884526,1.8109858937839403,0.0,0.1277470571021695,0.18088127930668185
