model,snr_db,method,replicates,median_sign_accuracy,q05_sign_accuracy,q95_sign_accuracy,median_correlation,q05_correlation,q95_correlation,median_nrmse,q05_nrmse,q95_nrmse,median_integrated_error,q05_integrated_error,q95_integrated_error
Open two-level probability,24,ara_fixed_lineage,32,0.9900244682853379,0.9749858836815358,1.0,0.813499389307117,0.8071578978872807,0.8186550304687041,0.1373608032487848,0.13539823212590696,0.13939623523012676,0.11298769140647023,0.10830642620082861,0.11625229262529795
Open two-level probability,24,causal_state_space,32,0.8647656691134953,0.8451910408432147,0.8735271974402409,0.805013146741057,0.780231608823567,0.8226155517143441,0.1613035414935189,0.15178464986518458,0.17568849178213342,0.016787656321450933,0.012602796334749283,0.02043320640232507
Open two-level probability,24,compressed_parent,32,0.9935064935064934,0.97909843779409,1.0,0.8352845747258004,0.8264612637225578,0.8456369975929721,0.16826403734839251,0.16580570701356623,0.170666001223173,0.4497486603110704,0.44634348927219614,0.45337066898698336
Open two-level probability,24,repeated_reselection,32,0.9422172030867683,0.903124411820064,0.9738377564464521,0.8075779200319225,0.7970066552886201,0.8167755249645269,0.14018875321801444,0.13812720492807776,0.14597724485575608,0.07318046600943706,0.03842229118458834,0.09442914452505367
Open two-level probability,24,zero_other,32,0.0,0.0,0.0,0.0,0.0,0.0,0.2960076164651898,0.2960076164651898,0.2960076164651898,1.0,1.0,1.0
Open two-level probability,18,ara_fixed_lineage,32,0.9605684170901562,0.9403632599284774,0.9835215509128552,0.8015893283858544,0.7900692643211855,0.8094137832334819,0.14266130439886812,0.13954594268040854,0.14661205383798562,0.1159017195348395,0.10251388570302883,0.12403257518603047
Open two-level probability,18,causal_state_space,32,0.8414266892527762,0.8104837191793713,0.86210239036326,0.748859467210806,0.726656961309266,0.7828046431763256,0.19570187895876623,0.17848493501872356,0.20925686416351355,0.025814917354377853,0.01811884151401271,0.03276414082509888
Open two-level probability,18,compressed_parent,32,0.9567099567099567,0.9303312629399586,0.980180688876341,0.8019309677866187,0.7834526035335097,0.8203472336738674,0.17034099600551228,0.16630602438354922,0.17457638054178481,0.4476216408243716,0.44042230486760725,0.4571753156433002
Open two-level probability,18,repeated_reselection,32,0.8463203463203464,0.7717673630717109,0.9037831733483908,0.7796699972307481,0.7589867946846701,0.8008164888007251,0.15608069671105398,0.14814115181804274,0.16651878218359986,0.0472318169340266,0.012159110177226755,0.12616709465989992
Open two-level probability,18,zero_other,32,0.0,0.0,0.0,0.0,0.0,0.0,0.2960076164651898,0.2960076164651898,0.2960076164651898,1.0,1.0,1.0
Open two-level probability,12,ara_fixed_lineage,32,0.9051383399209486,0.8795501599849426,0.9344344061735366,0.7616067133693517,0.7214662764415578,0.7921449975802521,0.16456825618714807,0.1538668298650899,0.17251830117652672,0.11751276622502518,0.09157451704922713,0.13945196712370042
Open two-level probability,12,causal_state_space,32,0.8079239600978732,0.7832204027856201,0.834961415396198,0.6872632076065313,0.6616979494278321,0.7229143568779,0.2349187811279591,0.219153693618202,0.25227951947860067,0.03799041091202443,0.020805362093600063,0.052458018870853634
Open two-level probability,12,compressed_parent,32,0.8795407491059666,0.8258234519104084,0.9222002635046113,0.7097822054325968,0.6452352352475392,0.7451491616592534,0.18027653269143085,0.1725677630448575,0.19031180516803994,0.4499702355237156,0.4371778183423112,0.4640073346708066
Open two-level probability,12,repeated_reselection,32,0.707415772633164,0.6467908902691512,0.8043572369659326,0.6534474475464476,0.5942481521944925,0.7323178255269062,0.21517737771878337,0.1850602408248012,0.2386735212778721,0.22486687653201531,0.08669796496285746,0.37054783824180604
