model,domain,snr_db,method,replicate,scored_samples,declared_stream,sign_accuracy,correlation,nrmse,integrated_error,declared_child_occupancy,switch_count
Damped coupled oscillators,Newton/Hamilton mechanics,24,fixed_time_lineage,10,5761,oscillator 2,0.9409499358151476,0.36195643079134904,0.23040981152557294,0.07795339255508994,1.0,0
Damped coupled oscillators,Newton/Hamilton mechanics,24,fixed_time_lineage,11,5761,oscillator 2,0.9672657252888318,0.3457192511738977,0.22999407214605108,0.041223855435271704,1.0,0
Damped coupled oscillators,Newton/Hamilton mechanics,24,fixed_time_lineage,12,5761,oscillator 2,0.9525032092426188,0.34645595294266684,0.22966648797534683,0.03541113880325977,1.0,0
Damped coupled oscillators,Newton/Hamilton mechanics,24,fixed_time_lineage,13,5761,oscillator 2,0.9473684210526315,0.32659088228175,0.23066650564174948,0.005666891410318241,1.0,0
Damped coupled oscillators,Newton/Hamilton mechanics,24,fixed_time_lineage,14,5761,oscillator 2,0.9332477535301669,0.36011188587180526,0.23139494938220104,0.07618570305868026,1.0,0
Damped coupled oscillators,Newton/Hamilton mechanics,24,fixed_time_lineage,15,5761,oscillator 2,0.9521822849807445,0.36081816479746515,0.2316248814370048,0.08168604188334185,1.0,0
Damped coupled oscillators,Newton/Hamilton mechanics,24,repeated_parent_reselection,0,5761,oscillator 2,0.722400513478819,0.22574997660908816,0.32716201683953317,0.629726256976054,0.2293004686686339,18
Damped coupled oscillators,Newton/Hamilton mechanics,24,repeated_parent_reselection,1,5761,oscillator 2,0.733632862644416,0.22127161643892723,0.32691006655459126,0.581009075303418,0.2704391598680785,19
Damped coupled oscillators,Newton/Hamilton mechanics,24,repeated_parent_reselection,2,5761,oscillator 2,0.7342747111681643,0.20298842666919498,0.32936095369926316,0.6499687432297812,0.2822426662037841,20
Damped coupled oscillators,Newton/Hamilton mechanics,24,repeated_parent_reselection,3,5761,oscillator 2,0.7557766367137355,0.214770897912532,0.3355093200217042,0.6202354004077502,0.2798125325464329,19
Damped coupled oscillators,Newton/Hamilton mechanics,24,repeated_parent_reselection,4,5761,oscillator 2,0.6877406931964056,0.2067496029201026,0.3319256189456175,0.6866102407387129,0.25082450963374414,14
Damped coupled oscillators,Newton/Hamilton mechanics,24,repeated_parent_reselection,5,5761,oscillator 2,0.7227214377406932,0.1926316745684958,0.34339419257704107,0.6225535478047408,0.25429612914424576,18
Damped coupled oscillators,Newton/Hamilton mechanics,24,repeated_parent_reselection,6,5761,oscillator 2,0.7217586649550706,0.18903856627485557,0.3346363473286038,0.6596251892863523,0.24266620378406525,20
Damped coupled oscillators,Newton/Hamilton mechanics,24,repeated_parent_reselection,7,5761,oscillator 2,0.6954428754813864,0.23110178643269966,0.3286647561119295,0.6350088864343942,0.27668807498698145,14
Damped coupled oscillators,Newton/Hamilton mechanics,24,repeated_parent_reselection,8,5761,oscillator 2,0.7281771501925546,0.1906277204646352,0.34415592679407137,0.661789820088028,0.29925360180524213,16
Damped coupled oscillators,Newton/Hamilton mechanics,24,repeated_parent_reselection,9,5761,oscillator 2,0.6870988446726572,0.2098132866349413,0.3298445702822014,0.7193572062227799,0.21732338135740323,13
Damped coupled oscillators,Newton/Hamilton mechanics,24,repeated_parent_reselection,10,5761,oscillator 2,0.7121309370988447,0.21157018050198023,0.33701162025718717,0.6525178932606671,0.248394375976393,34
Damped coupled oscillators,Newton/Hamilton mechanics,24,repeated_parent_reselection,11,5761,oscillator 2,0.7439024390243902,0.20693238560967026,0.3308467244752271,0.6125348799078298,0.2990800208297171,18
Damped coupled oscillators,Newton/Hamilton mechanics,24,repeated_parent_reselection,12,5761,oscillator 2,0.6887034659820283,0.2243498769713029,0.3304986730250473,0.7128544433058267,0.261065787189724,19
Damped coupled oscillators,Newton/Hamilton mechanics,24,repeated_parent_reselection,13,5761,oscillator 2,0.7410141206675225,0.19315352381325546,0.33531899606079524,0.6257133392548228,0.2730428745009547,22
