rung,rung_order,log10_scale_m,ara_coordinate,physics_domain,bridge_type
Earth-Sun orbit,1,11.17492541204568,1.0,Newtonian gravitation,inverse-distance virial
Earth satellite reference,2,6.845098040014257,1.0,Newtonian gravitation,inverse-distance virial
Classical Coulomb at a0,3,-10.276398867334313,1.0,Classical electromagnetism,inverse-distance virial
Quantum hydrogen 1s,4,-10.276398867334313,1.0,Quantum mechanics,quantum inverse-distance virial
