model,domain,snr_db,method,replicate,scored_samples,declared_stream,sign_accuracy,correlation,nrmse,integrated_error,estimated_q_noise_variance,estimated_g_noise_variance
Open two-level probability,Non-Hermitian quantum continuity,24,ara_fixed_lineage,0,7200,quantum state 2,0.9932241671372106,0.8053494266564244,0.1396785308326244,0.11200260716819234,,
Open two-level probability,Non-Hermitian quantum continuity,24,ara_fixed_lineage,1,7200,quantum state 2,0.9747788443440617,0.8162315112687331,0.13638670525574365,0.11370073429977857,,
Open two-level probability,Non-Hermitian quantum continuity,24,ara_fixed_lineage,2,7200,quantum state 2,0.9855072463768116,0.8086636149091304,0.13917753863651688,0.1129355876619081,,
Open two-level probability,Non-Hermitian quantum continuity,24,ara_fixed_lineage,3,7200,quantum state 2,0.9777903256164125,0.814752630306236,0.13742298822424387,0.11267693000756066,,
Open two-level probability,Non-Hermitian quantum continuity,24,ara_fixed_lineage,4,7200,quantum state 2,0.989648033126294,0.823059863074816,0.13575893824236446,0.11881374602477086,,
Open two-level probability,Non-Hermitian quantum continuity,24,ara_fixed_lineage,5,7200,quantum state 2,0.994729907773386,0.8067558974263519,0.13966353106676108,0.11047929712735187,,
Open two-level probability,Non-Hermitian quantum continuity,24,ara_fixed_lineage,6,7200,quantum state 2,1.0,0.8139903817541636,0.13703254853787353,0.11458061781575933,,
Open two-level probability,Non-Hermitian quantum continuity,24,ara_fixed_lineage,7,7200,quantum state 2,0.9879540749105966,0.8113399190709966,0.13867436877463,0.11578424390664736,,
Open two-level probability,Non-Hermitian quantum continuity,24,ara_fixed_lineage,8,7200,quantum state 2,1.0,0.8074868073553132,0.1376504853549288,0.10631418350557156,,
Open two-level probability,Non-Hermitian quantum continuity,24,ara_fixed_lineage,9,7200,quantum state 2,0.9872012045925089,0.8140216220452321,0.13686001768219092,0.11607782926801491,,
Open two-level probability,Non-Hermitian quantum continuity,24,ara_fixed_lineage,10,7200,quantum state 2,0.9941652550348202,0.8128814942930429,0.1361493462889596,0.1080988334170671,,
